Chicken BIP number,Japanese quail BIP number
24,9
108,31
136,50
172,66
175,69
214,84
263,104
269,107
291,114
320,125
339,134
346,137
360,144
454,167
522,196
573,215
589,228
663,266
672,271
711,296
792,321
803,326
810,330
838,345
851,348
893,367
928,385
955,403
978,415
1031,435
1032,436
1036,437
1047,443
1048,444
1054,448
1089,458
1093,460
1180,499
1189,503
1199,508
1439,600
1516,630
1521,634
1678,705
1689,691
1752,726
1779,735
1811,749
1829,755
1926,792
2006,822
2062,845
2068,849
2102,861
2157,878
2163,880
2198,892
2305,936
2308,940
2352,962
2356,963
2392,973
2397,974
2495,1011
2563,1034
2692,1076
2698,1080
2709,1082
2723,1087
2761,1104
2846,1136
2857,1141
2866,1142
2902,1154
2911,1161
2918,1165
2921,1166
2957,1179
3022,1189
3032,1192
