ENSEMBL gene ID	E4_Brainlobe1	E4_Brainlobe2	E4_Brainlobe3
ENSBTAG00000000012	12.872191	18.678043	19.002209
ENSBTAG00000000032	1.752825	1.624824	1.875049
ENSBTAG00000000033	4.145785	1.932946	1.815835
ENSBTAG00000000040	14.225814	15.449402	17.685884
ENSBTAG00000000046	5.190461	3.913808	4.285415
ENSBTAG00000000057	0.834812	0.199331	0.402931
ENSBTAG00000000072	11.33848	11.238683	11.287083
ENSBTAG00000000081	4.652357	5.159865	5.480316
ENSBTAG00000000085	0.0	0.0	0.0
ENSBTAG00000000140	13.678185	11.585773	13.097614
ENSBTAG00000000146	12.832284	12.971989	13.356907
ENSBTAG00000000160	5.028982	4.830511	4.287166
ENSBTAG00000000172	0.0	0.0	0.0
ENSBTAG00000000197	2.962501	4.011382	3.85863
ENSBTAG00000000277	2.068223	1.412954	1.300936
ENSBTAG00000000285	4.158561	3.875486	4.16254
ENSBTAG00000000286	76.563431	54.585201	55.641754
ENSBTAG00000000296	8.023746	3.517663	4.62417
ENSBTAG00000000317	37.411846	29.346216	30.927916
ENSBTAG00000000330	0.929005	0.725499	0.799189
ENSBTAG00000000354	0.510043	0.0	0.257972
ENSBTAG00000000355	6.622285	9.186968	9.274272
ENSBTAG00000000356	12.291418	10.104311	10.533039
ENSBTAG00000000379	22.94248	32.079102	32.793262
ENSBTAG00000000409	14.019827	17.757757	16.823498
ENSBTAG00000000411	13.196378	9.044717	9.019917
ENSBTAG00000000435	6.772421	3.827939	5.078691
ENSBTAG00000000446	1.337307	0.27277	0.602843
ENSBTAG00000000475	1.779559	3.053275	2.418797
ENSBTAG00000000478	0.165333	0.0	0.0
ENSBTAG00000000480	2.822551	3.773598	3.639225
ENSBTAG00000000489	1.255783	0.983328	1.863642
ENSBTAG00000000490	12.979881	6.517694	5.847831
ENSBTAG00000000500	2.977008	1.194366	2.062204
ENSBTAG00000000511	10.754249	13.60316	15.138469
ENSBTAG00000000524	29.355288	31.546444	29.144278
ENSBTAG00000000536	2.035263	2.836481	1.649851
ENSBTAG00000000559	15.675781	15.889217	15.026089
ENSBTAG00000000565	16.310682	14.667024	16.691395
ENSBTAG00000000575	1.763096	2.773051	3.311875
ENSBTAG00000000586	5.750152	5.108741	5.288177
ENSBTAG00000000590	0.0	0.0	0.0
ENSBTAG00000000646	4.327439	2.673981	3.78779
ENSBTAG00000000654	0.0	0.084602	0.05072
ENSBTAG00000000670	0.414108	0.31746	0.465822
ENSBTAG00000000671	1.038039	0.079801	0.0
ENSBTAG00000000694	12.730099	11.80524	14.747918
ENSBTAG00000000696	13.450708	7.406389	8.851117
ENSBTAG00000000697	2.310049	2.939108	3.575438
ENSBTAG00000000712	10.045451	6.835731	11.980633
ENSBTAG00000000771	120.444633	124.492416	106.53376
ENSBTAG00000000785	1.47364	0.515811	0.889408
ENSBTAG00000000789	15.930745	10.56124	8.051044
ENSBTAG00000000795	32.527687	34.686375	39.983402
ENSBTAG00000000810	5.521937	8.384527	6.229256
ENSBTAG00000000811	2.968787	1.783394	2.894832
ENSBTAG00000000817	4.416229	3.911825	4.089748
ENSBTAG00000000829	1.212953	0.884453	1.051712
ENSBTAG00000000831	10.498608	6.363578	7.398337
ENSBTAG00000000833	14.192899	12.833191	7.264527
ENSBTAG00000000848	7.551246	4.513924	5.396674
ENSBTAG00000000856	1.965332	1.527458	0.970076
ENSBTAG00000000857	10.775516	6.655168	7.027542
ENSBTAG00000000910	19.869865	18.229603	21.754749
ENSBTAG00000000916	0.0	0.0	0.101827
ENSBTAG00000000918	2.695964	2.981005	3.250683
ENSBTAG00000000923	0.0	0.0	0.0
ENSBTAG00000000925	0.0	0.876303	0.400379
ENSBTAG00000000945	0.5333	0.36611	0.467972
ENSBTAG00000000958	1.920512	1.55983	1.996054
ENSBTAG00000000961	2.107274	1.166591	1.229923
ENSBTAG00000000973	0.0	0.0	0.0
ENSBTAG00000000981	7.015795	6.855092	7.425011
ENSBTAG00000000982	0.0	0.0	0.0
ENSBTAG00000000990	20.078423	19.874735	22.220066
ENSBTAG00000000991	20.787718	15.198134	21.890974
ENSBTAG00000000997	0.0	0.0	0.0
ENSBTAG00000001009	3.17205	2.508169	2.82831
ENSBTAG00000001014	3.574179	2.44502	3.035188
ENSBTAG00000001020	0.228862	0.128988	0.049226
ENSBTAG00000001042	8.204335	5.408984	8.062172
ENSBTAG00000001058	1.490406	1.062556	1.263241
ENSBTAG00000001059	0.537029	0.087687	2.09127
ENSBTAG00000001062	0.0	0.0	0.0
ENSBTAG00000001069	2.640355	1.571659	1.678565
ENSBTAG00000001071	2.911115	3.060964	2.80608
ENSBTAG00000001101	0.0	0.132252	0.163604
ENSBTAG00000001109	13.676222	18.360422	11.453406
ENSBTAG00000001113	4.279193	4.195064	4.430225
ENSBTAG00000001119	2.331149	1.638897	2.497011
ENSBTAG00000001120	13.203982	5.804808	6.733073
ENSBTAG00000001126	8.327831	7.62654	9.740445
ENSBTAG00000001140	9.004872	7.434605	6.42938
ENSBTAG00000001141	2.081991	0.863478	0.781109
ENSBTAG00000001144	81.061356	78.248718	61.381668
ENSBTAG00000001152	1.486725	0.503762	1.08351
ENSBTAG00000001153	3.676672	0.940749	1.282502
ENSBTAG00000001164	4.881201	3.809183	4.39269
ENSBTAG00000001168	3.835203	2.738526	3.787952
ENSBTAG00000001174	36.20084	30.768118	31.273729
ENSBTAG00000001187	29.366173	27.552633	27.087496
ENSBTAG00000001199	5.671206	4.576684	6.782941
ENSBTAG00000001204	22.639078	18.117395	19.683447
ENSBTAG00000001287	0.254861	1.045299	0.842143
ENSBTAG00000001290	2.432793	2.318978	1.315976
ENSBTAG00000001299	4.879223	8.08409	7.43511
ENSBTAG00000001314	4.756226	5.717494	5.213464
ENSBTAG00000001320	6.560877	3.694528	3.700303
ENSBTAG00000001329	5.478831	3.90766	4.967686
ENSBTAG00000001346	1.156757	0.684575	0.0
ENSBTAG00000001350	0.129953	0.050299	0.605803
ENSBTAG00000001352	8.212836	5.430014	5.911208
ENSBTAG00000001353	10.408002	7.795578	12.183215
ENSBTAG00000001387	8.882485	8.809552	11.225093
ENSBTAG00000001401	15.194296	12.578372	11.892365
ENSBTAG00000001406	0.0	0.0	0.0
ENSBTAG00000001410	7.713089	9.020808	9.47005
ENSBTAG00000001414	5.474582	8.776841	11.541377
ENSBTAG00000001419	20.373224	13.55689	13.206899
ENSBTAG00000001424	11.340183	11.916046	14.207046
ENSBTAG00000001425	7.524599	7.796352	7.978209
ENSBTAG00000001473	5.648989	3.235521	3.514855
ENSBTAG00000001485	16.61418	12.60242	13.818525
ENSBTAG00000001504	5.549223	2.855678	3.884485
ENSBTAG00000001505	2.668164	1.451293	1.809538
ENSBTAG00000001511	6.306836	4.642551	5.940202
