ENSEMBL gene ID	E6_Cerebellum	E4_cerebellum1	E4_cerebellum2	E4_cerebellum3
ENSBTAG00000000012	2.724979	10.599337	14.379349	8.760212
ENSBTAG00000000032	2.491943	0.842208	1.275748	1.928455
ENSBTAG00000000033	1.70825	1.160418	0.876221	1.48517
ENSBTAG00000000040	6.640479	8.088414	10.879751	9.489477
ENSBTAG00000000046	9.445127	5.343982	3.378225	6.17138
ENSBTAG00000000057	2.03761	0.677326	0.213305	0.76884
ENSBTAG00000000072	4.324929	14.964056	12.04859	12.445576
ENSBTAG00000000081	0.747868	5.428154	5.715314	6.682162
ENSBTAG00000000085	0.0	0.0	0.0	0.0
ENSBTAG00000000140	23.501451	8.095419	10.544641	10.571051
ENSBTAG00000000146	14.15737	10.844745	9.223402	11.215739
ENSBTAG00000000160	15.368243	14.078556	9.885503	10.192533
ENSBTAG00000000172	0.0	0.102593	0.227141	0.0
ENSBTAG00000000197	1.594002	4.201849	5.507623	2.595696
ENSBTAG00000000277	0.234207	0.527903	0.720428	0.709799
ENSBTAG00000000285	2.75167	7.052889	6.342093	5.770001
ENSBTAG00000000286	53.15929	59.687607	45.932404	54.534809
ENSBTAG00000000296	11.377415	3.609686	3.113806	5.339268
ENSBTAG00000000317	100.522324	24.465866	25.172583	46.036781
ENSBTAG00000000330	7.079009	1.296908	1.550576	2.822276
ENSBTAG00000000354	0.337172	0.803234	0.454836	0.0
ENSBTAG00000000355	9.298281	8.174131	6.978485	7.884049
ENSBTAG00000000356	12.411429	6.473658	6.453617	10.704279
ENSBTAG00000000379	4.210432	18.328611	24.363516	14.977841
ENSBTAG00000000409	5.627991	15.167589	14.53341	12.381922
ENSBTAG00000000411	27.65649	10.887556	9.563241	14.893258
ENSBTAG00000000435	66.713852	22.08847	14.064266	23.8095
ENSBTAG00000000446	1.809954	1.477891	1.390614	2.500947
ENSBTAG00000000475	0.785127	3.581222	5.43362	3.072171
ENSBTAG00000000478	0.0	0.258916	0.0	0.0
ENSBTAG00000000480	8.565165	2.179485	1.70372	3.917431
ENSBTAG00000000489	10.955312	3.620211	1.061214	2.618627
ENSBTAG00000000490	14.52782	5.20009	3.779298	6.832052
ENSBTAG00000000500	2.222195	2.27137	3.168223	2.201542
ENSBTAG00000000511	6.489447	15.103619	15.439023	17.107468
ENSBTAG00000000524	48.690594	28.130323	28.996965	40.758007
ENSBTAG00000000536	3.827676	4.147208	5.061798	5.632294
ENSBTAG00000000559	73.653572	18.027185	13.160025	19.440941
ENSBTAG00000000565	6.647856	32.748489	25.586788	23.060526
ENSBTAG00000000575	23.851042	9.990727	8.291038	11.993011
ENSBTAG00000000586	9.181457	11.690314	9.390452	8.857695
ENSBTAG00000000590	0.0	0.0	0.0	0.0
ENSBTAG00000000646	8.644261	5.654013	4.320991	4.044577
ENSBTAG00000000654	0.168486	0.0	0.0	0.0
ENSBTAG00000000670	1.097299	0.324293	0.0	0.294212
ENSBTAG00000000671	0.856319	0.164104	0.070816	0.310758
ENSBTAG00000000694	30.908855	12.602284	7.807636	11.721757
ENSBTAG00000000696	24.392271	9.175818	9.961051	12.63835
ENSBTAG00000000697	2.1492	2.896353	3.486647	4.168408
ENSBTAG00000000712	8.105674	9.068354	10.770705	9.716645
ENSBTAG00000000771	77.969688	139.348892	128.699066	115.064911
ENSBTAG00000000785	2.643183	2.011054	1.488199	1.980877
ENSBTAG00000000789	14.893103	12.552738	5.690507	13.976007
ENSBTAG00000000795	33.08131	43.707935	43.804913	55.856216
ENSBTAG00000000810	28.803774	6.786463	4.85462	9.639722
ENSBTAG00000000811	29.939281	10.165296	10.992836	17.545683
ENSBTAG00000000817	1.448895	0.618345	0.284832	1.198064
ENSBTAG00000000829	1.307913	1.877616	0.428117	2.004553
ENSBTAG00000000831	12.864819	8.293959	6.189399	9.870142
ENSBTAG00000000833	16.230492	8.02631	8.924193	11.850605
ENSBTAG00000000848	24.755573	12.3635	8.119406	19.553928
ENSBTAG00000000856	9.207561	2.919509	2.688776	4.32616
ENSBTAG00000000857	69.90744	27.805805	21.374529	37.241104
ENSBTAG00000000910	8.389113	10.720321	7.510467	10.908242
ENSBTAG00000000916	0.258663	0.0	0.252489	0.0
ENSBTAG00000000918	5.875533	3.241115	2.177933	3.092581
ENSBTAG00000000923	0.0	0.0	0.0	0.0
ENSBTAG00000000925	0.106946	1.159636	0.673352	1.129577
ENSBTAG00000000945	0.829616	0.509513	0.180226	0.690723
ENSBTAG00000000958	2.961729	1.195201	1.572649	1.926546
ENSBTAG00000000961	3.660864	2.823836	1.985334	2.236097
ENSBTAG00000000973	0.0	0.0	0.0	0.0
ENSBTAG00000000981	42.789406	12.500653	12.045192	17.576313
ENSBTAG00000000982	0.180357	0.0	0.0	0.34497
ENSBTAG00000000990	10.86511	24.074301	23.415861	21.130121
ENSBTAG00000000991	9.294204	13.185444	16.664896	11.113667
ENSBTAG00000000997	0.0	0.0	0.0	0.0
ENSBTAG00000001009	2.89035	0.979357	1.286156	1.34425
ENSBTAG00000001014	12.003935	4.494584	4.114979	6.525564
ENSBTAG00000001020	0.0	0.0	0.0	0.0
ENSBTAG00000001042	5.313542	12.560848	11.474676	12.177895
ENSBTAG00000001058	11.331507	2.062308	0.870165	2.818685
ENSBTAG00000001059	24.343021	5.27599	3.382781	4.498073
ENSBTAG00000001062	0.0	0.0	0.0	0.0
ENSBTAG00000001069	4.64833	2.719651	2.166649	2.92476
ENSBTAG00000001071	12.681414	6.376134	4.693443	8.421957
ENSBTAG00000001101	0.114796	0.367266	0.0	0.181923
ENSBTAG00000001109	31.088829	15.587638	15.202991	27.204605
ENSBTAG00000001113	4.120909	6.188699	5.192827	4.142164
ENSBTAG00000001119	13.233335	4.858929	4.27912	5.125854
ENSBTAG00000001120	322.108337	91.00914	59.974777	112.345482
ENSBTAG00000001126	2.013545	7.228644	5.682343	4.639714
ENSBTAG00000001140	17.945353	13.580249	11.6527	8.794453
ENSBTAG00000001141	2.178385	1.540217	1.27264	1.608436
ENSBTAG00000001144	58.080029	78.843727	76.829712	66.257568
ENSBTAG00000001152	0.493388	0.079605	0.0	0.151214
ENSBTAG00000001153	6.835559	4.33356	2.063712	3.326425
ENSBTAG00000001164	4.655759	6.151347	4.948205	6.12525
ENSBTAG00000001168	4.322805	3.692323	5.35161	5.048293
ENSBTAG00000001174	12.788159	33.421505	33.636292	26.400429
ENSBTAG00000001187	0.59475	0.08425	0.0	0.159393
ENSBTAG00000001199	6.72812	6.075452	5.607217	6.341496
ENSBTAG00000001204	8.65416	6.815288	6.111544	9.451601
ENSBTAG00000001287	1.476821	0.224224	0.435954	1.490022
ENSBTAG00000001290	1.190433	2.592096	4.944161	2.098388
ENSBTAG00000001299	4.582594	3.933212	7.87169	5.263309
ENSBTAG00000001314	3.387851	9.258596	8.032834	7.997877
ENSBTAG00000001320	17.053314	7.460641	4.633605	7.974761
ENSBTAG00000001329	15.368935	3.818048	3.046482	6.550776
ENSBTAG00000001346	0.593756	0.873792	0.41667	0.699001
ENSBTAG00000001350	1.613496	1.230083	1.145654	0.55214
ENSBTAG00000001352	19.838415	12.294805	8.582108	10.029765
ENSBTAG00000001353	29.7439	10.443284	8.047172	12.816522
ENSBTAG00000001387	9.636514	6.187953	6.53916	8.757916
ENSBTAG00000001401	23.577808	14.078208	10.961938	20.372009
ENSBTAG00000001406	0.0	0.18032	0.0	0.0
ENSBTAG00000001410	6.803797	7.563032	9.376307	13.583263
ENSBTAG00000001414	37.768913	18.276005	20.957945	37.386478
ENSBTAG00000001419	30.025457	13.145719	13.826188	14.080744
ENSBTAG00000001424	11.745317	22.472794	20.033913	22.949284
ENSBTAG00000001425	3.3074	10.543408	9.036482	8.675872
ENSBTAG00000001473	51.501934	13.833215	10.520313	22.994257
ENSBTAG00000001485	5.954279	33.438576	30.917089	21.792852
ENSBTAG00000001504	8.417652	4.037954	1.553297	3.184536
ENSBTAG00000001505	4.144263	2.7069	2.415152	2.541149
ENSBTAG00000001511	18.921743	18.414829	15.670297	24.823236
ENSBTAG00000001517	0.230844	0.368984	0.0	0.0
ENSBTAG00000001518	11.114676	12.372824	11.844169	15.265254
ENSBTAG00000001519	7.509522	4.613279	3.061408	3.98619
ENSBTAG00000001520	19.292816	10.141911	8.625281	10.87541
ENSBTAG00000001522	7.277137	13.130134	8.82997	9.523657
ENSBTAG00000001539	4.454389	13.646298	12.952514	9.736861
ENSBTAG00000001545	0.309074	0.420644	0.0	0.377696
ENSBTAG00000001553	117.755127	201.788345	201.881104	172.900833
ENSBTAG00000001574	1.942056	8.43956	8.140548	5.915737
ENSBTAG00000001592	11.030754	19.241781	17.135239	16.241755
ENSBTAG00000001593	10.147382	4.203967	3.984134	5.323777
ENSBTAG00000001594	36.387348	13.544157	13.391818	19.731871
ENSBTAG00000001597	3.006662	1.595349	1.57586	2.67574
ENSBTAG00000001603	0.245873	0.452176	0.635815	0.260995
ENSBTAG00000001609	2.541328	2.454892	3.027593	2.372354
ENSBTAG00000001615	72.06916	28.310408	22.072002	38.320072
ENSBTAG00000001632	18.678274	22.844757	22.162298	28.921522
ENSBTAG00000001665	15.534052	11.533788	11.895288	18.891745
ENSBTAG00000001666	0.809184	7.000293	9.940357	9.245743
ENSBTAG00000001675	11.877969	5.593082	4.692541	8.323058
ENSBTAG00000001697	32.877632	58.084682	58.476173	41.698486
ENSBTAG00000001711	18.123943	12.884406	10.992085	19.324688
ENSBTAG00000001714	5.633458	5.18655	4.208731	8.467144
ENSBTAG00000001717	0.453357	0.334467	0.0	0.268522
ENSBTAG00000001737	2.631142	8.32886	10.176808	6.419373
ENSBTAG00000001747	1.808362	4.819971	5.968467	2.567628
ENSBTAG00000001762	17.407856	5.336525	2.977278	5.118188
ENSBTAG00000001763	11.558949	7.216186	6.09823	9.394936
