ENSEMBL gene ID	E1_LIVE3770	E1_LIVE3773	E1_LIVE3842	E1_LIVE3886	E4_Liver1	E4_Liver2	E4_Liver3
ENSBTAG00000000012	4.458729	5.388254	4.000512	5.054665	5.576217	11.675091	10.876769
ENSBTAG00000000032	10.773606	7.727746	5.562071	5.591136	3.292823	0.611319	0.669062
ENSBTAG00000000033	0.506651	1.347698	0.422534	0.859566	0.225516	0.033103	0.189037
ENSBTAG00000000040	5.780999	6.195714	4.890765	4.647698	2.208637	4.363889	5.072527
ENSBTAG00000000046	7.573452	5.660899	9.969465	5.740129	9.61819	5.760712	5.066413
ENSBTAG00000000057	0.103095	0.190402	0.109979	0.112406	0.0	0.0	0.0
ENSBTAG00000000072	6.203413	5.821554	5.837265	4.980502	20.538004	11.538797	11.543602
ENSBTAG00000000081	10.554457	16.491856	8.061201	9.402551	3.089668	6.757108	5.659834
ENSBTAG00000000085	1211.037842	2293.544678	2119.420898	1927.042603	230.847244	208.776184	208.757614
ENSBTAG00000000140	748.467773	1123.148193	1088.077515	904.756165	133.956619	126.241592	129.634781
ENSBTAG00000000146	33.424316	39.422157	39.175259	40.268715	15.394206	9.601694	10.466959
ENSBTAG00000000160	59.359581	71.660316	57.377163	59.638489	20.620586	16.18116	19.569475
ENSBTAG00000000172	0.0	0.0	0.0	0.0	36.741028	16.149473	23.310646
ENSBTAG00000000197	0.973875	0.91382	1.728776	1.682742	5.364682	4.87852	5.435344
ENSBTAG00000000277	11.026009	7.898328	11.62432	6.711332	2.536734	3.106611	4.985298
ENSBTAG00000000285	2.614022	3.393002	3.429548	3.619617	0.622877	1.101952	1.097524
ENSBTAG00000000286	3.685739	4.203377	3.355039	3.668989	0.524426	0.942544	0.81756
ENSBTAG00000000296	6.054726	4.253053	3.734852	4.828812	0.094658	0.339699	0.0
ENSBTAG00000000317	0.345102	0.207926	0.14448	0.13306	0.0	0.0	0.0
ENSBTAG00000000330	75.491783	92.965477	55.144459	89.219986	4.181531	5.290666	4.90945
ENSBTAG00000000354	0.367701	0.1606	0.109065	0.247985	0.0	0.0	0.0
ENSBTAG00000000355	4.027038	4.685011	3.456763	3.362708	0.969144	0.720979	1.544946
ENSBTAG00000000356	4.539382	7.123045	4.482309	3.57638	4.21139	2.261266	1.531366
ENSBTAG00000000379	4.222994	3.162946	5.241842	3.451293	7.842313	14.339642	9.306422
ENSBTAG00000000409	4.258014	4.283274	4.239464	3.821112	13.013093	13.296659	11.109731
ENSBTAG00000000411	24.190779	27.003687	18.694376	23.898083	3.632813	1.498429	2.297807
ENSBTAG00000000435	10.214787	13.119223	9.3018	8.252385	4.155027	1.485843	1.700364
ENSBTAG00000000446	4.17994	7.033843	4.003003	4.693461	0.0	0.0	0.259269
ENSBTAG00000000475	3.140978	2.915304	2.602836	2.766512	0.548019	0.865421	0.48237
