ENSEMBL gene ID	E6_Lung	E4_Lung1	E4_Lung2	E4_Lung3	E1_LUNG3770	E1_LUNG3773	E1_LUNG3842	E1_LUNG3886
ENSBTAG00000000012	5.279115	12.363716	9.658903	8.798761	4.806439	6.952725	6.018929	7.820296
ENSBTAG00000000032	31.847286	11.120696	13.380894	15.033242	31.300291	54.35339	49.188637	47.555473
ENSBTAG00000000033	8.2482	3.112256	2.05327	2.179744	3.594907	11.796511	3.444114	7.508003
ENSBTAG00000000040	14.764608	10.748672	10.566598	14.881842	16.096375	18.900764	19.953928	22.439083
ENSBTAG00000000046	5.759428	6.798481	4.045903	6.557663	7.644114	6.012945	7.836907	7.125084
ENSBTAG00000000057	2.16259	0.386557	0.0	0.414107	4.362761	2.896833	1.263921	1.850215
ENSBTAG00000000072	5.686497	18.235416	9.375107	17.006657	6.298836	8.45203	8.402551	7.058745
ENSBTAG00000000081	2.689954	7.966414	4.32059	7.214367	22.433064	23.203474	14.39623	27.668732
ENSBTAG00000000085	0.0	0.136615	0.177172	0.588866	0.699802	0.195298	0.184679	0.353382
ENSBTAG00000000140	276.233185	88.7146	79.6511	97.25016	363.890045	371.75293	544.805786	596.087769
ENSBTAG00000000146	29.463062	20.893906	20.274529	23.28133	99.942772	81.529633	68.82634	79.920105
ENSBTAG00000000160	3.805439	3.633162	2.247335	4.187699	10.206277	7.901746	6.017488	8.266572
ENSBTAG00000000172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000000197	1.681674	5.558363	8.416256	3.56234	1.408517	1.363927	1.76374	1.100543
ENSBTAG00000000277	7.070548	6.969467	21.944357	10.104803	14.088751	25.112246	44.009224	22.659761
ENSBTAG00000000285	2.722079	8.424332	3.995779	7.599856	3.089857	3.699628	5.113879	4.090724
ENSBTAG00000000286	2.236888	1.607805	2.633309	3.759532	10.060658	10.401599	9.224332	10.50087
ENSBTAG00000000296	10.61481	3.286384	1.554263	2.019626	24.696859	28.610872	26.49473	25.061972
ENSBTAG00000000317	8.402877	1.203608	0.817349	1.539315	41.014462	27.929602	34.349201	40.694344
ENSBTAG00000000330	8.938682	2.145943	3.955568	1.038338	35.397995	30.93997	42.794491	37.522682
ENSBTAG00000000354	0.0	0.0	0.0	0.0	0.425081	0.076847	0.038203	0.085742
ENSBTAG00000000355	2.793276	3.413673	7.418484	4.162868	4.725282	4.724006	5.986948	5.011903
ENSBTAG00000000356	29.409502	10.815419	11.981109	9.41227	12.20819	26.149969	13.990436	13.457228
ENSBTAG00000000379	7.644895	35.87574	49.410843	29.697409	14.146113	12.439148	11.583865	9.070996
ENSBTAG00000000409	9.590845	34.246769	36.734806	27.904669	8.259294	7.710703	9.57077	6.487572
ENSBTAG00000000411	25.029085	9.558806	6.95112	8.074129	58.18898	58.726665	56.160442	62.38644
ENSBTAG00000000435	10.111306	3.005849	0.777157	2.335019	12.687981	14.847531	17.91374	15.446157
ENSBTAG00000000446	2.308417	0.530501	0.024089	0.76666	15.398048	21.040684	8.774837	16.501411
ENSBTAG00000000475	0.925447	1.747321	6.436498	4.961661	2.955655	3.483712	4.258705	3.418105
