ENSEMBL gene ID	E1_SPLE3770	E1_SPLE3773	E1_SPLE3842	E1_SPLE3886	E4_Spleen1	E4_Spleen2	E4_Spleen3
ENSBTAG00000000012	8.582422	7.459755	7.775318	6.407119	13.626498	10.707616	20.358074
ENSBTAG00000000032	110.358627	108.336922	102.361877	98.975586	38.181282	39.557484	22.252989
ENSBTAG00000000033	25.300753	23.979397	6.10519	11.988807	8.990492	12.305798	5.67099
ENSBTAG00000000040	16.938227	21.289471	19.992105	18.193659	17.570091	16.92498	18.308218
ENSBTAG00000000046	11.047046	7.443926	10.512295	9.661042	5.319928	7.884395	10.389978
ENSBTAG00000000057	0.815493	0.504491	0.30544	0.320363	0.0	0.0	0.0
ENSBTAG00000000072	10.27448	9.114129	9.301798	9.724013	11.136507	13.225057	17.472876
ENSBTAG00000000081	16.213734	16.571575	13.163335	14.025252	7.178529	6.017098	8.377494
ENSBTAG00000000085	0.341085	0.365558	0.034978	0.569584	0.0	0.0	0.0
ENSBTAG00000000140	101.484398	109.804878	103.294502	92.573944	48.144543	63.282242	42.878551
ENSBTAG00000000146	6.284037	7.17208	8.851985	9.166743	4.478779	4.308116	4.59065
ENSBTAG00000000160	7.29705	7.854998	8.478819	9.170126	2.598259	4.236608	3.935707
ENSBTAG00000000172	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000000197	1.854424	1.350437	1.896121	1.703983	3.534549	4.885201	6.415062
ENSBTAG00000000277	206.107895	229.513443	282.771881	320.642914	25.824518	27.406784	31.882069
ENSBTAG00000000285	5.699596	3.916899	6.159569	5.846782	6.821754	5.647504	8.159942
ENSBTAG00000000286	7.65199	5.852157	6.54462	5.387211	1.863996	2.248863	1.597301
ENSBTAG00000000296	27.151651	35.065273	29.856373	29.652843	5.193691	8.236852	2.997591
ENSBTAG00000000317	1.798131	1.974587	1.462281	1.785656	0.120629	0.28392	0.0
ENSBTAG00000000330	42.529354	49.830952	46.473373	40.871605	4.68223	5.512559	2.95994
ENSBTAG00000000354	0.600514	0.304461	0.250079	0.106245	0.0	0.0	0.0
ENSBTAG00000000355	6.23468	7.271104	6.450684	6.453641	3.206902	5.01431	3.493721
ENSBTAG00000000356	14.135428	23.274426	17.19132	18.225903	9.380417	12.883607	6.482501
ENSBTAG00000000379	16.972071	12.561976	13.884871	14.112459	26.708117	26.147161	33.144756
ENSBTAG00000000409	13.326501	8.354195	10.106636	10.042746	25.25107	19.558971	36.878548
ENSBTAG00000000411	49.621857	52.504208	42.326717	42.713581	8.142989	10.856564	4.173283
ENSBTAG00000000435	19.716156	16.744572	19.332792	17.188547	3.972765	6.282252	2.372707
ENSBTAG00000000446	4.857992	6.313235	3.561729	4.229247	0.193708	0.859991	0.0
ENSBTAG00000000475	6.025157	5.34188	7.113202	5.305707	1.487331	3.13175	3.635249
ENSBTAG00000000478	0.634903	0.208957	1.22532	0.76023	0.0	0.0	0.0
ENSBTAG00000000480	33.148132	43.645378	36.013943	34.273296	3.242118	5.659632	1.953325
ENSBTAG00000000489	2.105067	2.451124	3.348904	2.891696	0.436088	0.511436	0.26475
ENSBTAG00000000490	1.470894	1.317108	1.436054	1.015161	0.668646	0.443969	0.240725
ENSBTAG00000000500	7.712664	8.065997	8.455542	6.00088	4.932797	4.593898	3.122647
ENSBTAG00000000511	5.514059	4.971064	4.932708	4.090708	5.734254	7.407793	5.41716
ENSBTAG00000000524	220.227356	233.362549	311.679779	250.333771	88.426422	112.042297	58.051792
ENSBTAG00000000536	12.863549	18.787304	14.697784	13.857634	7.17187	5.529956	6.944417
ENSBTAG00000000559	63.041916	352.417419	41.155972	62.271126	3.621602	5.691438	5.478471
ENSBTAG00000000565	6.974743	6.675764	6.103576	6.112429	24.242834	26.369715	37.111435
ENSBTAG00000000575	23.013826	16.950953	11.393076	23.684895	12.728175	13.182356	14.301497
ENSBTAG00000000586	3.452359	2.181109	2.797869	2.245987	5.256359	5.285825	6.056633
ENSBTAG00000000590	1.894672	2.183384	1.415208	1.496447	0.061138	0.071668	0.0
ENSBTAG00000000646	16.084192	13.348652	15.482895	11.302369	7.371009	8.11773	6.985135
ENSBTAG00000000654	1.848296	1.645718	1.795455	1.580756	1.348253	0.964677	0.209294
ENSBTAG00000000670	13.782297	12.394061	11.677507	10.760921	0.0	0.863196	0.0
ENSBTAG00000000671	8.461042	6.251276	4.905798	4.420965	1.183862	5.995027	0.935065
ENSBTAG00000000694	202.672302	181.554916	206.922211	215.53125	15.618896	15.936308	12.825337
ENSBTAG00000000696	69.941116	75.953049	74.555435	69.731972	27.407316	27.899059	17.260744
ENSBTAG00000000697	5.038612	4.817251	3.522209	4.276905	4.848084	5.128076	3.969337
ENSBTAG00000000712	22.249994	21.320827	21.754919	21.425648	12.79897	14.133706	14.166186
ENSBTAG00000000771	59.160995	41.413635	43.750385	47.484093	28.847609	26.65134	32.891666
ENSBTAG00000000785	2.578361	3.087813	1.951248	1.487842	0.492137	1.038539	0.798385
ENSBTAG00000000789	43.719868	40.022919	45.060188	43.195549	4.939672	9.920177	5.310625
