ENSEMBL gene ID	E1_ADIP3773	E1_ADIP3842	E1_ADIP3886	E4_Brainlobe1	E4_Brainlobe2	E4_Brainlobe3	E6_Cerebellum	E4_cerebellum1	E4_cerebellum2	E4_cerebellum3	E1_HEAR3770	E1_HEAR3773	E1_HEAR3842	E1_HEAR3886	E4_Heart1	E4_Heart2	E4_Heart3	E1_LIVE3770	E1_LIVE3773	E1_LIVE3842	E1_LIVE3886	E4_Liver1	E4_Liver2	E4_Liver3	E6_Lung	E4_Lung1	E4_Lung2	E4_Lung3	E1_LUNG3770	E1_LUNG3773	E1_LUNG3842	E1_LUNG3886	E1_SPLE3770	E1_SPLE3773	E1_SPLE3842	E1_SPLE3886	E4_Spleen1	E4_Spleen2	E4_Spleen3
ENSBTAG00000000012	2.725568	5.134759	6.691768	12.872191	18.678043	19.002209	2.724979	10.599337	14.379349	8.760212	3.848407	4.436405	5.37698	5.771232	7.315503	5.894417	5.942513	4.458729	5.388254	4.000512	5.054665	5.576217	11.675091	10.876769	5.279115	12.363716	9.658903	8.798761	4.806439	6.952725	6.018929	7.820296	8.582422	7.459755	7.775318	6.407119	13.626498	10.707616	20.358074
ENSBTAG00000000032	9.203103	7.898942	11.591132	1.752825	1.624824	1.875049	2.491943	0.842208	1.275748	1.928455	6.183107	6.626374	3.751776	2.85434	0.726483	0.543468	2.22799	10.773606	7.727746	5.562071	5.591136	3.292823	0.611319	0.669062	31.847286	11.120696	13.380894	15.033242	31.300291	54.35339	49.188637	47.555473	110.358627	108.336922	102.361877	98.975586	38.181282	39.557484	22.252989
ENSBTAG00000000033	0.607931	0.356496	0.300275	4.145785	1.932946	1.815835	1.70825	1.160418	0.876221	1.48517	3.750221	4.21351	3.801247	2.781747	1.541473	1.315081	2.13514	0.506651	1.347698	0.422534	0.859566	0.225516	0.033103	0.189037	8.2482	3.112256	2.05327	2.179744	3.594907	11.796511	3.444114	7.508003	25.300753	23.979397	6.10519	11.988807	8.990492	12.305798	5.67099
ENSBTAG00000000040	10.047157	10.217588	13.185547	14.225814	15.449402	17.685884	6.640479	8.088414	10.879751	9.489477	5.719249	6.978616	5.731085	5.996511	3.149942	2.187502	4.100554	5.780999	6.195714	4.890765	4.647698	2.208637	4.363889	5.072527	14.764608	10.748672	10.566598	14.881842	16.096375	18.900764	19.953928	22.439083	16.938227	21.289471	19.992105	18.193659	17.570091	16.92498	18.308218
ENSBTAG00000000046	7.023517	5.413497	5.653501	5.190461	3.913808	4.285415	9.445127	5.343982	3.378225	6.17138	9.147653	8.189908	8.241941	8.316321	1.62687	1.000407	2.499926	7.573452	5.660899	9.969465	5.740129	9.61819	5.760712	5.066413	5.759428	6.798481	4.045903	6.557663	7.644114	6.012945	7.836907	7.125084	11.047046	7.443926	10.512295	9.661042	5.319928	7.884395	10.389978
ENSBTAG00000000057	17.898802	28.941788	24.082333	0.834812	0.199331	0.402931	2.03761	0.677326	0.213305	0.76884	3.687574	5.330577	2.745157	2.890369	0.0	0.720908	0.852264	0.103095	0.190402	0.109979	0.112406	0.0	0.0	0.0	2.16259	0.386557	0.0	0.414107	4.362761	2.896833	1.263921	1.850215	0.815493	0.504491	0.30544	0.320363	0.0	0.0	0.0
ENSBTAG00000000072	6.953381	5.865973	7.774122	11.33848	11.238683	11.287083	4.324929	14.964056	12.04859	12.445576	16.612616	15.697362	15.648876	21.309965	22.29764	20.9768	20.50732	6.203413	5.821554	5.837265	4.980502	20.538004	11.538797	11.543602	5.686497	18.235416	9.375107	17.006657	6.298836	8.45203	8.402551	7.058745	10.27448	9.114129	9.301798	9.724013	11.136507	13.225057	17.472876
ENSBTAG00000000081	12.733145	9.52757	14.434188	4.652357	5.159865	5.480316	0.747868	5.428154	5.715314	6.682162	3.766507	6.30792	3.009261	3.311633	0.456875	1.638804	1.310678	10.554457	16.491856	8.061201	9.402551	3.089668	6.757108	5.659834	2.689954	7.966414	4.32059	7.214367	22.433064	23.203474	14.39623	27.668732	16.213734	16.571575	13.163335	14.025252	7.178529	6.017098	8.377494
ENSBTAG00000000085	0.076023	0.0	0.272044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.265709	0.882036	0.0	0.123066	0.0	0.592116	0.042397	1211.037842	2293.544678	2119.420898	1927.042603	230.847244	208.776184	208.757614	0.0	0.136615	0.177172	0.588866	0.699802	0.195298	0.184679	0.353382	0.341085	0.365558	0.034978	0.569584	0.0	0.0	0.0
ENSBTAG00000000140	125.109779	178.422531	157.259293	13.678185	11.585773	13.097614	23.501451	8.095419	10.544641	10.571051	17.79784	54.633598	78.901459	78.949738	19.71215	11.09129	18.44881	748.467773	1123.148193	1088.077515	904.756165	133.956619	126.241592	129.634781	276.233185	88.7146	79.6511	97.25016	363.890045	371.75293	544.805786	596.087769	101.484398	109.804878	103.294502	92.573944	48.144543	63.282242	42.878551
ENSBTAG00000000146	21.951078	24.652571	26.276947	12.832284	12.971989	13.356907	14.15737	10.844745	9.223402	11.215739	6.210848	6.882834	4.695899	5.604202	1.745954	1.263501	2.535447	33.424316	39.422157	39.175259	40.268715	15.394206	9.601694	10.466959	29.463062	20.893906	20.274529	23.28133	99.942772	81.529633	68.82634	79.920105	6.284037	7.17208	8.851985	9.166743	4.478779	4.308116	4.59065
ENSBTAG00000000160	12.156931	8.121004	6.798251	5.028982	4.830511	4.287166	15.368243	14.078556	9.885503	10.192533	2.324397	2.753525	2.969626	2.789934	0.436427	0.864222	1.044666	59.359581	71.660316	57.377163	59.638489	20.620586	16.18116	19.569475	3.805439	3.633162	2.247335	4.187699	10.206277	7.901746	6.017488	8.266572	7.29705	7.854998	8.478819	9.170126	2.598259	4.236608	3.935707
ENSBTAG00000000172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.102593	0.227141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.070499	0.0	0.0	0.0	0.0	36.741028	16.149473	23.310646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000000197	0.895689	1.008257	1.103506	2.962501	4.011382	3.85863	1.594002	4.201849	5.507623	2.595696	0.734118	0.652445	0.58671	0.614691	1.255988	0.562109	0.885922	0.973875	0.91382	1.728776	1.682742	5.364682	4.87852	5.435344	1.681674	5.558363	8.416256	3.56234	1.408517	1.363927	1.76374	1.100543	1.854424	1.350437	1.896121	1.703983	3.534549	4.885201	6.415062
ENSBTAG00000000277	32.269062	52.822872	30.812048	2.068223	1.412954	1.300936	0.234207	0.527903	0.720428	0.709799	8.141086	7.357165	6.787796	5.784132	1.580864	1.711684	0.787357	11.026009	7.898328	11.62432	6.711332	2.536734	3.106611	4.985298	7.070548	6.969467	21.944357	10.104803	14.088751	25.112246	44.009224	22.659761	206.107895	229.513443	282.771881	320.642914	25.824518	27.406784	31.882069
ENSBTAG00000000285	4.027486	4.591781	5.205608	4.158561	3.875486	4.16254	2.75167	7.052889	6.342093	5.770001	5.006404	5.288054	5.497129	7.051726	1.941133	2.728286	4.377669	2.614022	3.393002	3.429548	3.619617	0.622877	1.101952	1.097524	2.722079	8.424332	3.995779	7.599856	3.089857	3.699628	5.113879	4.090724	5.699596	3.916899	6.159569	5.846782	6.821754	5.647504	8.159942
ENSBTAG00000000286	8.505358	7.832462	10.728398	76.563431	54.585201	55.641754	53.15929	59.687607	45.932404	54.534809	439.934723	342.090302	309.778503	461.166595	132.229	108.5197	156.9332	3.685739	4.203377	3.355039	3.668989	0.524426	0.942544	0.81756	2.236888	1.607805	2.633309	3.759532	10.060658	10.401599	9.224332	10.50087	7.65199	5.852157	6.54462	5.387211	1.863996	2.248863	1.597301
ENSBTAG00000000296	36.341057	21.589127	28.732237	8.023746	3.517663	4.62417	11.377415	3.609686	3.113806	5.339268	6.772106	11.479692	4.604527	5.128856	0.342544	0.157454	0.672566	6.054726	4.253053	3.734852	4.828812	0.094658	0.339699	0.0	10.61481	3.286384	1.554263	2.019626	24.696859	28.610872	26.49473	25.061972	27.151651	35.065273	29.856373	29.652843	5.193691	8.236852	2.997591
ENSBTAG00000000317	16.453262	24.057016	17.417377	37.411846	29.346216	30.927916	100.522324	24.465866	25.172583	46.036781	0.603701	1.183055	0.758863	0.563886	1.123581	0.0	0.0	0.345102	0.207926	0.14448	0.13306	0.0	0.0	0.0	8.402877	1.203608	0.817349	1.539315	41.014462	27.929602	34.349201	40.694344	1.798131	1.974587	1.462281	1.785656	0.120629	0.28392	0.0
ENSBTAG00000000330	28.320496	24.606985	25.119833	0.929005	0.725499	0.799189	7.079009	1.296908	1.550576	2.822276	10.714252	11.076382	8.094786	7.018831	0.995897	0.240206	0.618175	75.491783	92.965477	55.144459	89.219986	4.181531	5.290666	4.90945	8.938682	2.145943	3.955568	1.038338	35.397995	30.93997	42.794491	37.522682	42.529354	49.830952	46.473373	40.871605	4.68223	5.512559	2.95994
