Gene stable ID,Domestic yak gene stable ID,Domestic yak gene name,Domestic yak homology type,Goat gene stable ID,Goat gene name,Goat homology type,Sheep gene stable ID,Sheep gene name,Sheep homology type,Yarkand deer gene stable ID,Yarkand deer gene name,Yarkand deer homology type,Gene name
ENSBTAG00000000012,ENSBGRG00000024337,TTC33,ortholog_one2one,ENSCHIG00000020642,TTC33,ortholog_one2one,ENSOARG00020037796,TTC33,ortholog_one2one,ENSCHYG00000017689,TTC33,ortholog_one2one,TTC33
ENSBTAG00000000046,ENSBGRG00000003491,SURF2,ortholog_one2one,ENSCHIG00000022633,SURF2,ortholog_one2one,ENSOARG00020002406,SURF2,ortholog_one2one,ENSCHYG00000009850,SURF2,ortholog_one2one,SURF2
ENSBTAG00000000140,ENSBGRG00000004302,EPHX1,ortholog_one2one,ENSCHIG00000017919,EPHX1,ortholog_one2one,ENSOARG00020018225,EPHX1,ortholog_one2one,ENSCHYG00000008370,EPHX1,ortholog_one2one,EPHX1
ENSBTAG00000000277,ENSBGRG00000008627,IL18,ortholog_one2one,ENSCHIG00000020991,IL18,ortholog_one2one,ENSOARG00020032382,IL18,ortholog_one2one,ENSCHYG00000000912,IL18,ortholog_one2one,IL18
ENSBTAG00000000355,ENSBGRG00000025463,OXLD1,ortholog_one2one,ENSCHIG00000016238,OXLD1,ortholog_one2one,ENSOARG00020039876,OXLD1,ortholog_one2one,ENSCHYG00000005913,OXLD1,ortholog_one2one,OXLD1
ENSBTAG00000000356,ENSBGRG00000025468,CCDC137,ortholog_one2one,ENSCHIG00000011693,CCDC137,ortholog_one2one,ENSOARG00020025104,CCDC137,ortholog_one2one,ENSCHYG00000024590,CCDC137,ortholog_one2one,CCDC137
ENSBTAG00000000478,ENSBGRG00000024030,LSMEM2,ortholog_one2one,ENSCHIG00000017621,LSMEM2,ortholog_one2one,ENSOARG00020014174,LSMEM2,ortholog_one2one,ENSCHYG00000024774,LSMEM2,ortholog_one2one,LSMEM2
ENSBTAG00000000511,ENSBGRG00000006731,CNST,ortholog_one2one,ENSCHIG00000011991,CNST,ortholog_one2one,ENSOARG00020035376,CNST,ortholog_one2one,ENSCHYG00000012068,CNST,ortholog_one2one,CNST
ENSBTAG00000000586,ENSBGRG00000020312,CPLANE1,ortholog_one2one,ENSCHIG00000022182,CPLANE1,ortholog_one2one,ENSOARG00020012798,CPLANE1,ortholog_one2one,ENSCHYG00000022035,CPLANE1,ortholog_one2one,CPLANE1
ENSBTAG00000000590,ENSBGRG00000006115,POLE,ortholog_one2one,ENSCHIG00000007241,POLE,ortholog_one2one,ENSOARG00020021578,POLE,ortholog_one2one,ENSCHYG00000004435,POLE,ortholog_one2one,POLE
ENSBTAG00000000646,ENSBGRG00000012791,ANAPC4,ortholog_one2one,ENSCHIG00000023609,ANAPC4,ortholog_one2one,ENSOARG00020016174,ANAPC4,ortholog_one2one,ENSCHYG00000007432,ANAPC4,ortholog_one2one,ANAPC4
ENSBTAG00000000670,ENSBGRG00000025851,RRP9,ortholog_one2one,ENSCHIG00000006900,RRP9,ortholog_one2one,ENSOARG00020025956,RRP9,ortholog_one2one,ENSCHYG00000013757,RRP9,ortholog_one2one,RRP9
ENSBTAG00000000694,ENSBGRG00000004125,TAF10,ortholog_one2one,ENSCHIG00000012283,TAF10,ortholog_one2one,ENSOARG00020009554,TAF10,ortholog_one2one,ENSCHYG00000014007,TAF10,ortholog_one2one,TAF10
ENSBTAG00000000697,ENSBGRG00000003778,RRP8,ortholog_one2one,ENSCHIG00000019002,RRP8,ortholog_one2one,ENSOARG00020009794,RRP8,ortholog_one2one,ENSCHYG00000014218,RRP8,ortholog_one2one,RRP8
ENSBTAG00000000712,ENSBGRG00000011027,FBXW2,ortholog_one2one,ENSCHIG00000020458,FBXW2,ortholog_one2one,ENSOARG00020004368,FBXW2,ortholog_one2one,ENSCHYG00000006280,FBXW2,ortholog_one2one,FBXW2
ENSBTAG00000000785,ENSBGRG00000001050,PASK,ortholog_one2one,ENSCHIG00000007156,PASK,ortholog_one2one,ENSOARG00020000277,PASK,ortholog_one2one,ENSCHYG00000024901,PASK,ortholog_one2one,PASK
ENSBTAG00000000810,ENSBGRG00000001045,COPE,ortholog_one2one,ENSCHIG00000019197,COPE,ortholog_one2one,ENSOARG00020021129,COPE,ortholog_one2one,,,,COPE
ENSBTAG00000000831,ENSBGRG00000021392,CTNS,ortholog_one2one,ENSCHIG00000017748,CTNS,ortholog_one2one,ENSOARG00020017250,CTNS,ortholog_one2one,ENSCHYG00000007142,CTNS,ortholog_one2one,CTNS
ENSBTAG00000000833,ENSBGRG00000021332,TAX1BP3,ortholog_one2one,ENSCHIG00000012669,TAX1BP3,ortholog_one2one,ENSOARG00020017149,TAX1BP3,ortholog_one2one,ENSCHYG00000007212,TAX1BP3,ortholog_one2one,TAX1BP3
ENSBTAG00000000918,ENSBGRG00000023855,ERMARD,ortholog_one2one,ENSCHIG00000017737,ERMARD,ortholog_one2one,ENSOARG00020026186,ERMARD,ortholog_one2one,ENSCHYG00000026945,ERMARD,ortholog_one2one,ERMARD
ENSBTAG00000000961,,,,,,,ENSOARG00020015919,,ortholog_one2one,,,,NEURL2
ENSBTAG00000000982,ENSBGRG00000019083,C3orf84,ortholog_one2one,ENSCHIG00000015744,C3orf84,ortholog_one2one,,,,ENSCHYG00000019991,C3orf84,ortholog_one2one,C22H3orf84
ENSBTAG00000000991,ENSBGRG00000010055,MRPL32,ortholog_one2one,ENSCHIG00000026167,MRPL32,ortholog_one2one,ENSOARG00020039792,MRPL32,ortholog_one2one,ENSCHYG00000021557,MRPL32,ortholog_one2one,MRPL32
ENSBTAG00000000997,,,,ENSCHIG00000011292,,ortholog_one2one,ENSOARG00020005116,,ortholog_one2one,,,,
ENSBTAG00000001062,ENSBGRG00000014887,PTH2,ortholog_one2one,ENSCHIG00000022486,PTH2,ortholog_one2one,ENSOARG00020022564,PTH2,ortholog_one2one,ENSCHYG00000002097,PTH2,ortholog_one2one,PTH2
ENSBTAG00000001071,ENSBGRG00000013328,WRAP53,ortholog_one2one,ENSCHIG00000015730,WRAP53,ortholog_one2one,ENSOARG00020011477,WRAP53,ortholog_one2one,,,,WRAP53
ENSBTAG00000001109,ENSBGRG00000004938,MRPS14,ortholog_one2one,,,,,,,,,,MRPS14
ENSBTAG00000001109,ENSBGRG00000004938,MRPS14,ortholog_one2one,,,,,,,,,,MRPS14
ENSBTAG00000001113,ENSBGRG00000013431,NDUFAF7,ortholog_one2one,ENSCHIG00000024822,NDUFAF7,ortholog_one2one,ENSOARG00020000736,NDUFAF7,ortholog_one2one,ENSCHYG00000006399,NDUFAF7,ortholog_one2one,NDUFAF7
ENSBTAG00000001140,ENSBGRG00000013251,IAH1,ortholog_one2one,ENSCHIG00000016467,IAH1,ortholog_one2one,,,,ENSCHYG00000012019,IAH1,ortholog_one2one,IAH1
