Gene stable ID,Rat gene stable ID,Rat gene name,Rat homology type,Gene name
ENSMUSG00000000028,ENSRNOG00000070046,Cdc45,ortholog_one2one,Cdc45
ENSMUSG00000000171,ENSRNOG00000022980,Sdhd,ortholog_one2one,Sdhd
ENSMUSG00000000346,ENSRNOG00000004628,Dazap2,ortholog_one2one,Dazap2
ENSMUSG00000000563,ENSRNOG00000064742,Atp5pb,ortholog_one2one,Atp5pb
ENSMUSG00000000776,ENSRNOG00000010028,Polr3d,ortholog_one2one,Polr3d
ENSMUSG00000000902,ENSRNOG00000028302,Smarcb1,ortholog_one2one,Smarcb1
ENSMUSG00000000976,ENSRNOG00000002542,Heatr6,ortholog_one2one,Heatr6
ENSMUSG00000001018,ENSRNOG00000013356,Snapin,ortholog_one2one,Snapin
ENSMUSG00000001053,ENSRNOG00000021731,N4bp3,ortholog_one2one,N4bp3
ENSMUSG00000001105,ENSRNOG00000008891,Ift20,ortholog_one2one,Ift20
ENSMUSG00000001134,ENSRNOG00000009893,Uxt,ortholog_one2one,Uxt
ENSMUSG00000001285,ENSRNOG00000013343,Myg1,ortholog_one2one,Myg1
ENSMUSG00000001305,ENSRNOG00000002450,Rrp15,ortholog_one2one,Rrp15
ENSMUSG00000001376,ENSRNOG00000009894,Vps50,ortholog_one2one,Vps50
ENSMUSG00000001420,ENSRNOG00000019414,Tmem79,ortholog_one2one,Tmem79
ENSMUSG00000001445,ENSRNOG00000009567,Mrpl10,ortholog_one2one,Mrpl10
ENSMUSG00000001786,ENSRNOG00000004637,Fbxo7,ortholog_one2one,Fbxo7
ENSMUSG00000001983,ENSRNOG00000008405,Taco1,ortholog_one2one,Taco1
ENSMUSG00000002014,ENSRNOG00000053172,Ssr4,ortholog_one2one,Ssr4
ENSMUSG00000002031,ENSRNOG00000013919,Ift46,ortholog_one2one,Ift46
ENSMUSG00000002052,ENSRNOG00000012240,Supt6h,ortholog_one2one,Supt6
ENSMUSG00000002109,ENSRNOG00000014071,Ddb2,ortholog_one2one,Ddb2
ENSMUSG00000002129,ENSRNOG00000005218,Sf3a1,ortholog_one2one,Sf3a1
ENSMUSG00000002297,ENSRNOG00000050482,Dbf4,ortholog_one2one,Dbf4
ENSMUSG00000002307,ENSRNOG00000000477,Daxx,ortholog_one2one,Daxx
ENSMUSG00000002343,ENSRNOG00000020280,Armc6,ortholog_one2one,Armc6
ENSMUSG00000002379,ENSRNOG00000048320,Ndufa11,ortholog_one2one,Ndufa11
ENSMUSG00000002395,ENSRNOG00000016619,Use1,ortholog_one2one,Use1
ENSMUSG00000002546,ENSRNOG00000011884,Golga2,ortholog_one2one,Golga2
ENSMUSG00000002658,ENSRNOG00000047134,Gtf2f1,ortholog_one2one,Gtf2f1
ENSMUSG00000002661,ENSRNOG00000047089,Alkbh7,ortholog_one2one,Alkbh7
ENSMUSG00000002768,ENSRNOG00000017144,Mea1,ortholog_one2one,Mea1
ENSMUSG00000002769,ENSRNOG00000016349,Gnmt,ortholog_one2one,Gnmt
ENSMUSG00000002963,ENSRNOG00000020318,Pnkp,ortholog_one2one,Pnkp
ENSMUSG00000003135,ENSRNOG00000023220,Cnot11,ortholog_one2one,Cnot11
ENSMUSG00000003421,ENSRNOG00000020543,Nosip,ortholog_one2one,Nosip
ENSMUSG00000003437,ENSRNOG00000019746,Paf1,ortholog_one2one,Paf1
ENSMUSG00000003444,ENSRNOG00000019702,Med29,ortholog_one2one,Med29
ENSMUSG00000003458,ENSRNOG00000005355,Ncstn,ortholog_one2one,Ncstn
ENSMUSG00000003527,ENSRNOG00000000283,Ess2,ortholog_one2one,Ess2
ENSMUSG00000003549,ENSRNOG00000017839,Ercc1,ortholog_one2one,Ercc1
ENSMUSG00000003662,ENSRNOG00000012638,Ciao1,ortholog_one2one,Ciao1
ENSMUSG00000004268,ENSRNOG00000012828,Emg1,ortholog_one2one,Emg1
ENSMUSG00000004371,ENSRNOG00000017386,Il11,ortholog_one2one,Il11
ENSMUSG00000004446,ENSRNOG00000012439,Bid,ortholog_one2one,Bid
ENSMUSG00000004462,ENSRNOG00000026458,Tbccd1,ortholog_one2one,Tbccd1
ENSMUSG00000005150,ENSRNOG00000004287,Wdr83,ortholog_one2one,Wdr83
ENSMUSG00000005262,ENSRNOG00000047394,Ufd1,ortholog_one2one,Ufd1
ENSMUSG00000005510,ENSRNOG00000009155,Ndufs3,ortholog_one2one,Ndufs3
ENSMUSG00000005687,ENSRNOG00000018783,Bcas2,ortholog_one2one,Bcas2
