Chicken BIP number,Collared flycatcher BIP number
291,8
360,22
393,34
510,76
559,104
663,134
672,139
695,167
711,168
838,218
928,231
1036,262
1047,269
1188,325
1189,326
1224,340
1226,342
1227,343
1229,345
1509,408
1643,440
1678,475
1779,493
1926,540
2163,587
2308,626
2392,653
2495,686
2563,704
2630,721
2834,795
2839,801
2844,803
2846,804
2902,821
2918,824
2957,836
3022,848
