Gene stable ID,Vervet-AGM gene stable ID,Vervet-AGM gene name,Vervet-AGM homology type,Crab-eating macaque gene stable ID,Crab-eating macaque gene name,Crab-eating macaque homology type,Gorilla gene stable ID,Gorilla gene name,Gorilla homology type,Chimpanzee gene stable ID,Chimpanzee gene name,Chimpanzee homology type,Sumatran orangutan gene stable ID,Sumatran orangutan gene name,Sumatran orangutan homology type,Gene name
ENSG00000002330,ENSCSAG00000007151,BAD,ortholog_one2one,ENSMFAG00000035492,BAD,ortholog_one2one,ENSGGOG00000012256,BAD,ortholog_one2one,ENSPTRG00000003830,BAD,ortholog_one2one,ENSPPYG00000003110,BAD,ortholog_one2one,BAD
ENSG00000003056,ENSCSAG00000009501,M6PR,ortholog_one2one,ENSMFAG00000003259,M6PR,ortholog_one2one,ENSGGOG00000010747,M6PR,ortholog_one2one,ENSPTRG00000004648,M6PR,ortholog_one2one,ENSPPYG00000004247,M6PR,ortholog_one2one,M6PR
ENSG00000004961,ENSCSAG00000015264,HCCS,ortholog_one2one,ENSMFAG00000030584,HCCS,ortholog_one2one,ENSGGOG00000007328,HCCS,ortholog_one2one,ENSPTRG00000021657,HCCS,ortholog_one2one,ENSPPYG00000020120,HCCS,ortholog_one2one,HCCS
ENSG00000005194,ENSCSAG00000004912,CIAPIN1,ortholog_one2one,ENSMFAG00000000222,CIAPIN1,ortholog_one2one,ENSGGOG00000012402,CIAPIN1,ortholog_one2one,ENSPTRG00000008155,CIAPIN1,ortholog_one2one,ENSPPYG00000007388,CIAPIN1,ortholog_one2one,CIAPIN1
ENSG00000006327,ENSCSAG00000010276,TNFRSF12A,ortholog_one2one,ENSMFAG00000038242,TNFRSF12A,ortholog_one2one,,,,ENSPTRG00000044814,TNFRSF12A,ortholog_one2one,,,,TNFRSF12A
ENSG00000006712,ENSCSAG00000003870,PAF1,ortholog_one2one,ENSMFAG00000046024,PAF1,ortholog_one2one,ENSGGOG00000001843,PAF1,ortholog_one2one,ENSPTRG00000010964,PAF1,ortholog_one2one,ENSPPYG00000009964,PAF1,ortholog_one2one,PAF1
ENSG00000007520,ENSCSAG00000011742,TSR3,ortholog_one2one,ENSMFAG00000031171,TSR3,ortholog_one2one,ENSGGOG00000011679,TSR3,ortholog_one2one,ENSPTRG00000007589,TSR3,ortholog_one2one,ENSPPYG00000034811,TSR3,ortholog_one2one,TSR3
ENSG00000010072,ENSCSAG00000010313,SPRTN,ortholog_one2one,ENSMFAG00000002589,SPRTN,ortholog_one2one,ENSGGOG00000003142,SPRTN,ortholog_one2one,ENSPTRG00000002109,SPRTN,ortholog_one2one,ENSPPYG00000036706,SPRTN,ortholog_one2one,SPRTN
ENSG00000011295,ENSCSAG00000008576,TTC19,ortholog_one2one,ENSMFAG00000036185,TTC19,ortholog_one2one,ENSGGOG00000001647,,ortholog_one2one,ENSPTRG00000008807,TTC19,ortholog_one2one,ENSPPYG00000008012,TTC19,ortholog_one2one,TTC19
ENSG00000011600,ENSCSAG00000004287,TYROBP,ortholog_one2one,ENSMFAG00000039856,,ortholog_one2one,ENSGGOG00000015332,TYROBP,ortholog_one2one,ENSPTRG00000010876,TYROBP,ortholog_one2one,ENSPPYG00000009889,,ortholog_one2one,TYROBP
ENSG00000012963,ENSCSAG00000011203,UBR7,ortholog_one2one,ENSMFAG00000018470,UBR7,ortholog_one2one,ENSGGOG00000027838,UBR7,ortholog_one2one,ENSPTRG00000006662,UBR7,ortholog_one2one,ENSPPYG00000006086,UBR7,ortholog_one2one,UBR7
