Chicken BIP number,Kakapo BIP number
24,477
43,493
46,495
51,498
107,530
108,533
269,222
320,243
339,255
346,260
360,262
392,284
440,306
792,825
803,831
810,837
833,852
838,858
865,800
954,1602
955,1603
1085,1926
1093,1932
1094,1933
1140,1892
1152,1903
1678,2157
1679,2158
1689,2145
1743,1093
1766,1536
1779,1548
1926,1048
2102,1144
2277,621
2305,670
2308,672
2475,975
2487,983
2488,984
2495,994
2499,997
2522,1005
2563,885
2692,1275
2723,1317
2743,1335
2761,1345
2803,1231
3022,383
