Cow_BIP number	Cow_Gene stable ID	Cow_Chromosome/scaffold name	Cow_Gene start (bp)	Cow_Gene end (bp)	Cow_Strand	Cow_Gene description	Cow_Gene name	Cow_Gene type	Cow_Gene stable ID.1	Cow_Chromosome/scaffold name.1	Cow_Gene start (bp).1	Cow_Gene end (bp).1	Cow_Strand.1	Cow_Gene description.1	Cow_Gene name.1	Cow_Gene type.1	Cow_distance	Domestic_Yak__BIP number	Domestic_Yak__Gene stable ID	Domestic_Yak__Chromosome/scaffold name	Domestic_Yak__Gene start (bp)	Domestic_Yak__Gene end (bp)	Domestic_Yak__Strand	Domestic_Yak__Gene description	Domestic_Yak__Gene name	Domestic_Yak__Gene type	Domestic_Yak__Gene stable ID.1	Domestic_Yak__Chromosome/scaffold name.1	Domestic_Yak__Gene start (bp).1	Domestic_Yak__Gene end (bp).1	Domestic_Yak__Strand.1	Domestic_Yak__Gene description.1	Domestic_Yak__Gene name.1	Domestic_Yak__Gene type.1	Domestic_Yak__distance	Goat_BIP number	Goat_Gene stable ID	Goat_Chromosome/scaffold name	Goat_Gene start (bp)	Goat_Gene end (bp)	Goat_Strand	Goat_Gene description	Goat_Gene name	Goat_Gene type	Goat_Gene stable ID.1	Goat_Chromosome/scaffold name.1	Goat_Gene start (bp).1	Goat_Gene end (bp).1	Goat_Strand.1	Goat_Gene description.1	Goat_Gene name.1	Goat_Gene type.1	Goat_distance	Sperm_Whale_BIP number	Sperm_Whale_Gene stable ID	Sperm_Whale_Chromosome/scaffold name	Sperm_Whale_Gene start (bp)	Sperm_Whale_Gene end (bp)	Sperm_Whale_Strand	Sperm_Whale_Gene description	Sperm_Whale_Gene name	Sperm_Whale_Gene type	Sperm_Whale_Gene stable ID.1	Sperm_Whale_Chromosome/scaffold name.1	Sperm_Whale_Gene start (bp).1	Sperm_Whale_Gene end (bp).1	Sperm_Whale_Strand.1	Sperm_Whale_Gene description.1	Sperm_Whale_Gene name.1	Sperm_Whale_Gene type.1	Sperm_Whale_distance	Vaquita_BIP number	Vaquita_Gene stable ID	Vaquita_Chromosome/scaffold name	Vaquita_Gene start (bp)	Vaquita_Gene end (bp)	Vaquita_Strand	Vaquita_Gene description	Vaquita_Gene name	Vaquita_Gene type	Vaquita_Gene stable ID.1	Vaquita_Chromosome/scaffold name.1	Vaquita_Gene start (bp).1	Vaquita_Gene end (bp).1	Vaquita_Strand.1	Vaquita_Gene description.1	Vaquita_Gene name.1	Vaquita_Gene type.1	Vaquita_distance	Sheep_BIP number	Sheep_Gene stable ID	Sheep_Chromosome/scaffold name	Sheep_Gene start (bp)	Sheep_Gene end (bp)	Sheep_Strand	Sheep_Gene description	Sheep_Gene name	Sheep_Gene type	Sheep_Gene stable ID.1	Sheep_Chromosome/scaffold name.1	Sheep_Gene start (bp).1	Sheep_Gene end (bp).1	Sheep_Strand.1	Sheep_Gene description.1	Sheep_Gene name.1	Sheep_Gene type.1	Sheep_distance	Yarkand_Deer_BIP number	Yarkand_Deer_Gene stable ID	Yarkand_Deer_Chromosome/scaffold name	Yarkand_Deer_Gene start (bp)	Yarkand_Deer_Gene end (bp)	Yarkand_Deer_Strand	Yarkand_Deer_Gene description	Yarkand_Deer_Gene name	Yarkand_Deer_Gene type	Yarkand_Deer_Gene stable ID.1	Yarkand_Deer_Chromosome/scaffold name.1	Yarkand_Deer_Gene start (bp).1	Yarkand_Deer_Gene end (bp).1	Yarkand_Deer_Strand.1	Yarkand_Deer_Gene description.1	Yarkand_Deer_Gene name.1	Yarkand_Deer_Gene type.1	Yarkand_Deer_distance	Blue_Whale_BIP number	Blue_Whale_Gene stable ID	Blue_Whale_Chromosome/scaffold name	Blue_Whale_Gene start (bp)	Blue_Whale_Gene end (bp)	Blue_Whale_Strand	Blue_Whale_Gene description	Blue_Whale_Gene name	Blue_Whale_Gene type	Blue_Whale_Gene stable ID.1	Blue_Whale_Chromosome/scaffold name.1	Blue_Whale_Gene start (bp).1	Blue_Whale_Gene end (bp).1	Blue_Whale_Strand.1	Blue_Whale_Gene description.1	Blue_Whale_Gene name.1	Blue_Whale_Gene type.1	Blue_Whale_distance
187	ENSBTAG00000013042	10	69619265	69671092	-1	exocyst complex component 5 [Source:VGNC Symbol;Acc:VGNC:28649]	EXOC5	protein_coding	ENSBTAG00000013043	10	69671251	69693761	1	adaptor related protein complex 5 subunit mu 1 [Source:VGNC Symbol;Acc:VGNC:25996]	AP5M1	protein_coding	159																																					384	ENSPCTG00005022744	11	138948037	139001195	-1	exocyst complex component 5 [Source:HGNC Symbol;Acc:HGNC:10696]	EXOC5	protein_coding	ENSPCTG00005022748	11	139001061	139019787	1	adaptor related protein complex 5 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:20192]	AP5M1	protein_coding	134	969	ENSPSNG00000007938	2	134235184	134286088	-1	exocyst complex component 5 [Source:NCBI gene (formerly Entrezgene);Acc:116748350]	EXOC5	protein_coding	ENSPSNG00000008044	2	134286256	134310910	1	adaptor related protein complex 5 subunit mu 1 [Source:NCBI gene (formerly Entrezgene);Acc:116748351]	AP5M1	protein_coding	168																			230	ENSCHYG00000006373	12	63260958	63311760	-1	exocyst complex component 5 [Source:HGNC Symbol;Acc:HGNC:10696]	EXOC5	protein_coding	ENSCHYG00000006463	12	63311781	63332116	1	adaptor related protein complex 5 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:20192]	AP5M1	protein_coding	21																		
194	ENSBTAG00000003371	10	71759930	71782133	1	JNK1/MAPK8 associated membrane protein [Source:VGNC Symbol;Acc:VGNC:30375]	JKAMP	protein_coding	ENSBTAG00000011451	10	71782760	71856100	-1	reticulon 1 [Source:VGNC Symbol;Acc:VGNC:34203]	RTN1	protein_coding	627																																																							972	ENSPSNG00000009382	2	136298671	136318122	1	JNK1/MAPK8 associated membrane protein [Source:NCBI gene (formerly Entrezgene);Acc:116749294]	JKAMP	protein_coding	ENSPSNG00000009510	2	136317617	136400565	-1	coiled-coil domain containing 175 [Source:HGNC Symbol;Acc:HGNC:19847]	CCDC175	protein_coding	505																																					778	ENSBMSG00010007274	2	134476991	134497316	1	JNK1/MAPK8 associated membrane protein [Source:HGNC Symbol;Acc:HGNC:20184]	JKAMP	protein_coding	ENSBMSG00010007322	2	134496809	134566342	-1	coiled-coil domain containing 175 [Source:HGNC Symbol;Acc:HGNC:19847]	CCDC175	protein_coding	507
230	ENSBTAG00000015667	11	2355706	2367369	-1	transmembrane protein 127 [Source:VGNC Symbol;Acc:VGNC:35960]	TMEM127	protein_coding	ENSBTAG00000015659	11	2367548	2374474	1	cytosolic iron-sulfur assembly component 1 [Source:VGNC Symbol;Acc:VGNC:27356]	CIAO1	protein_coding	179																			62	ENSCHIG00000012001	11	2294270	2304260	-1	transmembrane protein 127 [Source:HGNC Symbol;Acc:HGNC:26038]	TMEM127	protein_coding	ENSCHIG00000022318	11	2304782	2309844	1	cytosolic iron-sulfur assembly component 1 [Source:HGNC Symbol;Acc:HGNC:14280]	CIAO1	protein_coding	522																			461	ENSPSNG00000004866	13	81148396	81161146	-1	transmembrane protein 127 [Source:NCBI gene (formerly Entrezgene);Acc:116763958]	TMEM127	protein_coding	ENSPSNG00000004897	13	81161326	81172307	1	cytosolic iron-sulfur assembly component 1 [Source:NCBI gene (formerly Entrezgene);Acc:116764664]	CIAO1	protein_coding	180																																																						
256	ENSBTAG00000039770	11	19635046	19659111	-1	CCAAT enhancer binding protein zeta [Source:VGNC Symbol;Acc:VGNC:27164]	CEBPZ	protein_coding	ENSBTAG00000001113	11	19659154	19675873	1	NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:VGNC Symbol;Acc:VGNC:31959]	NDUFAF7	protein_coding	43																			72	ENSCHIG00000020789	11	19490964	19514133	-1	CCAAT enhancer binding protein zeta [Source:HGNC Symbol;Acc:HGNC:24218]	CEBPZ	protein_coding	ENSCHIG00000024822	11	19514275	19528018	1	NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]	NDUFAF7	protein_coding	142																			431	ENSPSNG00000014215	13	29857152	29880422	-1	CCAAT enhancer binding protein zeta [Source:NCBI gene (formerly Entrezgene);Acc:116764370]	CEBPZ	protein_coding	ENSPSNG00000014303	13	29880510	29907440	1	NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:NCBI gene (formerly Entrezgene);Acc:116764372]	NDUFAF7	protein_coding	88																			144	ENSCHYG00000006370	11	21119899	21143149	-1	CCAAT enhancer binding protein zeta [Source:HGNC Symbol;Acc:HGNC:24218]	CEBPZ	protein_coding	ENSCHYG00000006399	11	21143170	21156086	1	NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]	NDUFAF7	protein_coding	21																		
298	ENSBTAG00000047772	11	66861021	66864669	-1	F-box protein 48 [Source:VGNC Symbol;Acc:VGNC:58598]	FBXO48	protein_coding	ENSBTAG00000018401	11	66865005	66958571	1	aprataxin and PNKP like factor [Source:VGNC Symbol;Acc:VGNC:59203]	APLF	protein_coding	336																			81	ENSCHIG00000018110	11	66583148	66588611	-1	F-box protein 48 [Source:HGNC Symbol;Acc:HGNC:33857]	FBXO48	protein_coding	ENSCHIG00000015145	11	66588631	66689776	1	aprataxin and PNKP like factor [Source:HGNC Symbol;Acc:HGNC:28724]	APLF	protein_coding	20																			445	ENSPSNG00000017972	13	58345028	58350279	-1	F-box protein 48 [Source:NCBI gene (formerly Entrezgene);Acc:116764801]	FBXO48	protein_coding	ENSPSNG00000018014	13	58350471	58436729	1	aprataxin and PNKP like factor [Source:NCBI gene (formerly Entrezgene);Acc:116764653]	APLF	protein_coding	192																																																						
335	ENSBTAG00000012735	11	98387377	98393574	1	cilia and flagella associated protein 157 [Source:VGNC Symbol;Acc:VGNC:27238]	CFAP157	protein_coding	ENSBTAG00000012736	11	98393074	98395617	-1	peptidyl-tRNA hydrolase 1 homolog [Source:VGNC Symbol;Acc:VGNC:33561]	PTRH1	protein_coding	500																			96	ENSCHIG00000017051	11	97934584	97940654	1	cilia and flagella associated protein 157 [Source:HGNC Symbol;Acc:HGNC:27843]	CFAP157	protein_coding	ENSCHIG00000008188	11	97940862	97942595	-1	peptidyl-tRNA hydrolase 1 homolog [Source:HGNC Symbol;Acc:HGNC:27039]	PTRH1	protein_coding	208																																																							170	ENSCHYG00000017530	11	95962822	95969971	1	cilia and flagella associated protein 157 [Source:HGNC Symbol;Acc:HGNC:27843]	CFAP157	protein_coding	ENSCHYG00000017616	11	95969178	95971024	-1	peptidyl-tRNA hydrolase 1 homolog [Source:HGNC Symbol;Acc:HGNC:27039]	PTRH1	protein_coding	793	1140	ENSBMSG00010004154	6	108535839	108541878	1	cilia and flagella associated protein 157 [Source:HGNC Symbol;Acc:HGNC:27843]	CFAP157	protein_coding	ENSBMSG00010004170	6	108542104	108543548	-1	peptidyl-tRNA hydrolase 1 homolog [Source:HGNC Symbol;Acc:HGNC:27039]	PTRH1	protein_coding	226
343	ENSBTAG00000011317	11	98866668	98883294	-1	golgin A2 [Source:NCBI gene (formerly Entrezgene);Acc:508805]	GOLGA2	protein_coding	ENSBTAG00000030608	11	98883290	98890155	1	SWI5 homologous recombination repair protein [Source:HGNC Symbol;Acc:HGNC:31412]	SWI5	protein_coding	4																			99	ENSCHIG00000008218	11	98409422	98425260	-1			protein_coding	ENSCHIG00000018627	11	98425254	98430335	1			protein_coding	6																																																																																										
344	ENSBTAG00000004663	11	98897550	98918946	-1	TruB pseudouridine synthase family member 2 [Source:VGNC Symbol;Acc:VGNC:36405]	TRUB2	protein_coding	ENSBTAG00000004664	11	98919110	98933765	1	coenzyme Q4 [Source:VGNC Symbol;Acc:VGNC:59211]	COQ4	protein_coding	164																			100	ENSCHIG00000021160	11	98444881	98456157	-1	TruB pseudouridine synthase family member 2 [Source:HGNC Symbol;Acc:HGNC:17170]	TRUB2	protein_coding	ENSCHIG00000011631	11	98456454	98471175	1	coenzyme Q4 [Source:HGNC Symbol;Acc:HGNC:19693]	COQ4	protein_coding	297																																																							173	ENSCHYG00000004541	11	96468608	96479284	-1	TruB pseudouridine synthase family member 2 [Source:HGNC Symbol;Acc:HGNC:17170]	TRUB2	protein_coding	ENSCHYG00000004830	11	96479763	96491206	1	coenzyme Q4 [Source:HGNC Symbol;Acc:HGNC:19693]	COQ4	protein_coding	479	1146	ENSBMSG00010016144	6	109022887	109034729	-1	TruB pseudouridine synthase family member 2 [Source:HGNC Symbol;Acc:HGNC:17170]	TRUB2	protein_coding	ENSBMSG00010016174	6	109034834	109044907	1	coenzyme Q4 [Source:HGNC Symbol;Acc:HGNC:19693]	COQ4	protein_coding	105
541	ENSBTAG00000009394	14	14849669	15088095	-1	NSE2 (MMS21) homolog, SMC5-SMC6 complex SUMO ligase [Source:VGNC Symbol;Acc:VGNC:32280]	NSMCE2	protein_coding	ENSBTAG00000010275	14	15087934	15141402	1	WASH complex subunit 5 [Source:VGNC Symbol;Acc:VGNC:36869]	WASHC5	protein_coding	161																																																																																																													577	ENSBMSG00010018858	17	14715582	14934977	-1	NSE2 (MMS21) homolog, SMC5-SMC6 complex SUMO ligase [Source:HGNC Symbol;Acc:HGNC:26513]	NSMCE2	protein_coding	ENSBMSG00010018931	17	14934716	14989817	1	WASH complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:28984]	WASHC5	protein_coding	261
567	ENSBTAG00000007387	14	55078156	55088365	-1	ENY2 transcription and export complex 2 subunit [Source:VGNC Symbol;Acc:VGNC:28514]	ENY2	protein_coding	ENSBTAG00000007386	14	55087518	55225513	1	NudC domain containing 1 [Source:VGNC Symbol;Acc:VGNC:32322]	NUDCD1	protein_coding	847																																																																																											552	ENSCHYG00000013001	21	52468120	52477725	-1	ENY2 transcription and export complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:24449]	ENY2	protein_coding	ENSCHYG00000013032	21	52477746	52565233	1	NudC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24306]	NUDCD1	protein_coding	21	582	ENSBMSG00010013592	17	28415393	28424848	-1	ENY2 transcription and export complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:24449]	ENY2	protein_coding	ENSBMSG00010013606	17	28425049	28516808	1			protein_coding	201
