Human BIP number,Gorilla BIP number
15,10
74,46
99,73
209,152
235,159
410,215
446,222
486,238
490,242
496,245
753,356
783,373
819,381
868,390
977,416
991,421
1015,433
1025,438
1102,457
1110,461
1229,506
1263,522
1321,541
1323,543
1344,549
1404,569
1418,574
1473,601
1525,627
1790,656
1879,682
1992,726
2108,776
2354,788
2483,824
2557,840
2629,873
2634,876
2669,892
2782,939
2931,971
3132,1110
3242,1157
3797,1293
3812,1297
