Mouse_BIP_number,Algerian_mouse_BIP_number,Chinese hamster_BIP_number,Rat_BIP_number,Ryukyu_mouse_BIP_number,Shrew_mouse_BIP_number
1013,697,,,722,1025
104,81,,,85,2169
1047,708,,,734,
1070,719,,1142,746,486
1117,750,,,777,2519
1143,766,,,792,2535
1154,772,,,798,
116,,,,94,
1177,788,,,814,2554
1178,789,196,837,,2555
118,92,,,96,
1183,794,,,,2559
1202,811,,,834,2576
1217,817,,858,841,2583
1232,828,,,851,
1233,829,,1154,852,500
1234,,,,854,
1237,831,38,1158,855,502
1241,834,,1162,858,505
1256,840,,,864,1029
1264,845,,,869,1034
1265,846,,,870,1035
1272,851,,1964,875,1040
1273,852,,1965,876,1041
13,11,,,11,
1311,873,52,1984,895,1060
137,,,684,113,2194
1380,915,73,,938,1100
1391,,,,943,509
1400,927,,,950,516
1414,937,,,959,526
1421,,,,963,530
1422,941,,,964,
143,113,,,119,2200
1430,944,,,967,533
1442,951,,,,
1446,,1017,,,
1447,955,,,976,541
1449,958,,,,543
1451,960,,,980,545
1469,967,1023,,985,551
1474,972,,,,555
149,118,,,124,
150,119,,,125,2203
1506,986,,538,1003,569
153,122,,694,128,2207
1545,1007,735,,1023,1582
1553,1017,,,1033,1593
1567,,,340,,
1575,1030,,344,1048,1606
1590,1043,,,1062,1619
1597,1046,,,1065,1622
1612,1053,,,1072,1108
162,130,,,138,2215
1632,,903,,,
1635,1070,,,1093,1127
1639,1074,,,1096,1130
1640,1075,,,1097,1131
1641,1076,,,1098,1132
1642,1077,908,,1099,1133
1647,1081,,,1103,1138
166,134,,,141,2218
1677,1097,,,1118,
1687,,,,1127,1160
1689,1107,,,1129,1162
1691,1109,,,1131,1164
1692,1110,,,1132,1165
1703,1118,,2150,1143,1176
1729,1125,,,1151,1188
1738,1133,,,,
1748,1137,,,1164,917
1765,1148,341,,1177,927
1768,1150,,,,
1774,1158,345,,1186,936
1778,1161,,,1189,939
1796,1171,,,1202,951
1798,1172,,,,
1817,1183,,,,960
1873,1220,1087,245,1248,240
1874,1221,1088,246,,
188,,,716,,
1881,1228,1090,,1255,245
1885,1231,1092,250,,
1891,,1096,,,
1893,1237,,,1266,
191,151,,,155,
1912,1250,,,1279,267
1931,1264,,,1291,279
1935,1267,,278,1295,283
1936,1268,,,1297,285
1941,1270,,282,1299,287
1942,1271,,284,1300,288
195,154,,,158,
1962,1285,,,1313,299
197,156,,,160,
2005,1326,,,1354,1706
201,161,,724,163,2239
2014,1334,,,1362,1714
2025,1344,,,1374,1724
2035,1353,631,1370,1383,1733
2038,1355,,,1385,1735
2044,1361,,,1391,
2047,1364,635,1375,1394,1743
205,164,,,166,2242
2052,1369,637,,1399,1748
206,165,,,167,2243
2061,1375,,1386,1405,1756
2062,1376,,,1406,1757
2075,,,,,1767
2079,1392,,,1419,1771
2080,1393,,,1420,1772
2087,1398,,,1425,1778
2093,1405,,,1432,1784
2094,1406,,,1433,1785
2104,,,1409,,
2121,1426,,,1452,1806
2125,1429,,,1455,1809
2136,1439,,,1467,1820
2137,1440,,,1468,1821
2138,1441,,,1469,1822
2139,1442,,,1470,1823
2149,1451,,,1481,1833
2151,1453,,,,
2171,1470,,,1497,
2176,1475,,,1502,
2185,1481,,,1508,1860
2188,1485,,,1513,1864
2191,1489,,1474,1518,
2193,1491,,1475,1520,1870
2194,,,1476,,
2204,1499,,,,
2212,1505,,,1531,1883
2229,1522,,,1548,1898
225,175,,,175,1632
2257,1545,,,1572,1923
2284,1568,,,1589,1945
2285,1569,,1176,1591,1946
2287,1571,,,1593,1948
2289,1573,,,1595,1950
2323,1601,,,1622,1976
2335,1610,,,1631,1985
2349,1621,,,1642,1995
236,181,,,182,2596
2365,1633,,,1653,2006
2376,1639,,,1663,2013
2386,1649,,,1673,2023
2402,1657,,,,
2450,1695,,,1717,2069
2457,1699,,,1721,2073
2466,1708,,,,2079
2476,1717,,,1738,2088
2491,,,1644,,
2506,1747,,,,1660
2509,,,1655,,
2513,1754,,,1775,1668
2515,1756,,,1777,1670
2516,1757,,,,
2522,1762,,1668,1782,1678
2527,1766,,1671,1787,1683
2540,,,,,2250
2550,,,,,2254
2552,1781,,,1804,2256
2566,1791,,,1813,2267
257,194,,1322,198,2611
2572,1794,,1697,1817,2272
2592,1809,,1705,1832,2286
2593,1810,,1706,1833,2287
2598,,,1710,,
2601,1817,,1715,1839,2294
2603,1820,,,1843,
2614,1829,,1724,1852,2304
2618,1831,,,1855,
2626,,,,1862,2314
2635,1845,,,1868,2321
264,198,,,202,2615
2641,1852,,,1875,2328
2645,1854,,,1877,2330
2660,1868,,,,
2667,1871,,1758,1893,2344
268,,,,205,2618
2681,1882,,,,
2695,1894,,,1915,2366
2696,1895,,1774,1916,2367
2698,1896,,,1917,2368
2706,1902,,,1923,2374
2707,1903,,1778,1924,2375
2746,,,,1957,
2773,1956,,,1977,616
2776,1961,,,1981,620
2782,1966,,,1986,625
2786,1970,,,,
2794,1979,,,1995,635
2795,1980,,,,636
2800,1985,,,2001,641
2816,2003,,,2020,
2820,2006,715,,2023,660
2826,2012,,,2029,665
2833,2015,,,2032,
2837,2019,,,2036,
2844,2026,,,2043,
2845,2027,,,2044,
2857,2038,,,2055,
2919,2081,,,2099,
2925,2087,,,2105,
2941,2100,,,2116,
2950,2106,,619,2123,
2951,2107,,,,
2953,2109,,,2126,
2976,2126,,,2144,
2987,2136,,,,
2989,2138,,,2155,1330
2991,2140,,,2157,1332
2994,2142,,,2159,1334
30,,,2185,25,2112
3005,2152,295,1555,2167,1343
3007,2154,,,2169,1345
302,220,135,,225,2640
3029,2169,,,2185,
3034,2172,,,2189,1364
3043,2180,,,2198,1373
306,224,,,229,
3066,2194,,,2211,1386
3070,2198,,,2215,1390
3075,2202,,,2219,1395
3076,2203,,,2220,1396
3090,2215,,,2225,1405
