Cow BIP number,Domestic yak BIP number
187,79
194,82
230,885
256,895
298,909
335,859
343,862
344,863
541,269
567,282
683,120
702,157
740,173
759,183
834,229
864,240
868,242
1456,263
1682,622
1684,624
2120,834
2137,844
2215,745
