Mouse_BIP number,Mouse_Gene stable ID,Mouse_Chromosome/scaffold name,Mouse_Gene start (bp),Mouse_Gene end (bp),Mouse_Strand,Mouse_Gene description,Mouse_Gene name,Mouse_Gene type,Mouse_Gene stable ID.1,Mouse_Chromosome/scaffold name.1,Mouse_Gene start (bp).1,Mouse_Gene end (bp).1,Mouse_Strand.1,Mouse_Gene description.1,Mouse_Gene name.1,Mouse_Gene type.1,Mouse_distance,Rat_BIP number,Rat_Gene stable ID,Rat_Chromosome/scaffold name,Rat_Gene start (bp),Rat_Gene end (bp),Rat_Strand,Rat_Gene description,Rat_Gene name,Rat_Gene type,Rat_Gene stable ID.1,Rat_Chromosome/scaffold name.1,Rat_Gene start (bp).1,Rat_Gene end (bp).1,Rat_Strand.1,Rat_Gene description.1,Rat_Gene name.1,Rat_Gene type.1,Rat_distance,Algerian_Mouse_BIP number,Algerian_Mouse_Gene stable ID,Algerian_Mouse_Chromosome/scaffold name,Algerian_Mouse_Gene start (bp),Algerian_Mouse_Gene end (bp),Algerian_Mouse_Strand,Algerian_Mouse_Gene description,Algerian_Mouse_Gene name,Algerian_Mouse_Gene type,Algerian_Mouse_Gene stable ID.1,Algerian_Mouse_Chromosome/scaffold name.1,Algerian_Mouse_Gene start (bp).1,Algerian_Mouse_Gene end (bp).1,Algerian_Mouse_Strand.1,Algerian_Mouse_Gene description.1,Algerian_Mouse_Gene name.1,Algerian_Mouse_Gene type.1,Algerian_Mouse_distance,Shrew_Mouse_BIP number,Shrew_Mouse_Gene stable ID,Shrew_Mouse_Chromosome/scaffold name,Shrew_Mouse_Gene start (bp),Shrew_Mouse_Gene end (bp),Shrew_Mouse_Strand,Shrew_Mouse_Gene description,Shrew_Mouse_Gene name,Shrew_Mouse_Gene type,Shrew_Mouse_Gene stable ID.1,Shrew_Mouse_Chromosome/scaffold name.1,Shrew_Mouse_Gene start (bp).1,Shrew_Mouse_Gene end (bp).1,Shrew_Mouse_Strand.1,Shrew_Mouse_Gene description.1,Shrew_Mouse_Gene name.1,Shrew_Mouse_Gene type.1,Shrew_Mouse_distance,Ryukyu_Mouse_BIP number,Ryukyu_Mouse_Gene stable ID,Ryukyu_Mouse_Chromosome/scaffold name,Ryukyu_Mouse_Gene start (bp),Ryukyu_Mouse_Gene end (bp),Ryukyu_Mouse_Strand,Ryukyu_Mouse_Gene description,Ryukyu_Mouse_Gene name,Ryukyu_Mouse_Gene type,Ryukyu_Mouse_Gene stable ID.1,Ryukyu_Mouse_Chromosome/scaffold name.1,Ryukyu_Mouse_Gene start (bp).1,Ryukyu_Mouse_Gene end (bp).1,Ryukyu_Mouse_Strand.1,Ryukyu_Mouse_Gene description.1,Ryukyu_Mouse_Gene name.1,Ryukyu_Mouse_Gene type.1,Ryukyu_Mouse_distance
30,ENSMUSG00000026112,1,37456165,37469184,-1,cytochrome C oxidase assembly factor 5 [Source:MGI Symbol;Acc:MGI:1923428],Coa5,protein_coding,ENSMUSG00000026111,1,37469220,37478205,1,unc-50 homolog [Source:MGI Symbol;Acc:MGI:1914637],Unc50,protein_coding,36,2185,ENSRNOG00000064457,9,39640464,39664870,-1,,,protein_coding,ENSRNOG00000018128,9,39664971,39672890,1,unc-50 inner nuclear membrane RNA binding protein [Source:RGD Symbol;Acc:621749],Unc50,protein_coding,101,,,,,,,,,,,,,,,,,,,2112,MGP_PahariEiJ_G0027296,5,18020984,18032804,-1,cytochrome C oxidase assembly factor 5 [Source:MGI Symbol;Acc:MGI:1923428],Coa5,protein_coding,MGP_PahariEiJ_G0027297,5,18032841,18041197,1,unc-50 inner nuclear membrane RNA binding protein [Source:NCBI gene;Acc:110321600],Unc50,protein_coding,37,25,MGP_CAROLIEiJ_G0014050,1,32061820,32074835,-1,cytochrome C oxidase assembly factor 5 [Source:MGI Symbol;Acc:MGI:1923428],Coa5,protein_coding,MGP_CAROLIEiJ_G0014051,1,32074909,32083182,1,unc-50 homolog [Source:MGI Symbol;Acc:MGI:1914637],Unc50,protein_coding,74
32,ENSMUSG00000026088,1,37913882,37929492,-1,"MIT, microtubule interacting and transport, domain containing 1 [Source:MGI Symbol;Acc:MGI:1916278]",Mitd1,protein_coding,ENSMUSG00000026087,1,37929558,37937616,1,mitochondrial ribosomal protein L30 [Source:MGI Symbol;Acc:MGI:1333820],Mrpl30,protein_coding,66,2189,ENSRNOG00000018467,9,40113946,40125289,-1,microtubule interacting and trafficking domain containing 1 [Source:RGD Symbol;Acc:1307700],Mitd1,protein_coding,ENSRNOG00000049330,9,40125430,40137257,1,mitochondrial ribosomal protein L30 [Source:RGD Symbol;Acc:1308196],Mrpl30,protein_coding,141,23,MGP_SPRETEiJ_G0014860,1,36024430,36040453,-1,"MIT, microtubule interacting and transport, domain containing 1 [Source:MGI Symbol;Acc:MGI:1916278]",Mitd1,protein_coding,MGP_SPRETEiJ_G0014861,1,36040525,36055007,1,mitochondrial ribosomal protein L30 [Source:MGI Symbol;Acc:MGI:1333820],Mrpl30,protein_coding,72,2114,MGP_PahariEiJ_G0027302,5,18452587,18466369,-1,microtubule interacting and trafficking domain containing 1 [Source:NCBI gene;Acc:110321881],Mitd1,protein_coding,MGP_PahariEiJ_G0027303,5,18466452,18475082,1,mitochondrial ribosomal protein L30 [Source:NCBI gene;Acc:110322361],Mrpl30,protein_coding,83,27,MGP_CAROLIEiJ_G0014056,1,32508120,32524648,-1,microtubule interacting and trafficking domain containing 1 [Source:NCBI gene;Acc:110297757],Mitd1,protein_coding,MGP_CAROLIEiJ_G0014057,1,32524751,32534045,1,mitochondrial ribosomal protein L30 [Source:MGI Symbol;Acc:MGI:1333820],Mrpl30,protein_coding,103
69,ENSMUSG00000026189,1,72298326,72323473,-1,peroxisomal trans-2-enoyl-CoA reductase [Source:MGI Symbol;Acc:MGI:2148199],Pecr,protein_coding,ENSMUSG00000026188,1,72323528,72342263,1,transmembrane protein 169 [Source:MGI Symbol;Acc:MGI:2442781],Tmem169,protein_coding,55,2215,ENSRNOG00000055295,9,73897880,73926511,-1,peroxisomal trans-2-enoyl-CoA reductase [Source:RGD Symbol;Acc:70925],Pecr,protein_coding,ENSRNOG00000016091,9,73926568,73950576,1,transmembrane protein 169 [Source:RGD Symbol;Acc:1582820],Tmem169,protein_coding,57,55,MGP_SPRETEiJ_G0015048,1,71574959,71601879,-1,peroxisomal trans-2-enoyl-CoA reductase [Source:MGI Symbol;Acc:MGI:2148199],Pecr,protein_coding,MGP_SPRETEiJ_G0015049,1,71601934,71621745,1,transmembrane protein 169 [Source:MGI Symbol;Acc:MGI:2442781],Tmem169,protein_coding,55,2145,MGP_PahariEiJ_G0027479,5,50878143,50908956,-1,peroxisomal trans-2-enoyl-CoA reductase [Source:NCBI gene;Acc:110322273],Pecr,protein_coding,MGP_PahariEiJ_G0027480,5,50909001,50930056,1,transmembrane protein 169 [Source:NCBI gene;Acc:110322272],Tmem169,protein_coding,45,59,MGP_CAROLIEiJ_G0014241,1,65869644,65897181,-1,peroxisomal trans-2-enoyl-CoA reductase [Source:NCBI gene;Acc:110292793],Pecr,protein_coding,MGP_CAROLIEiJ_G0014242,1,65897236,65918902,1,transmembrane protein 169 [Source:MGI Symbol;Acc:MGI:2442781],Tmem169,protein_coding,55
137,ENSMUSG00000006010,1,150237056,150268831,-1,odr4 GPCR localization factor homolog [Source:MGI Symbol;Acc:MGI:2385108],Odr4,protein_coding,ENSMUSG00000006005,1,150268589,150325686,1,"translocated promoter region, nuclear basket protein [Source:MGI Symbol;Acc:MGI:1922066]",Tpr,protein_coding,242,684,ENSRNOG00000002473,13,62394608,62424209,-1,odr-4 GPCR localization factor homolog [Source:RGD Symbol;Acc:1307830],Odr4,protein_coding,ENSRNOG00000002394,13,62424312,62487496,1,"translocated promoter region, nuclear basket protein [Source:RGD Symbol;Acc:1310664]",Tpr,protein_coding,103,,,,,,,,,,,,,,,,,,,2194,MGP_PahariEiJ_G0027923,5,123462012,123486000,-1,odr-4 GPCR localization factor homolog [Source:NCBI gene;Acc:110321535],,protein_coding,MGP_PahariEiJ_G0027924,5,123485755,123545168,1,"translocated promoter region, nuclear basket protein [Source:NCBI gene;Acc:110321533]",Tpr,protein_coding,245,113,MGP_CAROLIEiJ_G0014687,1,141116779,141148946,-1,odr4 GPCR localization factor homolog [Source:MGI Symbol;Acc:MGI:2385108],Odr4,protein_coding,MGP_CAROLIEiJ_G0014688,1,141148729,141208272,1,"translocated promoter region, nuclear basket protein [Source:NCBI gene;Acc:110288454]",Tpr,protein_coding,217
153,ENSMUSG00000041406,1,163773562,163822365,-1,FIGNL1 interacting regulator of recombination and mitosis [Source:MGI Symbol;Acc:MGI:3590554],Firrm,protein_coding,ENSMUSG00000041396,1,163822458,163824812,1,methyltransferase like 18 [Source:MGI Symbol;Acc:MGI:1917212],Mettl18,protein_coding,93,694,ENSRNOG00000059276,13,76301918,76345804,-1,cDNA sequence BC055324 [Source:MGI Symbol;Acc:MGI:3590554],LOC498265,protein_coding,ENSRNOG00000025189,13,76345957,76348836,1,methyltransferase like 18 [Source:RGD Symbol;Acc:1306783],Mettl18,protein_coding,153,122,MGP_SPRETEiJ_G0015594,1,166088338,166136670,-1,cDNA sequence BC055324 [Source:MGI Symbol;Acc:MGI:3590554],Firrm,protein_coding,MGP_SPRETEiJ_G0015595,1,166136763,166139762,1,methyltransferase like 18 [Source:MGI Symbol;Acc:MGI:1917212],Mettl18,protein_coding,93,2207,MGP_PahariEiJ_G0028024,5,136665278,136720601,-1,cDNA sequence BC055324 [Source:MGI Symbol;Acc:MGI:3590554],Firrm,protein_coding,MGP_PahariEiJ_G0028025,5,136720694,136722903,1,methyltransferase like 18 [Source:NCBI gene;Acc:110322358],Mettl18,protein_coding,93,128,MGP_CAROLIEiJ_G0014787,1,154426597,154478706,-1,chromosome 1 C1orf112 homolog [Source:NCBI gene;Acc:110291174],Firrm,protein_coding,MGP_CAROLIEiJ_G0014788,1,154478799,154480954,1,methyltransferase like 18 [Source:NCBI gene;Acc:110300581],Mettl18,protein_coding,93
188,ENSMUSG00000046836,1,183057916,183078813,-1,BRO1 domain and CAAX motif containing [Source:MGI Symbol;Acc:MGI:1918928],Brox,protein_coding,ENSMUSG00000042901,1,183078134,183106331,1,"axin interactor, dorsalization associated [Source:MGI Symbol;Acc:MGI:1919737]",Aida,protein_coding,679,716,ENSRNOG00000052963,13,94920112,94940227,-1,BRO1 domain and CAAX motif containing [Source:RGD Symbol;Acc:1307161],Brox,protein_coding,ENSRNOG00000058805,13,94939741,94967920,1,"axin interactor, dorsalization associated [Source:RGD Symbol;Acc:1592746]",Aida,protein_coding,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,ENSMUSG00000037474,1,191269468,191307656,-1,denticleless E3 ubiquitin protein ligase [Source:MGI Symbol;Acc:MGI:1924093],Dtl,protein_coding,ENSMUSG00000037461,1,191307748,191355800,1,integrator complex subunit 7 [Source:MGI Symbol;Acc:MGI:1924315],Ints7,protein_coding,92,724,ENSRNOG00000004195,13,103117186,103154890,-1,denticleless E3 ubiquitin protein ligase homolog [Source:RGD Symbol;Acc:1310439],Dtl,protein_coding,ENSRNOG00000004263,13,103155090,103208592,1,integrator complex subunit 7 [Source:RGD Symbol;Acc:1308014],Ints7,protein_coding,200,161,MGP_SPRETEiJ_G0015852,1,194972930,195010931,-1,denticleless E3 ubiquitin protein ligase [Source:MGI Symbol;Acc:MGI:1924093],Dtl,protein_coding,MGP_SPRETEiJ_G0015853,1,195011023,195063190,1,integrator complex subunit 7 [Source:MGI Symbol;Acc:MGI:1924315],Ints7,protein_coding,92,2239,MGP_PahariEiJ_G0028284,5,163447000,163490302,-1,denticleless E3 ubiquitin protein ligase homolog [Source:NCBI gene;Acc:110322602],Dtl,protein_coding,MGP_PahariEiJ_G0028285,5,163490394,163544028,1,integrator complex subunit 7 [Source:NCBI gene;Acc:110322601],Ints7,protein_coding,92,163,MGP_CAROLIEiJ_G0015052,1,181340714,181381327,-1,denticleless E3 ubiquitin protein ligase homolog [Source:NCBI gene;Acc:110300375],Dtl,protein_coding,MGP_CAROLIEiJ_G0015053,1,181381419,181432074,1,integrator complex subunit 7 [Source:MGI Symbol;Acc:MGI:1924315],Ints7,protein_coding,92
257,ENSMUSG00000020107,10,59823231,59838957,-1,anaphase promoting complex subunit 16 [Source:MGI Symbol;Acc:MGI:1289325],Anapc16,protein_coding,ENSMUSG00000044475,10,59838627,59935810,1,activating signal cointegrator 1 complex subunit 1 [Source:MGI Symbol;Acc:MGI:1916340],Ascc1,protein_coding,330,1322,ENSRNOG00000000576,20,27927334,27941984,-1,anaphase promoting complex subunit 16 [Source:RGD Symbol;Acc:2321124],Anapc16,protein_coding,ENSRNOG00000056647,20,27941283,28031272,1,activating signal cointegrator 1 complex subunit 1 [Source:RGD Symbol;Acc:1359255],Ascc1,protein_coding,701,194,MGP_SPRETEiJ_G0016161,10,58084606,58106007,-1,anaphase promoting complex subunit 16 [Source:MGI Symbol;Acc:MGI:1289325],Anapc16,protein_coding,MGP_SPRETEiJ_G0016162,10,58105724,58204473,1,activating signal cointegrator 1 complex subunit 1 [Source:MGI Symbol;Acc:MGI:1916340],Ascc1,protein_coding,283,2611,MGP_PahariEiJ_G0030766,9,25386436,25401622,-1,anaphase promoting complex subunit 16 [Source:MGI Symbol;Acc:MGI:1289325],Anapc16,protein_coding,MGP_PahariEiJ_G0030767,9,25401278,25492271,1,activating signal cointegrator 1 complex subunit 1 [Source:NCBI gene;Acc:110326412],Ascc1,protein_coding,344,198,MGP_CAROLIEiJ_G0015350,10,54467525,54482862,-1,anaphase promoting complex subunit 16 [Source:MGI Symbol;Acc:MGI:1289325],Anapc16,protein_coding,MGP_CAROLIEiJ_G0015351,10,54482518,54576090,1,activating signal cointegrator 1 complex subunit 1 [Source:NCBI gene;Acc:110303422],Ascc1,protein_coding,344
403,ENSMUSG00000020283,11,23596479,23615959,-1,peroxisomal biogenesis factor 13 [Source:MGI Symbol;Acc:MGI:1919379],Pex13,protein_coding,ENSMUSG00000020280,11,23615674,23682876,1,pseudouridylate synthase 10 [Source:MGI Symbol;Acc:MGI:1921717],Pus10,protein_coding,285,791,ENSRNOG00000054896,14,97603539,97621262,-1,peroxisomal biogenesis factor 13 [Source:RGD Symbol;Acc:1310682],Pex13,protein_coding,ENSRNOG00000054151,14,97621391,97684046,1,pseudouridine synthase 10 [Source:RGD Symbol;Acc:1306402],Pus10,protein_coding,129,288,MGP_SPRETEiJ_G0016984,11,21167818,21188745,-1,,,protein_coding,MGP_SPRETEiJ_G0016985,11,21188460,21254639,1,pseudouridylate synthase 10 [Source:MGI Symbol;Acc:MGI:1921717],Pus10,protein_coding,285,,,,,,,,,,,,,,,,,,,296,MGP_CAROLIEiJ_G0016141,11,19478578,19496383,-1,peroxisomal biogenesis factor 13 [Source:MGI Symbol;Acc:MGI:1919379],Pex13,protein_coding,MGP_CAROLIEiJ_G0016142,11,19496104,19561378,1,pseudouridylate synthase 10 [Source:MGI Symbol;Acc:MGI:1921717],Pus10,protein_coding,279
428,ENSMUSG00000020381,11,50065271,50090942,1,MRN complex interacting protein [Source:MGI Symbol;Acc:MGI:1915317],Mrnip,protein_coding,ENSMUSG00000015837,11,50090193,50101654,-1,sequestosome 1 [Source:MGI Symbol;Acc:MGI:107931],Sqstm1,protein_coding,749,359,ENSRNOG00000003068,10,34501384,34525469,1,MRN complex interacting protein [Source:RGD Symbol;Acc:1564036],Mrnip,protein_coding,ENSRNOG00000003147,10,34525519,34536673,-1,sequestosome 1 [Source:RGD Symbol;Acc:69287],Sqstm1,protein_coding,50,304,MGP_SPRETEiJ_G0017128,11,48752307,48782806,1,MRN complex interacting protein [Source:MGI Symbol;Acc:MGI:1915317],Mrnip,protein_coding,MGP_SPRETEiJ_G0017129,11,48782019,48796356,-1,sequestosome 1 [Source:MGI Symbol;Acc:MGI:107931],Sqstm1,protein_coding,787,672,MGP_PahariEiJ_G0017419,14,18422439,18450394,1,MRN complex interacting protein [Source:NCBI gene;Acc:110332488],Mrnip,protein_coding,MGP_PahariEiJ_G0017420,14,18449594,18460719,-1,sequestosome 1 [Source:NCBI gene;Acc:110331598],Sqstm1,protein_coding,800,311,MGP_CAROLIEiJ_G0016283,11,45064776,45092317,1,MRN complex interacting protein [Source:NCBI gene;Acc:110304269],Mrnip,protein_coding,MGP_CAROLIEiJ_G0016284,11,45091540,45102538,-1,sequestosome 1 [Source:NCBI gene;Acc:110304268],Sqstm1,protein_coding,777
