Gene stable ID,Ryukyu mouse gene stable ID,Ryukyu mouse gene name,Ryukyu mouse homology type,Algerian mouse gene stable ID,Algerian mouse gene name,Algerian mouse homology type,Shrew mouse gene stable ID,Shrew mouse gene name,Shrew mouse homology type,Gene name
ENSMUSG00000000028,MGP_CAROLIEiJ_G0020553,Cdc45,ortholog_one2one,MGP_SPRETEiJ_G0021447,Cdc45,ortholog_one2one,MGP_PahariEiJ_G0016258,Cdc45,ortholog_one2one,Cdc45
ENSMUSG00000000171,MGP_CAROLIEiJ_G0032187,Sdhd,ortholog_one2one,MGP_SPRETEiJ_G0033326,Sdhd,ortholog_one2one,MGP_PahariEiJ_G0015055,Sdhd,ortholog_one2one,Sdhd
ENSMUSG00000000346,MGP_CAROLIEiJ_G0020295,Dazap2,ortholog_one2one,MGP_SPRETEiJ_G0021188,Dazap2,ortholog_one2one,MGP_PahariEiJ_G0020296,Dazap2,ortholog_one2one,Dazap2
ENSMUSG00000000563,MGP_CAROLIEiJ_G0025480,Atp5pb,ortholog_one2one,MGP_SPRETEiJ_G0026429,Atp5pb,ortholog_one2one,MGP_PahariEiJ_G0026925,Atp5pb,ortholog_one2one,Atp5pb
ENSMUSG00000000776,MGP_CAROLIEiJ_G0019481,Polr3d,ortholog_one2one,MGP_SPRETEiJ_G0020373,Polr3d,ortholog_one2one,MGP_PahariEiJ_G0030498,Polr3d,ortholog_one2one,Polr3d
ENSMUSG00000000902,MGP_CAROLIEiJ_G0015455,Smarcb1,ortholog_one2one,MGP_SPRETEiJ_G0016268,Smarcb1,ortholog_one2one,MGP_PahariEiJ_G0030871,Smarcb1,ortholog_one2one,Smarcb1
ENSMUSG00000000976,MGP_CAROLIEiJ_G0016886,Heatr6,ortholog_one2one,MGP_SPRETEiJ_G0017731,Heatr6,ortholog_one2one,MGP_PahariEiJ_G0018016,Heatr6,ortholog_one2one,Heatr6
ENSMUSG00000001018,MGP_CAROLIEiJ_G0025238,Snapin,ortholog_one2one,MGP_SPRETEiJ_G0026181,Snapin,ortholog_one2one,MGP_PahariEiJ_G0026682,Snapin,ortholog_one2one,Snapin
ENSMUSG00000001053,MGP_CAROLIEiJ_G0016314,N4bp3,ortholog_one2one,MGP_SPRETEiJ_G0017158,N4bp3,ortholog_one2one,MGP_PahariEiJ_G0017449,N4bp3,ortholog_one2one,N4bp3
ENSMUSG00000001105,MGP_CAROLIEiJ_G0016813,Ift20,ortholog_one2one,MGP_SPRETEiJ_G0017656,Ift20,ortholog_one2one,MGP_PahariEiJ_G0017950,Ift20,ortholog_one2one,Ift20
ENSMUSG00000001134,MGP_CAROLIEiJ_G0032972,Uxt,ortholog_one2one,MGP_SPRETEiJ_G0034122,Uxt,ortholog_one2one,MGP_PahariEiJ_G0031515,Uxt,ortholog_one2one,Uxt
ENSMUSG00000001285,MGP_CAROLIEiJ_G0020347,Myg1,ortholog_one2one,MGP_SPRETEiJ_G0021240,Myg1,ortholog_one2one,MGP_PahariEiJ_G0020346,Myg1,ortholog_one2one,Myg1
ENSMUSG00000001305,MGP_CAROLIEiJ_G0015027,Rrp15,ortholog_one2one,MGP_SPRETEiJ_G0015827,Rrp15,ortholog_one2one,MGP_PahariEiJ_G0028259,Rrp15,ortholog_one2one,Rrp15
ENSMUSG00000001376,MGP_CAROLIEiJ_G0028069,Vps50,ortholog_one2one,MGP_SPRETEiJ_G0029069,Vps50,ortholog_one2one,MGP_PahariEiJ_G0021825,Vps50,ortholog_one2one,Vps50
ENSMUSG00000001420,MGP_CAROLIEiJ_G0025162,Tmem79,ortholog_one2one,MGP_SPRETEiJ_G0026103,Tmem79,ortholog_one2one,MGP_PahariEiJ_G0026605,Tmem79,ortholog_one2one,Tmem79
ENSMUSG00000001445,MGP_CAROLIEiJ_G0017046,Mrpl10,ortholog_one2one,MGP_SPRETEiJ_G0017892,Mrpl10,ortholog_one2one,MGP_PahariEiJ_G0018176,Mrpl10,ortholog_one2one,Mrpl10
ENSMUSG00000001786,MGP_CAROLIEiJ_G0015691,Fbxo7,ortholog_one2one,MGP_SPRETEiJ_G0016509,Fbxo7,ortholog_one2one,MGP_PahariEiJ_G0031394,Fbxo7,ortholog_one2one,Fbxo7
ENSMUSG00000001983,MGP_CAROLIEiJ_G0017309,Taco1,ortholog_one2one,MGP_SPRETEiJ_G0018152,Taco1,ortholog_one2one,MGP_PahariEiJ_G0018438,Taco1,ortholog_one2one,Taco1
ENSMUSG00000002014,MGP_CAROLIEiJ_G0033161,Ssr4,ortholog_one2one,MGP_SPRETEiJ_G0034316,Ssr4,ortholog_one2one,MGP_PahariEiJ_G0031704,Ssr4,ortholog_one2one,Ssr4
ENSMUSG00000002031,MGP_CAROLIEiJ_G0032126,Ift46,ortholog_one2one,MGP_SPRETEiJ_G0033264,Ift46,ortholog_one2one,MGP_PahariEiJ_G0014995,Ift46,ortholog_one2one,Ift46
ENSMUSG00000002052,MGP_CAROLIEiJ_G0016796,Supt6,ortholog_one2one,MGP_SPRETEiJ_G0017639,Supt6,ortholog_one2one,MGP_PahariEiJ_G0017933,Supt6,ortholog_one2one,Supt6
