Human_BIP number	Human_Gene stable ID	Human_Chromosome/scaffold name	Human_Gene start (bp)	Human_Gene end (bp)	Human_Strand	Human_Gene description	Human_Gene name	Human_Gene type	Human_Gene stable ID.1	Human_Chromosome/scaffold name.1	Human_Gene start (bp).1	Human_Gene end (bp).1	Human_Strand.1	Human_Gene description.1	Human_Gene name.1	Human_Gene type.1	Human_distance	Crab-Eating_Macaque_BIP number	Crab-Eating_Macaque_Gene stable ID	Crab-Eating_Macaque_Chromosome/scaffold name	Crab-Eating_Macaque_Gene start (bp)	Crab-Eating_Macaque_Gene end (bp)	Crab-Eating_Macaque_Strand	Crab-Eating_Macaque_Gene description	Crab-Eating_Macaque_Gene name	Crab-Eating_Macaque_Gene type	Crab-Eating_Macaque_Gene stable ID.1	Crab-Eating_Macaque_Chromosome/scaffold name.1	Crab-Eating_Macaque_Gene start (bp).1	Crab-Eating_Macaque_Gene end (bp).1	Crab-Eating_Macaque_Strand.1	Crab-Eating_Macaque_Gene description.1	Crab-Eating_Macaque_Gene name.1	Crab-Eating_Macaque_Gene type.1	Crab-Eating_Macaque_distance	Mouse_Lemur_BIP number	Mouse_Lemur_Gene stable ID	Mouse_Lemur_Chromosome/scaffold name	Mouse_Lemur_Gene start (bp)	Mouse_Lemur_Gene end (bp)	Mouse_Lemur_Strand	Mouse_Lemur_Gene description	Mouse_Lemur_Gene name	Mouse_Lemur_Gene type	Mouse_Lemur_Gene stable ID.1	Mouse_Lemur_Chromosome/scaffold name.1	Mouse_Lemur_Gene start (bp).1	Mouse_Lemur_Gene end (bp).1	Mouse_Lemur_Strand.1	Mouse_Lemur_Gene description.1	Mouse_Lemur_Gene name.1	Mouse_Lemur_Gene type.1	Mouse_Lemur_distance	Bonobo_BIP number	Bonobo_Gene stable ID	Bonobo_Chromosome/scaffold name	Bonobo_Gene start (bp)	Bonobo_Gene end (bp)	Bonobo_Strand	Bonobo_Gene description	Bonobo_Gene name	Bonobo_Gene type	Bonobo_Gene stable ID.1	Bonobo_Chromosome/scaffold name.1	Bonobo_Gene start (bp).1	Bonobo_Gene end (bp).1	Bonobo_Strand.1	Bonobo_Gene description.1	Bonobo_Gene name.1	Bonobo_Gene type.1	Bonobo_distance	Gorilla_BIP number	Gorilla_Gene stable ID	Gorilla_Chromosome/scaffold name	Gorilla_Gene start (bp)	Gorilla_Gene end (bp)	Gorilla_Strand	Gorilla_Gene description	Gorilla_Gene name	Gorilla_Gene type	Gorilla_Gene stable ID.1	Gorilla_Chromosome/scaffold name.1	Gorilla_Gene start (bp).1	Gorilla_Gene end (bp).1	Gorilla_Strand.1	Gorilla_Gene description.1	Gorilla_Gene name.1	Gorilla_Gene type.1	Gorilla_distance	Chimpanzee_BIP number	Chimpanzee_Gene stable ID	Chimpanzee_Chromosome/scaffold name	Chimpanzee_Gene start (bp)	Chimpanzee_Gene end (bp)	Chimpanzee_Strand	Chimpanzee_Gene description	Chimpanzee_Gene name	Chimpanzee_Gene type	Chimpanzee_Gene stable ID.1	Chimpanzee_Chromosome/scaffold name.1	Chimpanzee_Gene start (bp).1	Chimpanzee_Gene end (bp).1	Chimpanzee_Strand.1	Chimpanzee_Gene description.1	Chimpanzee_Gene name.1	Chimpanzee_Gene type.1	Chimpanzee_distance	Vervet-Agm_BIP number	Vervet-Agm_Gene stable ID	Vervet-Agm_Chromosome/scaffold name	Vervet-Agm_Gene start (bp)	Vervet-Agm_Gene end (bp)	Vervet-Agm_Strand	Vervet-Agm_Gene description	Vervet-Agm_Gene name	Vervet-Agm_Gene type	Vervet-Agm_Gene stable ID.1	Vervet-Agm_Chromosome/scaffold name.1	Vervet-Agm_Gene start (bp).1	Vervet-Agm_Gene end (bp).1	Vervet-Agm_Strand.1	Vervet-Agm_Gene description.1	Vervet-Agm_Gene name.1	Vervet-Agm_Gene type.1	Vervet-Agm_distance	Olive_Baboon_BIP number	Olive_Baboon_Gene stable ID	Olive_Baboon_Chromosome/scaffold name	Olive_Baboon_Gene start (bp)	Olive_Baboon_Gene end (bp)	Olive_Baboon_Strand	Olive_Baboon_Gene description	Olive_Baboon_Gene name	Olive_Baboon_Gene type	Olive_Baboon_Gene stable ID.1	Olive_Baboon_Chromosome/scaffold name.1	Olive_Baboon_Gene start (bp).1	Olive_Baboon_Gene end (bp).1	Olive_Baboon_Strand.1	Olive_Baboon_Gene description.1	Olive_Baboon_Gene name.1	Olive_Baboon_Gene type.1	Olive_Baboon_distance	Sumatran_Orangutan_BIP number	Sumatran_Orangutan_Gene stable ID	Sumatran_Orangutan_Chromosome/scaffold name	Sumatran_Orangutan_Gene start (bp)	Sumatran_Orangutan_Gene end (bp)	Sumatran_Orangutan_Strand	Sumatran_Orangutan_Gene description	Sumatran_Orangutan_Gene name	Sumatran_Orangutan_Gene type	Sumatran_Orangutan_Gene stable ID.1	Sumatran_Orangutan_Chromosome/scaffold name.1	Sumatran_Orangutan_Gene start (bp).1	Sumatran_Orangutan_Gene end (bp).1	Sumatran_Orangutan_Strand.1	Sumatran_Orangutan_Gene description.1	Sumatran_Orangutan_Gene name.1	Sumatran_Orangutan_Gene type.1	Sumatran_Orangutan_distance	Gibbon_BIP number	Gibbon_Gene stable ID	Gibbon_Chromosome/scaffold name	Gibbon_Gene start (bp)	Gibbon_Gene end (bp)	Gibbon_Strand	Gibbon_Gene description	Gibbon_Gene name	Gibbon_Gene type	Gibbon_Gene stable ID.1	Gibbon_Chromosome/scaffold name.1	Gibbon_Gene start (bp).1	Gibbon_Gene end (bp).1	Gibbon_Strand.1	Gibbon_Gene description.1	Gibbon_Gene name.1	Gibbon_Gene type.1	Gibbon_distance
235	ENSG00000151657	10	7750962	7787993	-1	Kin17 DNA and RNA binding protein [Source:HGNC Symbol;Acc:HGNC:6327]	KIN	protein_coding	ENSG00000165629	10	7788147	7807815	1	ATP synthase F1 subunit gamma [Source:HGNC Symbol;Acc:HGNC:833]	ATP5F1C	protein_coding	154	2052	ENSMFAG00000002686	9	8758173	8797297	-1	Kin17 DNA and RNA binding protein [Source:HGNC Symbol;Acc:HGNC:6327]	KIN	protein_coding	ENSMFAG00000030332	9	8797256	8814507	1	ATP synthase F1 subunit gamma [Source:HGNC Symbol;Acc:HGNC:833]	ATP5F1C	protein_coding	41																			159	ENSPPAG00000035992	10	7768263	7801350	-1	Kin17 DNA and RNA binding protein [Source:HGNC Symbol;Acc:HGNC:6327]	KIN	protein_coding	ENSPPAG00000007094	10	7801438	7821088	1	ATP synthase F1 subunit gamma [Source:HGNC Symbol;Acc:HGNC:833]	ATP5F1C	protein_coding	88	159	ENSGGOG00000009714	10	7836931	7873891	-1	Kin17 DNA and RNA binding protein [Source:HGNC Symbol;Acc:HGNC:6327]	KIN	protein_coding	ENSGGOG00000009719	10	7873763	7893444	1	ATP synthase F1 subunit gamma [Source:HGNC Symbol;Acc:HGNC:833]	ATP5F1C	protein_coding	128	183	ENSPTRG00000002276	10	8016152	8048896	-1	Kin17 DNA and RNA binding protein [Source:VGNC Symbol;Acc:VGNC:7237]	KIN	protein_coding	ENSPTRG00000002277	10	8048978	8068777	1	ATP synthase F1 subunit gamma [Source:VGNC Symbol;Acc:VGNC:49012]	ATP5F1C	protein_coding	82	857	ENSCSAG00000013458	9	7799492	7836719	-1	Kin17 DNA and RNA binding protein [Source:HGNC Symbol;Acc:HGNC:6327]	KIN	protein_coding	ENSCSAG00000013445	9	7836845	7854078	1	ATP synthase F1 subunit gamma [Source:HGNC Symbol;Acc:HGNC:833]	ATP5F1C	protein_coding	126																			160	ENSPPYG00000002075	10	7844689	7876942	-1	Kin17 DNA and RNA binding protein [Source:HGNC Symbol;Acc:HGNC:6327]	KIN	protein_coding	ENSPPYG00000002076	10	7877083	7897075	1	ATP synthase F1 subunit gamma [Source:HGNC Symbol;Acc:HGNC:833]	ATP5F1C	protein_coding	141																		
324	ENSG00000171311	10	97435909	97446017	-1	exosome component 1 [Source:HGNC Symbol;Acc:HGNC:17286]	EXOSC1	protein_coding	ENSG00000171307	10	97446170	97457370	1	zinc finger DHHC-type palmitoyltransferase 16 [Source:HGNC Symbol;Acc:HGNC:20714]	ZDHHC16	protein_coding	153	2096	ENSMFAG00000001493	9	94969422	94980408	-1	exosome component 1 [Source:HGNC Symbol;Acc:HGNC:17286]	EXOSC1	protein_coding	ENSMFAG00000041608	9	94980182	94994458	1	zinc finger DHHC-type palmitoyltransferase 16 [Source:HGNC Symbol;Acc:HGNC:20714]	ZDHHC16	protein_coding	226	234	ENSMICG00000007664	15	47774351	47782301	-1	exosome component 1 [Source:HGNC Symbol;Acc:HGNC:17286]	EXOSC1	protein_coding	ENSMICG00000007671	15	47782397	47794514	1	zinc finger DHHC-type palmitoyltransferase 16 [Source:HGNC Symbol;Acc:HGNC:20714]	ZDHHC16	protein_coding	96	175	ENSPPAG00000039842	10	97552874	97562233	-1	exosome component 1 [Source:HGNC Symbol;Acc:HGNC:17286]	EXOSC1	protein_coding	ENSPPAG00000030292	10	97562379	97573305	1	zinc finger DHHC-type palmitoyltransferase 16 [Source:HGNC Symbol;Acc:HGNC:20714]	ZDHHC16	protein_coding	146																			200	ENSPTRG00000002808	10	98788748	98798766	-1	exosome component 1 [Source:VGNC Symbol;Acc:VGNC:3845]	EXOSC1	protein_coding	ENSPTRG00000002809	10	98798775	98809682	1	zinc finger DHHC-type palmitoyltransferase 16 [Source:VGNC Symbol;Acc:VGNC:7867]	ZDHHC16	protein_coding	9																																					179	ENSPPYG00000002531	10	95808077	95817855	-1	exosome component 1 [Source:HGNC Symbol;Acc:HGNC:17286]	EXOSC1	protein_coding	ENSPPYG00000002532	10	95817992	95828876	1	zinc finger DHHC-type palmitoyltransferase 16 [Source:HGNC Symbol;Acc:HGNC:20714]	ZDHHC16	protein_coding	137																		
380	ENSG00000161328	11	537527	554912	1	leucine rich repeat containing 56 [Source:HGNC Symbol;Acc:HGNC:25430]	LRRC56	protein_coding	ENSG00000185522	11	554850	560738	-1	lamin tail domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28561]	LMNTD2	protein_coding	62	577	ENSMFAG00000035420	14	583636	599623	1	leucine rich repeat containing 56 [Source:HGNC Symbol;Acc:HGNC:25430]	LRRC56	protein_coding	ENSMFAG00000033590	14	599671	604506	-1	lamin tail domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28561]	LMNTD2	protein_coding	48																			202	ENSPPAG00000002666	11	575495	588750	1	leucine rich repeat containing 56 [Source:HGNC Symbol;Acc:HGNC:25430]	LRRC56	protein_coding	ENSPPAG00000027175	11	588816	594794	-1	lamin tail domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28561]	LMNTD2	protein_coding	66																			226	ENSPTRG00000003120	11	471452	478356	1	leucine rich repeat containing 56 [Source:VGNC Symbol;Acc:VGNC:11903]	LRRC56	protein_coding	ENSPTRG00000003121	11	478936	484987	-1	lamin tail domain containing 2 [Source:VGNC Symbol;Acc:VGNC:11894]	LMNTD2	protein_coding	580	3	ENSCSAG00000011029	1	355982	369633	1	leucine rich repeat containing 56 [Source:HGNC Symbol;Acc:HGNC:25430]	LRRC56	protein_coding	ENSCSAG00000011007	1	370338	374345	-1	lamin tail domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28561]	LMNTD2	protein_coding	705																			201	ENSPPYG00000002869	11	26265	39819	1	leucine rich repeat containing 56 [Source:HGNC Symbol;Acc:HGNC:25430]	LRRC56	protein_coding	ENSPPYG00000002870	11	39414	44769	-1	lamin tail domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28561]	LMNTD2	protein_coding	405																		
689	ENSG00000139637	12	53299695	53307177	1	MYG1 exonuclease [Source:HGNC Symbol;Acc:HGNC:17590]	MYG1	protein_coding	ENSG00000094914	12	53307456	53324864	-1	aladin WD repeat nucleoporin [Source:HGNC Symbol;Acc:HGNC:13666]	AAAS	protein_coding	279	376	ENSMFAG00000031782	11	52402444	52410575	1	MYG1 exonuclease [Source:HGNC Symbol;Acc:HGNC:17590]	MYG1	protein_coding	ENSMFAG00000039804	11	52410853	52428223	-1	aladin WD repeat nucleoporin [Source:HGNC Symbol;Acc:HGNC:13666]	AAAS	protein_coding	278																																																																																											1085	ENSPANG00000012627	9	48049632	48059225	1	MYG1 exonuclease [Source:HGNC Symbol;Acc:HGNC:17590]	MYG1	protein_coding	ENSPANG00000012540	9	48059246	48073410	-1	aladin WD repeat nucleoporin [Source:HGNC Symbol;Acc:HGNC:13666]	AAAS	protein_coding	21	333	ENSPPYG00000004576	12	50904648	50911875	1	MYG1 exonuclease [Source:HGNC Symbol;Acc:HGNC:17590]	MYG1	protein_coding	ENSPPYG00000004577	12	50912160	50926147	-1	aladin WD repeat nucleoporin [Source:HGNC Symbol;Acc:HGNC:13666]	AAAS	protein_coding	285																		
868	ENSG00000204899	13	72708367	72727629	-1	mitotic spindle organizing protein 1 [Source:HGNC Symbol;Acc:HGNC:33830]	MZT1	protein_coding	ENSG00000136122	13	72727749	72756198	1	BORA aurora kinase A activator [Source:HGNC Symbol;Acc:HGNC:24724]	BORA	protein_coding	120	962	ENSMFAG00000044898	17	54322824	54342443	-1	mitotic spindle organizing protein 1 [Source:HGNC Symbol;Acc:HGNC:33830]	MZT1	protein_coding	ENSMFAG00000045514	17	54342767	54370618	1	BORA aurora kinase A activator [Source:HGNC Symbol;Acc:HGNC:24724]	BORA	protein_coding	324																																					390	ENSGGOG00000039307	13	55073274	55089385	-1	mitotic spindle organizing protein 1 [Source:HGNC Symbol;Acc:HGNC:33830]	MZT1	protein_coding	ENSGGOG00000004468	13	55089340	55119480	1	BORA aurora kinase A activator [Source:HGNC Symbol;Acc:HGNC:24724]	BORA	protein_coding	45	441	ENSPTRG00000031166	13	57972201	57991630	-1	mitotic spindle organizing protein 1 [Source:VGNC Symbol;Acc:VGNC:5083]	MZT1	protein_coding	ENSPTRG00000005925	13	57991579	58020019	1	BORA aurora kinase A activator [Source:VGNC Symbol;Acc:VGNC:9842]	BORA	protein_coding	51	625	ENSCSAG00000017627	3	51842167	51860164	-1	mitotic spindle organizing protein 1 [Source:HGNC Symbol;Acc:HGNC:33830]	MZT1	protein_coding	ENSCSAG00000017623	3	51860405	51887416	1	BORA aurora kinase A activator [Source:HGNC Symbol;Acc:HGNC:24724]	BORA	protein_coding	241	380	ENSPANG00000017952	15	51118518	51136186	-1	mitotic spindle organizing protein 1 [Source:HGNC Symbol;Acc:HGNC:33830]	MZT1	protein_coding	ENSPANG00000023338	15	51136637	51161973	1	BORA aurora kinase A activator [Source:HGNC Symbol;Acc:HGNC:24724]	BORA	protein_coding	451	397	ENSPPYG00000005410	13	56265957	56284905	-1	mitotic spindle organizing protein 1 [Source:HGNC Symbol;Acc:HGNC:33830]	MZT1	protein_coding	ENSPPYG00000005411	13	56285202	56314277	1	BORA aurora kinase A activator [Source:HGNC Symbol;Acc:HGNC:24724]	BORA	protein_coding	297	819	ENSNLEG00000016001	5	100096150	100115551	-1	mitotic spindle organizing protein 1 [Source:HGNC Symbol;Acc:HGNC:33830]	MZT1	protein_coding	ENSNLEG00000016005	5	100115437	100150197	1	BORA aurora kinase A activator [Source:HGNC Symbol;Acc:HGNC:24724]	BORA	protein_coding	114
974	ENSG00000070367	14	57200507	57268905	-1	exocyst complex component 5 [Source:HGNC Symbol;Acc:HGNC:10696]	EXOC5	protein_coding	ENSG00000053770	14	57268924	57298742	1	adaptor related protein complex 5 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:20192]	AP5M1	protein_coding	19	1925	ENSMFAG00000037256	7	119982193	120044412	-1	exocyst complex component 5 [Source:HGNC Symbol;Acc:HGNC:10696]	EXOC5	protein_coding	ENSMFAG00000036074	7	120044545	120067622	1	adaptor related protein complex 5 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:20192]	AP5M1	protein_coding	133	826	ENSMICG00000003597	3	42465018	42517333	-1	exocyst complex component 5 [Source:HGNC Symbol;Acc:HGNC:10696]	EXOC5	protein_coding	ENSMICG00000034728	3	42517380	42537949	1	adaptor related protein complex 5 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:20192]	AP5M1	protein_coding	47																																																																																											424	ENSPPYG00000005848	14	38528973	38590605	-1	exocyst complex component 5 [Source:HGNC Symbol;Acc:HGNC:10696]	EXOC5	protein_coding	ENSPPYG00000005849	14	38590635	38612078	1	adaptor related protein complex 5 subunit mu 1 [Source:NCBI gene (formerly Entrezgene);Acc:100172244]	AP5M1	protein_coding	30																		
1015	ENSG00000151445	14	77426675	77457952	-1	VPS33B interacting protein, apical-basolateral polarity regulator, spe-39 homolog [Source:HGNC Symbol;Acc:HGNC:20347]	VIPAS39	protein_coding	ENSG00000100591	14	77457870	77469472	1	activator of HSP90 ATPase activity 1 [Source:HGNC Symbol;Acc:HGNC:1189]	AHSA1	protein_coding	82	1952	ENSMFAG00000004659	7	140167281	140212183	-1	VPS33B interacting protein, apical-basolateral polarity regulator, spe-39 homolog [Source:HGNC Symbol;Acc:HGNC:20347]	VIPAS39	protein_coding	ENSMFAG00000039530	7	140212664	140224292	1	activator of HSP90 ATPase activity 1 [Source:HGNC Symbol;Acc:HGNC:1189]	AHSA1	protein_coding	481																			428	ENSPPAG00000034736	14	77183185	77213382	-1	VPS33B interacting protein, apical-basolateral polarity regulator, spe-39 homolog [Source:HGNC Symbol;Acc:HGNC:20347]	VIPAS39	protein_coding	ENSPPAG00000024406	14	77214016	77225215	1	activator of HSP90 ATPase activity 1 [Source:HGNC Symbol;Acc:HGNC:1189]	AHSA1	protein_coding	634	433	ENSGGOG00000016527	14	61083555	61114354	-1	VPS33B interacting protein, apical-basolateral polarity regulator, spe-39 homolog [Source:HGNC Symbol;Acc:HGNC:20347]	VIPAS39	protein_coding	ENSGGOG00000007832	14	61114794	61126431	1	activator of HSP90 ATPase activity 1 [Source:HGNC Symbol;Acc:HGNC:1189]	AHSA1	protein_coding	440	488	ENSPTRG00000006581	14	62011525	62042252	-1	VPS33B interacting protein, apical-basolateral polarity regulator, spe-39 homolog [Source:HGNC Symbol;Acc:HGNC:20347]	VIPAS39	protein_coding	ENSPTRG00000006582	14	62042886	62054317	1	activator of HSP90 ATPase activity 1 [Source:VGNC Symbol;Acc:VGNC:10302]	AHSA1	protein_coding	634																																					443	ENSPPYG00000006025	14	58983557	59014281	-1	VPS33B interacting protein, apical-basolateral polarity regulator, spe-39 homolog [Source:HGNC Symbol;Acc:HGNC:20347]	VIPAS39	protein_coding	ENSPPYG00000006026	14	59014930	59026302	1	activator of HSP90 ATPase activity 1 [Source:NCBI gene (formerly Entrezgene);Acc:100174575]	AHSA1	protein_coding	649																		
1102	ENSG00000180979	15	42537820	42548802	-1	leucine rich repeat containing 57 [Source:HGNC Symbol;Acc:HGNC:26719]	LRRC57	protein_coding	ENSG00000137814	15	42548828	42569994	1	HAUS augmin like complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:25530]	HAUS2	protein_coding	26	1844	ENSMFAG00000043133	7	18828600	18834942	-1	leucine rich repeat containing 57 [Source:HGNC Symbol;Acc:HGNC:26719]	LRRC57	protein_coding	ENSMFAG00000043734	7	18834989	18856024	1	HAUS augmin like complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:25530]	HAUS2	protein_coding	47																			454	ENSPPAG00000036573	15	39659387	39666068	-1	leucine rich repeat containing 57 [Source:HGNC Symbol;Acc:HGNC:26719]	LRRC57	protein_coding	ENSPPAG00000038683	15	39666043	39683322	1	HAUS augmin like complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:25530]	HAUS2	protein_coding	25	457	ENSGGOG00000009597	15	20746090	20752386	-1	leucine rich repeat containing 57 [Source:HGNC Symbol;Acc:HGNC:26719]	LRRC57	protein_coding	ENSGGOG00000036248	15	20752401	20771894	1	HAUS augmin like complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:25530]	HAUS2	protein_coding	15	519	ENSPTRG00000006976	15	23110588	23116893	-1	leucine rich repeat containing 57 [Source:VGNC Symbol;Acc:VGNC:13407]	LRRC57	protein_coding	ENSPTRG00000006977	15	23116868	23138448	1	HAUS augmin like complex subunit 2 [Source:VGNC Symbol;Acc:VGNC:3547]	HAUS2	protein_coding	25																																					465	ENSPPYG00000006397	15	22469872	22480600	-1	leucine rich repeat containing 57 [Source:HGNC Symbol;Acc:HGNC:26719]	LRRC57	protein_coding	ENSPPYG00000006398	15	22480644	22502354	1	HAUS augmin like complex subunit 2 [Source:NCBI gene (formerly Entrezgene);Acc:100171815]	HAUS2	protein_coding	44																		
1321	ENSG00000077235	16	27459555	27549913	-1	general transcription factor IIIC subunit 1 [Source:HGNC Symbol;Acc:HGNC:4664]	GTF3C1	protein_coding	ENSG00000047578	16	27550133	27780344	1	katanin interacting protein [Source:HGNC Symbol;Acc:HGNC:29068]	KATNIP	protein_coding	220	1336	ENSMFAG00000043052	20	25541064	25627691	-1	general transcription factor IIIC subunit 1 [Source:HGNC Symbol;Acc:HGNC:4664]	GTF3C1	protein_coding	ENSMFAG00000040082	20	25627333	25859515	1	katanin interacting protein [Source:HGNC Symbol;Acc:HGNC:29068]	KATNIP	protein_coding	358																			533	ENSPPAG00000026435	16	27830280	27919020	-1	general transcription factor IIIC subunit 1 [Source:HGNC Symbol;Acc:HGNC:4664]	GTF3C1	protein_coding	ENSPPAG00000036183	16	27918816	28148543	1	katanin interacting protein [Source:HGNC Symbol;Acc:HGNC:29068]	KATNIP	protein_coding	204	541	ENSGGOG00000016666	16	27818674	27908558	-1	general transcription factor IIIC subunit 1 [Source:HGNC Symbol;Acc:HGNC:4664]	GTF3C1	protein_coding	ENSGGOG00000017086	16	27908776	28145857	1	KIAA0556 [Source:HGNC Symbol;Acc:HGNC:29068]	KATNIP	protein_coding	218	609	ENSPTRG00000007915	16	26998834	27087668	-1	ral transcription factor IIIC subunit 1 [Source:VGNC Symbol;Acc:VGNC:9008]	GTF3C1	protein_coding	ENSPTRG00000007917	16	27087854	27330356	1	katanin interacting protein [Source:VGNC Symbol;Acc:VGNC:5828]	KATNIP	protein_coding	186	683	ENSCSAG00000006427	5	25165539	25252346	-1	general transcription factor IIIC subunit 1 [Source:HGNC Symbol;Acc:HGNC:4664]	GTF3C1	protein_coding	ENSCSAG00000006416	5	25252561	25484541	1	katanin interacting protein [Source:HGNC Symbol;Acc:HGNC:29068]	KATNIP	protein_coding	215																			541	ENSPPYG00000007215	16	18171738	18261598	-1	ral transcription factor IIIC subunit 1 [Source:NCBI gene (formerly Entrezgene);Acc:100127095]	GTF3C1	protein_coding	ENSPPYG00000007216	16	18261821	18492120	1	katanin interacting protein [Source:HGNC Symbol;Acc:HGNC:29068]	KATNIP	protein_coding	223																		
1525	ENSG00000167874	17	7855066	7856099	1	transmembrane protein 88 [Source:HGNC Symbol;Acc:HGNC:32371]	TMEM88	protein_coding	ENSG00000183011	17	7856685	7885238	-1	N-alpha-acetyltransferase 38, NatC auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:28212]	NAA38	protein_coding	586	819	ENSMFAG00000002896	16	7839072	7841292	1	transmembrane protein 88 [Source:HGNC Symbol;Acc:HGNC:32371]	TMEM88	protein_coding	ENSMFAG00000037580	16	7841875	7851954	-1	N-alpha-acetyltransferase 38, NatC auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:28212]	NAA38	protein_coding	583																			610	ENSPPAG00000035566	17	7876294	7877517	1	transmembrane protein 88 [Source:HGNC Symbol;Acc:HGNC:32371]	TMEM88	protein_coding	ENSPPAG00000026097	17	7878102	7887932	-1			protein_coding	585	627	ENSGGOG00000015315	17	7882661	7883927	1	transmembrane protein 88 [Source:HGNC Symbol;Acc:HGNC:32371]	TMEM88	protein_coding	ENSGGOG00000015317	17	7884517	7894314	-1	N-alpha-acetyltransferase 38, NatC auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:28212]	NAA38	protein_coding	590	686	ENSPTRG00000008711	17	8142229	8143421	1	transmembrane protein 88 [Source:VGNC Symbol;Acc:VGNC:9719]	TMEM88	protein_coding	ENSPTRG00000008712	17	8144006	8153822	-1	N-alpha-acetyltransferase 38, NatC auxiliary subunit [Source:VGNC Symbol;Acc:VGNC:12555]	NAA38	protein_coding	585	310	ENSCSAG00000011143	16	7242600	7243239	1	transmembrane protein 88 [Source:HGNC Symbol;Acc:HGNC:32371]	TMEM88	protein_coding	ENSCSAG00000011136	16	7244227	7245081	-1	N-alpha-acetyltransferase 38, NatC auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:28212]	NAA38	protein_coding	988																			626	ENSPPYG00000007936	17	7707533	7708172	1	transmembrane protein 88 [Source:HGNC Symbol;Acc:HGNC:32371]	TMEM88	protein_coding	ENSPPYG00000007937	17	7709146	7718929	-1			protein_coding	974																		
