Gene stable ID,Turkey gene stable ID,Turkey gene name,Turkey homology type,Duck gene stable ID,Duck gene name,Duck homology type,Golden eagle gene stable ID,Golden eagle gene name,Golden eagle homology type,Japanese quail gene stable ID,Japanese quail gene name,Japanese quail homology type,Collared flycatcher gene stable ID,Collared flycatcher gene name,Collared flycatcher homology type,Gene name
ENSGALG00010000017,ENSMGAG00000017450,COX1,ortholog_one2one,,,,,,,ENSCJPG00005000017,COX1,ortholog_one2one,ENSFALG00000016245,COX1,ortholog_one2one,COX1
ENSGALG00010000051,ENSMGAG00000020677,,ortholog_one2one,,,,ENSACCG00020002735,GDPGP1,ortholog_one2one,ENSCJPG00005021145,GDPGP1,ortholog_one2one,,,,GDPGP1
ENSGALG00010000055,ENSMGAG00000010738,,ortholog_one2one,,,,ENSACCG00020002843,PRC1,ortholog_one2one,ENSCJPG00005021159,PRC1,ortholog_one2one,,,,PRC1
ENSGALG00010000059,ENSMGAG00000018931,MFAP1,ortholog_one2one,ENSAPLG00000006483,MFAP1,ortholog_one2one,ENSACCG00020003062,MFAP1,ortholog_one2one,ENSCJPG00005000359,MFAP1,ortholog_one2one,ENSFALG00000011242,,ortholog_one2one,MFAP1
ENSGALG00010000060,ENSMGAG00000010563,,ortholog_one2one,ENSAPLG00000022885,HYPK,ortholog_one2one,ENSACCG00020003072,HYPK,ortholog_one2one,ENSCJPG00005000368,HYPK,ortholog_one2one,ENSFALG00000023556,HYPK,ortholog_one2one,HYPK
ENSGALG00010000186,ENSMGAG00000009865,,ortholog_one2one,,,,ENSACCG00020001850,THOC5,ortholog_one2one,ENSCJPG00005015641,THOC5,ortholog_one2one,ENSFALG00000007079,THOC5,ortholog_one2one,THOC5
ENSGALG00010000186,ENSMGAG00000009865,,ortholog_one2one,,,,ENSACCG00020001850,THOC5,ortholog_one2one,ENSCJPG00005015641,THOC5,ortholog_one2one,ENSFALG00000007079,THOC5,ortholog_one2one,THOC5
ENSGALG00010000191,,,,,,,ENSACCG00020001821,NEFH,ortholog_one2one,ENSCJPG00005015642,NEFH,ortholog_one2one,,,,NEFH
ENSGALG00010000201,,,,,,,,,,ENSCJPG00005014841,,ortholog_one2one,ENSFALG00000022992,,ortholog_one2one,
ENSGALG00010000287,ENSMGAG00000014418,,ortholog_one2one,ENSAPLG00000015362,IQCD,ortholog_one2one,ENSACCG00020002628,IQCD,ortholog_one2one,ENSCJPG00005014835,IQCD,ortholog_one2one,ENSFALG00000006900,,ortholog_one2one,IQCD
ENSGALG00010000301,,,,ENSAPLG00000031204,UQCR10,ortholog_one2one,,,,ENSCJPG00005015635,UQCR10,ortholog_one2one,,,,UQCR10
ENSGALG00010000307,ENSMGAG00000009818,,ortholog_one2one,ENSAPLG00000007232,ZMAT5,ortholog_one2one,ENSACCG00020002016,ZMAT5,ortholog_one2one,ENSCJPG00005015636,ZMAT5,ortholog_one2one,ENSFALG00000024243,ZMAT5,ortholog_one2one,ZMAT5
ENSGALG00010000376,ENSMGAG00000009795,,ortholog_one2one,ENSAPLG00000007242,ASCC2,ortholog_one2one,ENSACCG00020002064,ASCC2,ortholog_one2one,ENSCJPG00005015595,ASCC2,ortholog_one2one,ENSFALG00000006998,ASCC2,ortholog_one2one,ASCC2
ENSGALG00010000452,,,,ENSAPLG00000014135,,ortholog_one2one,ENSACCG00020000484,SLC8B1,ortholog_one2one,ENSCJPG00005015687,SLC8B1,ortholog_one2one,ENSFALG00000007750,SLC8B1,ortholog_one2one,SLC8B1
ENSGALG00010000479,ENSMGAG00000010021,,ortholog_one2one,ENSAPLG00000027517,SPRING1,ortholog_one2one,ENSACCG00020000722,SPRING1,ortholog_one2one,ENSCJPG00005015671,SPRING1,ortholog_one2one,ENSFALG00000023372,C12orf49,ortholog_one2one,C12orf49
