Gene stable ID,Sheep gene stable ID,Sheep gene name,Sheep homology type,Gene name
ENSBTAG00000000012,ENSOARG00020037796,TTC33,ortholog_one2one,TTC33
ENSBTAG00000000046,ENSOARG00020002406,SURF2,ortholog_one2one,SURF2
ENSBTAG00000000140,ENSOARG00020018225,EPHX1,ortholog_one2one,EPHX1
ENSBTAG00000000277,ENSOARG00020032382,IL18,ortholog_one2one,IL18
ENSBTAG00000000355,ENSOARG00020039876,OXLD1,ortholog_one2one,OXLD1
ENSBTAG00000000356,ENSOARG00020025104,CCDC137,ortholog_one2one,CCDC137
ENSBTAG00000000478,ENSOARG00020014174,LSMEM2,ortholog_one2one,LSMEM2
ENSBTAG00000000511,ENSOARG00020035376,CNST,ortholog_one2one,CNST
ENSBTAG00000000586,ENSOARG00020012798,CPLANE1,ortholog_one2one,CPLANE1
ENSBTAG00000000590,ENSOARG00020021578,POLE,ortholog_one2one,POLE
ENSBTAG00000000646,ENSOARG00020016174,ANAPC4,ortholog_one2one,ANAPC4
ENSBTAG00000000670,ENSOARG00020025956,RRP9,ortholog_one2one,RRP9
ENSBTAG00000000694,ENSOARG00020009554,TAF10,ortholog_one2one,TAF10
ENSBTAG00000000697,ENSOARG00020009794,RRP8,ortholog_one2one,RRP8
ENSBTAG00000000712,ENSOARG00020004368,FBXW2,ortholog_one2one,FBXW2
ENSBTAG00000000785,ENSOARG00020000277,PASK,ortholog_one2one,PASK
ENSBTAG00000000810,ENSOARG00020021129,COPE,ortholog_one2one,COPE
ENSBTAG00000000831,ENSOARG00020017250,CTNS,ortholog_one2one,CTNS
ENSBTAG00000000833,ENSOARG00020017149,TAX1BP3,ortholog_one2one,TAX1BP3
ENSBTAG00000000918,ENSOARG00020026186,ERMARD,ortholog_one2one,ERMARD
ENSBTAG00000000961,ENSOARG00020015919,,ortholog_one2one,NEURL2
ENSBTAG00000000991,ENSOARG00020039792,MRPL32,ortholog_one2one,MRPL32
ENSBTAG00000000997,ENSOARG00020005116,,ortholog_one2one,
ENSBTAG00000001062,ENSOARG00020022564,PTH2,ortholog_one2one,PTH2
ENSBTAG00000001071,ENSOARG00020011477,WRAP53,ortholog_one2one,WRAP53
ENSBTAG00000001113,ENSOARG00020000736,NDUFAF7,ortholog_one2one,NDUFAF7
ENSBTAG00000001168,ENSOARG00020018063,BRAP,ortholog_one2one,BRAP
ENSBTAG00000001174,ENSOARG00020025448,MRPL15,ortholog_one2one,MRPL15
ENSBTAG00000001199,ENSOARG00020012723,DAP3,ortholog_one2one,DAP3
ENSBTAG00000001204,ENSOARG00020020123,JCAD,ortholog_one2one,JCAD
ENSBTAG00000001314,ENSOARG00020003220,TRMT6,ortholog_one2one,TRMT6
ENSBTAG00000001320,ENSOARG00020006312,VPS16,ortholog_one2one,VPS16
ENSBTAG00000001346,ENSOARG00020001429,STRA8,ortholog_one2one,STRA8
ENSBTAG00000001352,ENSOARG00020002831,ENTR1,ortholog_one2one,ENTR1
ENSBTAG00000001419,ENSOARG00020003926,MRPL4,ortholog_one2one,MRPL4
ENSBTAG00000001504,ENSOARG00020021463,NOP14,ortholog_one2one,NOP14
ENSBTAG00000001520,ENSOARG00020026120,MRPL24,ortholog_one2one,MRPL24
ENSBTAG00000001522,ENSOARG00020003585,MTERF3,ortholog_one2one,MTERF3
ENSBTAG00000001594,ENSOARG00020007838,ARL6IP4,ortholog_one2one,ARL6IP4
ENSBTAG00000001632,ENSOARG00020020810,NBR1,ortholog_one2one,NBR1
ENSBTAG00000001665,ENSOARG00020009189,COG8,ortholog_one2one,COG8
ENSBTAG00000001747,ENSOARG00020011678,PEX3,ortholog_one2one,PEX3
ENSBTAG00000001763,ENSOARG00020020240,NR2C2AP,ortholog_one2one,NR2C2AP
ENSBTAG00000001792,ENSOARG00020008768,,ortholog_one2one,MICOS13
ENSBTAG00000001796,ENSOARG00020021093,,ortholog_one2one,CATSPERD
ENSBTAG00000001806,ENSOARG00020016405,IQCD,ortholog_one2one,IQCD
ENSBTAG00000001832,ENSOARG00020020614,MRPL10,ortholog_one2one,MRPL10
ENSBTAG00000001834,ENSOARG00020011554,PNKP,ortholog_one2one,PNKP
ENSBTAG00000001844,ENSOARG00020001726,MOGS,ortholog_one2one,MOGS
ENSBTAG00000001848,ENSOARG00020004295,KATNB1,ortholog_one2one,KATNB1
ENSBTAG00000001854,ENSOARG00020003371,CIAPIN1,ortholog_one2one,CIAPIN1
ENSBTAG00000001855,ENSOARG00020003481,COQ9,ortholog_one2one,COQ9
ENSBTAG00000001872,ENSOARG00020004404,ORC6,ortholog_one2one,ORC6
ENSBTAG00000001917,ENSOARG00020020576,C11orf16,ortholog_one2one,C15H11orf16
ENSBTAG00000001922,ENSOARG00020020684,AKIP1,ortholog_one2one,AKIP1
ENSBTAG00000001962,ENSOARG00020023220,MRPS27,ortholog_one2one,MRPS27
ENSBTAG00000001999,ENSOARG00020040184,NKAPD1,ortholog_one2one,NKAPD1
ENSBTAG00000002021,ENSOARG00020019520,BNIP1,ortholog_one2one,BNIP1
ENSBTAG00000002060,ENSOARG00020016134,RPL19,ortholog_one2one,RPL19
ENSBTAG00000002073,ENSOARG00020003355,RAD17,ortholog_one2one,RAD17
ENSBTAG00000002105,ENSOARG00020005704,TEX261,ortholog_one2one,TEX261
ENSBTAG00000002130,ENSOARG00020004574,SMPD4,ortholog_one2one,SMPD4
ENSBTAG00000002143,ENSOARG00020009992,DTWD2,ortholog_one2one,DTWD2
ENSBTAG00000002219,ENSOARG00020009433,ATAD3A,ortholog_one2one,ATAD3A
ENSBTAG00000002236,ENSOARG00020003691,TRPC4AP,ortholog_one2one,TRPC4AP
ENSBTAG00000002327,ENSOARG00020019829,TMEM208,ortholog_one2one,TMEM208
ENSBTAG00000002389,ENSOARG00020012713,MED19,ortholog_one2one,MED19
ENSBTAG00000002401,ENSOARG00020018800,NPFF,ortholog_one2one,NPFF
ENSBTAG00000002404,ENSOARG00020012833,TMX2,ortholog_one2one,TMX2
ENSBTAG00000002447,ENSOARG00020016066,C19orf44,ortholog_one2one,C7H19orf44
ENSBTAG00000002457,ENSOARG00020000997,SEC61B,ortholog_one2one,SEC61B
ENSBTAG00000002458,ENSOARG00020012252,NUP155,ortholog_one2one,NUP155
ENSBTAG00000002462,ENSOARG00020009272,MRPL47,ortholog_one2one,MRPL47
ENSBTAG00000002492,ENSOARG00020008561,SYCP3,ortholog_one2one,SYCP3
ENSBTAG00000002493,ENSOARG00020004298,VPS35,ortholog_one2one,VPS35
ENSBTAG00000002559,ENSOARG00020008598,MIOX,ortholog_one2one,MIOX
ENSBTAG00000002583,ENSOARG00020015777,DNALI1,ortholog_one2one,DNALI1
ENSBTAG00000002678,ENSOARG00020018864,MED18,ortholog_one2one,MED18
ENSBTAG00000002693,ENSOARG00020001947,KANSL2,ortholog_one2one,KANSL2
ENSBTAG00000002746,ENSOARG00020011048,OSTF1,ortholog_one2one,OSTF1
ENSBTAG00000002764,ENSOARG00020019965,IGFLR1,ortholog_one2one,IGFLR1
ENSBTAG00000002816,ENSOARG00020023851,SARM1,ortholog_one2one,SARM1
ENSBTAG00000002822,ENSOARG00020005681,CNBD2,ortholog_one2one,CNBD2
ENSBTAG00000002972,ENSOARG00020003767,CASC1,ortholog_one2one,DNAI7
ENSBTAG00000003058,ENSOARG00020006278,ADRM1,ortholog_one2one,ADRM1
ENSBTAG00000003083,ENSOARG00020008131,SLC50A1,ortholog_one2one,SLC50A1
ENSBTAG00000003100,ENSOARG00020019366,SMTN,ortholog_one2one,SMTN
ENSBTAG00000003361,ENSOARG00020010450,METTL15,ortholog_one2one,METTL15
ENSBTAG00000003371,ENSOARG00020008977,JKAMP,ortholog_one2one,JKAMP
ENSBTAG00000003384,ENSOARG00020003753,CEP162,ortholog_one2one,CEP162
ENSBTAG00000003390,ENSOARG00020015078,SF3A1,ortholog_one2one,SF3A1
ENSBTAG00000003484,ENSOARG00020005502,CZIB,ortholog_one2one,CZIB
ENSBTAG00000003494,ENSOARG00020005584,DNAAF9,ortholog_one2one,DNAAF9
ENSBTAG00000003504,ENSOARG00020003193,GSS,ortholog_one2one,GSS
ENSBTAG00000003535,ENSOARG00020008397,DPM3,ortholog_one2one,DPM3
ENSBTAG00000003556,ENSOARG00020017435,,ortholog_one2one,ZFYVE21
ENSBTAG00000003589,ENSOARG00020024334,COMMD3,ortholog_one2one,COMMD3
ENSBTAG00000003804,ENSOARG00020003810,SCCPDH,ortholog_one2one,SCCPDH
ENSBTAG00000003813,ENSOARG00020008102,BCS1L,ortholog_one2one,BCS1L
ENSBTAG00000003817,ENSOARG00020008163,RNF25,ortholog_one2one,RNF25
ENSBTAG00000003861,ENSOARG00020000953,GPATCH11,ortholog_one2one,GPATCH11
ENSBTAG00000003906,ENSOARG00020004068,SUPT7L,ortholog_one2one,SUPT7L
ENSBTAG00000003941,ENSOARG00020022983,AP1AR,ortholog_one2one,AP1AR
ENSBTAG00000003958,ENSOARG00020040490,,ortholog_one2one,TMEM220
ENSBTAG00000003970,ENSOARG00020012845,MITD1,ortholog_one2one,MITD1
ENSBTAG00000004095,ENSOARG00020022733,CIMIP2A,ortholog_one2one,CIMIP2A
ENSBTAG00000004098,ENSOARG00020021948,ARMT1,ortholog_one2one,ARMT1
ENSBTAG00000004100,ENSOARG00020009693,TTI1,ortholog_one2one,TTI1
ENSBTAG00000004108,ENSOARG00020027901,CENPX,ortholog_one2one,CENPX
ENSBTAG00000004112,ENSOARG00020015902,GAMT,ortholog_one2one,GAMT
ENSBTAG00000004184,ENSOARG00020019026,WDSUB1,ortholog_one2one,WDSUB1
ENSBTAG00000004224,ENSOARG00020006962,C19orf38,ortholog_one2one,C7H19orf38
ENSBTAG00000004230,ENSOARG00020025630,AIMP1,ortholog_one2one,AIMP1
ENSBTAG00000004268,ENSOARG00020009809,TRAPPC5,ortholog_one2one,TRAPPC5
ENSBTAG00000004284,ENSOARG00020005997,UFD1,ortholog_one2one,UFD1
ENSBTAG00000004286,ENSOARG00020006078,CDC45,ortholog_one2one,CDC45
ENSBTAG00000004310,ENSOARG00020016863,UBR7,ortholog_one2one,UBR7
ENSBTAG00000004334,ENSOARG00020016078,NCSTN,ortholog_one2one,NCSTN
ENSBTAG00000004378,ENSOARG00020002694,IL23A,ortholog_one2one,IL23A
ENSBTAG00000004422,ENSOARG00020001092,ALG14,ortholog_one2one,ALG14
ENSBTAG00000004492,ENSOARG00020006451,SWT1,ortholog_one2one,SWT1
ENSBTAG00000004571,ENSOARG00020020937,PRPF4,ortholog_one2one,PRPF4
ENSBTAG00000004622,ENSOARG00020022592,DZANK1,ortholog_one2one,DZANK1
ENSBTAG00000004631,ENSOARG00020007804,KIAA0586,ortholog_one2one,KIAA0586
ENSBTAG00000004663,ENSOARG00020008848,TRUB2,ortholog_one2one,TRUB2
ENSBTAG00000004664,ENSOARG00020008764,COQ4,ortholog_one2one,COQ4
ENSBTAG00000004723,ENSOARG00020014850,TEX2,ortholog_one2one,TEX2
ENSBTAG00000004788,ENSOARG00020006277,SDR39U1,ortholog_one2one,SDR39U1
ENSBTAG00000004864,ENSOARG00020010986,CEP89,ortholog_one2one,CEP89
ENSBTAG00000004902,ENSOARG00020003948,INTS8,ortholog_one2one,INTS8
ENSBTAG00000004951,ENSOARG00020017683,C15H11orf1,ortholog_one2one,CFAP68
ENSBTAG00000004956,ENSOARG00020007570,CHEK2,ortholog_one2one,CHEK2
ENSBTAG00000004991,ENSOARG00020001982,ELP1,ortholog_one2one,ELP1
ENSBTAG00000004996,ENSOARG00020001944,ABITRAM,ortholog_one2one,ABITRAM
ENSBTAG00000005151,ENSOARG00020001233,WDPCP,ortholog_one2one,WDPCP
ENSBTAG00000005174,ENSOARG00020014196,GDPGP1,ortholog_one2one,GDPGP1
ENSBTAG00000005178,ENSOARG00020003336,MMAB,ortholog_one2one,MMAB
ENSBTAG00000005189,ENSOARG00020017323,SPACA9,ortholog_one2one,SPACA9
ENSBTAG00000005289,ENSOARG00020015998,CHERP,ortholog_one2one,CHERP
ENSBTAG00000005364,ENSOARG00020013493,HMBS,ortholog_one2one,HMBS
ENSBTAG00000005427,ENSOARG00020031828,NRDE2,ortholog_one2one,NRDE2
ENSBTAG00000005465,ENSOARG00020009304,NDUFA9,ortholog_one2one,NDUFA9
ENSBTAG00000005557,ENSOARG00020026148,AFDN,ortholog_one2one,AFDN
ENSBTAG00000005565,ENSOARG00020011715,CLN6,ortholog_one2one,CLN6
ENSBTAG00000005652,ENSOARG00020003862,ALG3,ortholog_one2one,ALG3
ENSBTAG00000005654,ENSOARG00020002756,,ortholog_one2one,
ENSBTAG00000005663,ENSOARG00020017073,HAUS2,ortholog_one2one,HAUS2
ENSBTAG00000005688,ENSOARG00020000853,,ortholog_one2one,MRPS2
ENSBTAG00000005763,ENSOARG00020011932,AKT1S1,ortholog_one2one,AKT1S1
ENSBTAG00000005815,ENSOARG00020009678,RNF31,ortholog_one2one,RNF31
ENSBTAG00000005843,ENSOARG00020023074,REXO2,ortholog_one2one,REXO2
ENSBTAG00000005893,ENSOARG00020025479,TMEM68,ortholog_one2one,TMEM68
ENSBTAG00000005898,ENSOARG00020025496,TGS1,ortholog_one2one,TGS1
ENSBTAG00000005907,ENSOARG00020009670,NDUFB6,ortholog_one2one,NDUFB6
ENSBTAG00000005964,ENSOARG00020012800,PIGG,ortholog_one2one,PIGG
ENSBTAG00000006003,ENSOARG00020022426,SAP130,ortholog_one2one,SAP130
ENSBTAG00000006064,ENSOARG00020001554,,ortholog_one2one,BRME1
ENSBTAG00000006065,ENSOARG00020011991,PCNA,ortholog_one2one,PCNA
ENSBTAG00000006067,ENSOARG00020027649,VMAC,ortholog_one2one,VMAC
ENSBTAG00000006072,ENSOARG00020013205,LRRC59,ortholog_one2one,LRRC59
ENSBTAG00000006085,ENSOARG00020023593,DDOST,ortholog_one2one,DDOST
ENSBTAG00000006087,ENSOARG00020025954,COG1,ortholog_one2one,COG1
ENSBTAG00000006088,ENSOARG00020025961,VCF1,ortholog_one2one,VCF1
ENSBTAG00000006089,ENSOARG00020025968,C17orf80,ortholog_one2one,MTNAP1
ENSBTAG00000006104,ENSOARG00020024631,SNU13,ortholog_one2one,SNU13
ENSBTAG00000006244,ENSOARG00020012900,WDR83OS,ortholog_one2one,WDR83OS
ENSBTAG00000006245,ENSOARG00020012835,WDR83,ortholog_one2one,WDR83
ENSBTAG00000006247,ENSOARG00020012703,DHPS,ortholog_one2one,DHPS
ENSBTAG00000006277,ENSOARG00020012300,ENGASE,ortholog_one2one,ENGASE
ENSBTAG00000006364,ENSOARG00020017115,GLMP,ortholog_one2one,GLMP
ENSBTAG00000006387,ENSOARG00020003891,TSNAXIP1,ortholog_one2one,TSNAXIP1
ENSBTAG00000006404,ENSOARG00020004004,CENPT,ortholog_one2one,CENPT
ENSBTAG00000006409,ENSOARG00020001962,LRRC34,ortholog_one2one,LRRC34
ENSBTAG00000006423,ENSOARG00020024461,,ortholog_one2one,PHF5A
ENSBTAG00000006486,ENSOARG00020021770,TSEN34,ortholog_one2one,TSEN34
ENSBTAG00000006487,ENSOARG00020021652,RPS9,ortholog_one2one,RPS9
ENSBTAG00000006491,ENSOARG00020001804,AGL,ortholog_one2one,AGL
ENSBTAG00000006510,ENSOARG00020016821,YRDC,ortholog_one2one,YRDC
ENSBTAG00000006581,ENSOARG00020023222,CCDC82,ortholog_one2one,CCDC82
ENSBTAG00000006610,ENSOARG00020004106,XRRA1,ortholog_one2one,XRRA1
ENSBTAG00000006644,ENSOARG00020004400,SPCS2,ortholog_one2one,SPCS2
ENSBTAG00000006665,ENSOARG00020020022,ERP29,ortholog_one2one,ERP29
ENSBTAG00000006770,ENSOARG00020012837,MTBP,ortholog_one2one,MTBP
ENSBTAG00000006776,ENSOARG00020001724,KIAA0930,ortholog_one2one,KIAA0930
ENSBTAG00000006821,ENSOARG00020025327,PECR,ortholog_one2one,PECR
ENSBTAG00000006836,ENSOARG00020020295,FBXO33,ortholog_one2one,FBXO33
ENSBTAG00000006843,ENSOARG00020022284,UTP15,ortholog_one2one,UTP15
ENSBTAG00000006925,ENSOARG00020014693,CENPL,ortholog_one2one,CENPL
ENSBTAG00000006972,ENSOARG00020013528,TRIP13,ortholog_one2one,TRIP13
ENSBTAG00000006988,ENSOARG00020002029,M1AP,ortholog_one2one,M1AP
ENSBTAG00000007080,ENSOARG00020001389,PREB,ortholog_one2one,PREB
ENSBTAG00000007112,ENSOARG00020017340,HSPB11,ortholog_one2one,IFT25
ENSBTAG00000007121,ENSOARG00020018573,TK1,ortholog_one2one,TK1
ENSBTAG00000007189,ENSOARG00020003434,RCHY1,ortholog_one2one,RCHY1
ENSBTAG00000007217,ENSOARG00020006269,TMEM94,ortholog_one2one,TMEM94
ENSBTAG00000007270,ENSOARG00020006091,GTF2H3,ortholog_one2one,GTF2H3
ENSBTAG00000007336,ENSOARG00020022772,,ortholog_one2one,HCST
ENSBTAG00000007338,ENSOARG00020022809,,ortholog_one2one,TYROBP
ENSBTAG00000007360,ENSOARG00020025957,TMEM43,ortholog_one2one,TMEM43
ENSBTAG00000007362,ENSOARG00020025953,XPC,ortholog_one2one,XPC
ENSBTAG00000007363,ENSOARG00020025950,LSM3,ortholog_one2one,LSM3
ENSBTAG00000007366,ENSOARG00020014343,HAUS8,ortholog_one2one,HAUS8
ENSBTAG00000007386,ENSOARG00020014651,NUDCD1,ortholog_one2one,NUDCD1
ENSBTAG00000007387,ENSOARG00020014584,ENY2,ortholog_one2one,ENY2
ENSBTAG00000007534,ENSOARG00020025795,GGH,ortholog_one2one,GGH
ENSBTAG00000007593,ENSOARG00020012541,AIDA,ortholog_one2one,AIDA
ENSBTAG00000007595,ENSOARG00020012719,BROX,ortholog_one2one,BROX
ENSBTAG00000007609,ENSOARG00020012295,ITFG2,ortholog_one2one,ITFG2
ENSBTAG00000007683,ENSOARG00020002807,DCAF17,ortholog_one2one,DCAF17
ENSBTAG00000007728,ENSOARG00020016150,PES1,ortholog_one2one,PES1
ENSBTAG00000007756,ENSOARG00020003506,TFPT,ortholog_one2one,TFPT
ENSBTAG00000007757,ENSOARG00020003439,PRPF31,ortholog_one2one,PRPF31
ENSBTAG00000007779,ENSOARG00020009036,GTF3C3,ortholog_one2one,GTF3C3
ENSBTAG00000007913,ENSOARG00020023834,CWC15,ortholog_one2one,CWC15
ENSBTAG00000007994,ENSOARG00020014556,OSCP1,ortholog_one2one,OSCP1
ENSBTAG00000008110,ENSOARG00020024017,IFT20,ortholog_one2one,IFT20
ENSBTAG00000008120,ENSOARG00020023918,TMEM199,ortholog_one2one,TMEM199
ENSBTAG00000008133,ENSOARG00020004970,ALKBH1,ortholog_one2one,ALKBH1
ENSBTAG00000008145,ENSOARG00020008673,SMPD2,ortholog_one2one,SMPD2
ENSBTAG00000008220,ENSOARG00020036995,C15H11orf71,ortholog_one2one,C15H11orf71
ENSBTAG00000008369,ENSOARG00020003860,RBM8A,ortholog_one2one,RBM8A
ENSBTAG00000008396,ENSOARG00020017174,MRPL54,ortholog_one2one,MRPL54
ENSBTAG00000008417,ENSOARG00020014977,VPS29,ortholog_one2one,VPS29
ENSBTAG00000008423,ENSOARG00020012618,TIMM22,ortholog_one2one,TIMM22
ENSBTAG00000008432,ENSOARG00020012828,NUP98,ortholog_one2one,NUP98
ENSBTAG00000008433,ENSOARG00020012266,PGAP2,ortholog_one2one,PGAP2
ENSBTAG00000008457,ENSOARG00020009922,SLU7,ortholog_one2one,SLU7
ENSBTAG00000008482,ENSOARG00020006185,SON,ortholog_one2one,SON
ENSBTAG00000008499,ENSOARG00020000841,TROAP,ortholog_one2one,TROAP
ENSBTAG00000008543,ENSOARG00020028468,,ortholog_one2one,GTF2H5
ENSBTAG00000008590,ENSOARG00020025282,SPAG7,ortholog_one2one,SPAG7
ENSBTAG00000008765,ENSOARG00020008311,PRADC1,ortholog_one2one,PRADC1
ENSBTAG00000008801,ENSOARG00020026268,ATPAF2,ortholog_one2one,ATPAF2
ENSBTAG00000008815,ENSOARG00020012765,WDR89,ortholog_one2one,WDR89
ENSBTAG00000008825,ENSOARG00020022881,POLR3F,ortholog_one2one,POLR3F
ENSBTAG00000008826,ENSOARG00020040973,RBBP9,ortholog_one2one,RBBP9
ENSBTAG00000008841,ENSOARG00020001424,DCAF15,ortholog_one2one,DCAF15
ENSBTAG00000008883,ENSOARG00020013074,ZNF207,ortholog_one2one,ZNF207
ENSBTAG00000008906,ENSOARG00020009522,PCP2,ortholog_one2one,PCP2
ENSBTAG00000008925,ENSOARG00020011913,MRE11,ortholog_one2one,MRE11
ENSBTAG00000008962,ENSOARG00020002978,MRPL50,ortholog_one2one,MRPL50
ENSBTAG00000008991,ENSOARG00020021505,EIF4ENIF1,ortholog_one2one,EIF4ENIF1
ENSBTAG00000008994,ENSOARG00020015960,FPGS,ortholog_one2one,FPGS
ENSBTAG00000009029,ENSOARG00020009908,,ortholog_one2one,THA1
ENSBTAG00000009036,ENSOARG00020021867,SUPT6H,ortholog_one2one,SUPT6H
ENSBTAG00000009075,ENSOARG00020023196,RNF207,ortholog_one2one,RNF207
ENSBTAG00000009084,ENSOARG00020000487,ATG3,ortholog_one2one,ATG3
ENSBTAG00000009109,ENSOARG00020018433,CASD1,ortholog_one2one,CASD1
ENSBTAG00000009154,ENSOARG00020005741,U2SURP,ortholog_one2one,U2SURP
ENSBTAG00000009163,ENSOARG00020021540,TMEM234,ortholog_one2one,TMEM234
ENSBTAG00000009176,ENSOARG00020012037,ANKRD49,ortholog_one2one,ANKRD49
ENSBTAG00000009291,ENSOARG00020003632,CFAP61,ortholog_one2one,CFAP61
ENSBTAG00000009307,ENSOARG00020007578,RER1,ortholog_one2one,RER1
ENSBTAG00000009394,ENSOARG00020010360,NSMCE2,ortholog_one2one,NSMCE2
ENSBTAG00000009415,ENSOARG00020006417,NUFIP1,ortholog_one2one,NUFIP1
ENSBTAG00000009433,ENSOARG00020016735,BGLAP,ortholog_one2one,BGLAP
ENSBTAG00000009436,ENSOARG00020017071,TMEM79,ortholog_one2one,TMEM79
ENSBTAG00000009479,ENSOARG00020021124,,ortholog_one2one,UQCRQ
ENSBTAG00000009509,ENSOARG00020000319,NDUFA6,ortholog_one2one,NDUFA6
ENSBTAG00000009603,ENSOARG00020020992,UQCRH,ortholog_one2one,UQCRH
ENSBTAG00000009636,ENSOARG00020007905,SLC7A6OS,ortholog_one2one,SLC7A6OS
ENSBTAG00000009661,ENSOARG00020011239,RNASEH2A,ortholog_one2one,RNASEH2A
ENSBTAG00000009681,ENSOARG00020006825,PPP2R3C,ortholog_one2one,PPP2R3C
ENSBTAG00000009682,ENSOARG00020006992,PRORP,ortholog_one2one,PRORP
ENSBTAG00000009689,ENSOARG00020004445,,ortholog_one2one,RWDD1
ENSBTAG00000009732,ENSOARG00020001711,NCBP1,ortholog_one2one,NCBP1
ENSBTAG00000009743,ENSOARG00020004949,PDRG1,ortholog_one2one,PDRG1
ENSBTAG00000009806,ENSOARG00020000789,INVS,ortholog_one2one,INVS
ENSBTAG00000009811,ENSOARG00020004984,BOP1,ortholog_one2one,BOP1
ENSBTAG00000009916,ENSOARG00020015073,NTAQ1,ortholog_one2one,NTAQ1
ENSBTAG00000009918,ENSOARG00020008756,GSE1,ortholog_one2one,GSE1
ENSBTAG00000009923,ENSOARG00020032889,CIPC,ortholog_one2one,CIPC
ENSBTAG00000010006,ENSOARG00020014931,EMC2,ortholog_one2one,EMC2
ENSBTAG00000010009,ENSOARG00020035771,TMCO1,ortholog_one2one,TMCO1
ENSBTAG00000010027,ENSOARG00020021849,CHDH,ortholog_one2one,CHDH
ENSBTAG00000010036,ENSOARG00020021425,POLR3D,ortholog_one2one,POLR3D
ENSBTAG00000010126,ENSOARG00020016840,PCIF1,ortholog_one2one,PCIF1
ENSBTAG00000010136,ENSOARG00020006141,CMAS,ortholog_one2one,CMAS
ENSBTAG00000010219,ENSOARG00020008817,KRBA1,ortholog_one2one,KRBA1
ENSBTAG00000010235,ENSOARG00020008363,NOP9,ortholog_one2one,NOP9
ENSBTAG00000010275,ENSOARG00020010489,WASHC5,ortholog_one2one,WASHC5
ENSBTAG00000010286,ENSOARG00020011163,NPAT,ortholog_one2one,NPAT
ENSBTAG00000010403,ENSOARG00020011075,FAAP24,ortholog_one2one,FAAP24
ENSBTAG00000010413,ENSOARG00020030898,TMEM169,ortholog_one2one,TMEM169
ENSBTAG00000010464,ENSOARG00020006685,MN1,ortholog_one2one,MN1
ENSBTAG00000010487,ENSOARG00020032072,SMIM3,ortholog_one2one,SMIM3
ENSBTAG00000010503,ENSOARG00020007740,,ortholog_one2one,TIMM9
ENSBTAG00000010513,ENSOARG00020017230,GPS2,ortholog_one2one,GPS2
ENSBTAG00000010593,ENSOARG00020019666,SRP72,ortholog_one2one,SRP72
ENSBTAG00000010599,ENSOARG00020023056,,ortholog_one2one,C2H2orf76
ENSBTAG00000010604,ENSOARG00020000405,PNO1,ortholog_one2one,PNO1
