Cow BIP number,Goat BIP number
230,62
256,72
298,81
335,96
343,99
344,100
702,200
733,209
759,220
924,270
934,273
946,278
1080,323
1081,324
1192,359
1200,366
1202,367
1233,378
1374,404
1375,405
1392,410
1406,419
1442,428
1542,457
2047,641
2059,634
2186,660
2189,663
