Chicken_BIP number,Chicken_Gene stable ID,Chicken_Chromosome/scaffold name,Chicken_Gene start (bp),Chicken_Gene end (bp),Chicken_Strand,Chicken_Gene description,Chicken_Gene name,Chicken_Gene type,Chicken_Gene stable ID.1,Chicken_Chromosome/scaffold name.1,Chicken_Gene start (bp).1,Chicken_Gene end (bp).1,Chicken_Strand.1,Chicken_Gene description.1,Chicken_Gene name.1,Chicken_Gene type.1,Chicken_distance,Great_Tit_BIP number,Great_Tit_Gene stable ID,Great_Tit_Chromosome/scaffold name,Great_Tit_Gene start (bp),Great_Tit_Gene end (bp),Great_Tit_Strand,Great_Tit_Gene description,Great_Tit_Gene name,Great_Tit_Gene type,Great_Tit_Gene stable ID.1,Great_Tit_Chromosome/scaffold name.1,Great_Tit_Gene start (bp).1,Great_Tit_Gene end (bp).1,Great_Tit_Strand.1,Great_Tit_Gene description.1,Great_Tit_Gene name.1,Great_Tit_Gene type.1,Great_Tit_distance,Zebra_Finch_BIP number,Zebra_Finch_Gene stable ID,Zebra_Finch_Chromosome/scaffold name,Zebra_Finch_Gene start (bp),Zebra_Finch_Gene end (bp),Zebra_Finch_Strand,Zebra_Finch_Gene description,Zebra_Finch_Gene name,Zebra_Finch_Gene type,Zebra_Finch_Gene stable ID.1,Zebra_Finch_Chromosome/scaffold name.1,Zebra_Finch_Gene start (bp).1,Zebra_Finch_Gene end (bp).1,Zebra_Finch_Strand.1,Zebra_Finch_Gene description.1,Zebra_Finch_Gene name.1,Zebra_Finch_Gene type.1,Zebra_Finch_distance,Duck_BIP number,Duck_Gene stable ID,Duck_Chromosome/scaffold name,Duck_Gene start (bp),Duck_Gene end (bp),Duck_Strand,Duck_Gene description,Duck_Gene name,Duck_Gene type,Duck_Gene stable ID.1,Duck_Chromosome/scaffold name.1,Duck_Gene start (bp).1,Duck_Gene end (bp).1,Duck_Strand.1,Duck_Gene description.1,Duck_Gene name.1,Duck_Gene type.1,Duck_distance,Turkey_BIP number,Turkey_Gene stable ID,Turkey_Chromosome/scaffold name,Turkey_Gene start (bp),Turkey_Gene end (bp),Turkey_Strand,Turkey_Gene description,Turkey_Gene name,Turkey_Gene type,Turkey_Gene stable ID.1,Turkey_Chromosome/scaffold name.1,Turkey_Gene start (bp).1,Turkey_Gene end (bp).1,Turkey_Strand.1,Turkey_Gene description.1,Turkey_Gene name.1,Turkey_Gene type.1,Turkey_distance,Kakapo_BIP number,Kakapo_Gene stable ID,Kakapo_Chromosome/scaffold name,Kakapo_Gene start (bp),Kakapo_Gene end (bp),Kakapo_Strand,Kakapo_Gene description,Kakapo_Gene name,Kakapo_Gene type,Kakapo_Gene stable ID.1,Kakapo_Chromosome/scaffold name.1,Kakapo_Gene start (bp).1,Kakapo_Gene end (bp).1,Kakapo_Strand.1,Kakapo_Gene description.1,Kakapo_Gene name.1,Kakapo_Gene type.1,Kakapo_distance,Golden_Eagle_BIP number,Golden_Eagle_Gene stable ID,Golden_Eagle_Chromosome/scaffold name,Golden_Eagle_Gene start (bp),Golden_Eagle_Gene end (bp),Golden_Eagle_Strand,Golden_Eagle_Gene description,Golden_Eagle_Gene name,Golden_Eagle_Gene type,Golden_Eagle_Gene stable ID.1,Golden_Eagle_Chromosome/scaffold name.1,Golden_Eagle_Gene start (bp).1,Golden_Eagle_Gene end (bp).1,Golden_Eagle_Strand.1,Golden_Eagle_Gene description.1,Golden_Eagle_Gene name.1,Golden_Eagle_Gene type.1,Golden_Eagle_distance,Japanese_Quail_BIP number,Japanese_Quail_Gene stable ID,Japanese_Quail_Chromosome/scaffold name,Japanese_Quail_Gene start (bp),Japanese_Quail_Gene end (bp),Japanese_Quail_Strand,Japanese_Quail_Gene description,Japanese_Quail_Gene name,Japanese_Quail_Gene type,Japanese_Quail_Gene stable ID.1,Japanese_Quail_Chromosome/scaffold name.1,Japanese_Quail_Gene start (bp).1,Japanese_Quail_Gene end (bp).1,Japanese_Quail_Strand.1,Japanese_Quail_Gene description.1,Japanese_Quail_Gene name.1,Japanese_Quail_Gene type.1,Japanese_Quail_distance,Collared_Flycatcher_BIP number,Collared_Flycatcher_Gene stable ID,Collared_Flycatcher_Chromosome/scaffold name,Collared_Flycatcher_Gene start (bp),Collared_Flycatcher_Gene end (bp),Collared_Flycatcher_Strand,Collared_Flycatcher_Gene description,Collared_Flycatcher_Gene name,Collared_Flycatcher_Gene type,Collared_Flycatcher_Gene stable ID.1,Collared_Flycatcher_Chromosome/scaffold name.1,Collared_Flycatcher_Gene start (bp).1,Collared_Flycatcher_Gene end (bp).1,Collared_Flycatcher_Strand.1,Collared_Flycatcher_Gene description.1,Collared_Flycatcher_Gene name.1,Collared_Flycatcher_Gene type.1,Collared_Flycatcher_distance
291,ENSGALG00010001620,1,122421214,122455813,-1,motile sperm domain containing 2 [Source:NCBI gene (formerly Entrezgene);Acc:418627],MOSPD2,protein_coding,ENSGALG00010001632,1,122455782,122471007,1,Fanconi anemia complementation group B [Source:NCBI gene (formerly Entrezgene);Acc:418628],FANCB,protein_coding,31,18,ENSPMJG00000011498,1,17213183,17244358,-1,motile sperm domain containing 2 [Source:NCBI gene;Acc:107211387],MOSPD2,protein_coding,ENSPMJG00000011499,1,17244639,17258154,1,FA complementation group B [Source:NCBI gene;Acc:107212719],FANCB,protein_coding,281,,,,,,,,,,,,,,,,,,,92,ENSAPLG00000013235,1,127112793,127145480,-1,motile sperm domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28381],MOSPD2,protein_coding,ENSAPLG00000013141,1,127145745,127159181,1,FA complementation group B [Source:HGNC Symbol;Acc:HGNC:3583],FANCB,protein_coding,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,ENSCJPG00005018164,1,110199278,110231113,-1,motile sperm domain containing 2 [Source:NCBI gene;Acc:107325630],MOSPD2,protein_coding,ENSCJPG00005018167,1,110231804,110267248,1,FA complementation group B [Source:NCBI gene;Acc:107325618],FANCB,protein_coding,691,8,ENSFALG00000004432,1,18904275,18939253,-1,motile sperm domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28381],MOSPD2,protein_coding,ENSFALG00000004439,1,18940116,18954826,1,FA complementation group B [Source:HGNC Symbol;Acc:HGNC:3583],FANCB,protein_coding,863
339,ENSGALG00010000859,1,156191814,156211585,-1,"bora, aurora kinase A activator [Source:NCBI gene (formerly Entrezgene);Acc:769298]",BORA,protein_coding,ENSGALG00010000864,1,156211757,156219025,1,mitotic spindle organizing protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:418822],MZT1,protein_coding,172,38,ENSPMJG00000013662,1,49918440,49936402,-1,BORA aurora kinase A activator [Source:NCBI gene;Acc:107204374],BORA,protein_coding,ENSPMJG00000013663,1,49936530,49940117,1,mitotic spindle organizing protein 1 [Source:NCBI gene;Acc:107213270],MZT1,protein_coding,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,ENSSHBG00005003728,2,63379139,63393499,-1,BORA aurora kinase A activator [Source:NCBI gene;Acc:115604420],BORA,protein_coding,ENSSHBG00005003743,2,63393759,63401082,1,mitotic spindle organizing protein 1 [Source:NCBI gene;Acc:115604421],MZT1,protein_coding,260,,,,,,,,,,,,,,,,,,,134,ENSCJPG00005019587,1,140194147,140209640,-1,BORA aurora kinase A activator [Source:NCBI gene;Acc:107308066],BORA,protein_coding,ENSCJPG00005019588,1,140210263,140211720,1,mitotic spindle organizing protein 1 [Source:NCBI gene;Acc:107308067],MZT1,protein_coding,623,,,,,,,,,,,,,,,,,,
346,ENSGALG00010003503,1,167484832,167510457,-1,"NUFIP1, FMR1 interacting protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:418841]",NUFIP1,protein_coding,ENSGALG00010003509,1,167510500,167525345,1,GPALPP motifs containing 1 [Source:NCBI gene (formerly Entrezgene);Acc:418842],GPALPP1,protein_coding,43,40,ENSPMJG00000014897,1,60174767,60194446,-1,nuclear FMR1 interacting protein 1 [Source:NCBI gene;Acc:107207483],,protein_coding,ENSPMJG00000014898,1,60194642,60211401,1,GPALPP motifs containing 1 [Source:NCBI gene;Acc:107207491],GPALPP1,protein_coding,196,72,ENSTGUG00000012321,1,57762814,57783907,-1,nuclear FMR1 interacting protein 1 [Source:NCBI gene;Acc:100231127],NUFIP1,protein_coding,ENSTGUG00000012338,1,57783992,57804019,1,GPALPP motifs containing 1 [Source:NCBI gene;Acc:100219541],GPALPP1,protein_coding,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,ENSSHBG00005008070,2,74726925,74755182,-1,nuclear FMR1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8057],NUFIP1,protein_coding,ENSSHBG00005008087,2,74756141,74777437,1,GPALPP motifs containing 1 [Source:NCBI gene;Acc:115604485],GPALPP1,protein_coding,959,359,ENSACCG00020015631,14,30437340,30462693,-1,nuclear FMR1 interacting protein 1 [Source:NCBI gene;Acc:115350618],NUFIP1,protein_coding,ENSACCG00020015644,14,30462814,30482146,1,GPALPP motifs containing 1 [Source:NCBI gene;Acc:115350619],GPALPP1,protein_coding,121,137,ENSCJPG00005019727,1,150035984,150059578,-1,nuclear FMR1 interacting protein 1 [Source:NCBI gene;Acc:107308124],NUFIP1,protein_coding,ENSCJPG00005019728,1,150059480,150073190,1,GPALPP motifs containing 1 [Source:NCBI gene;Acc:107308126],GPALPP1,protein_coding,98,,,,,,,,,,,,,,,,,,
360,ENSGALG00010002716,1,171111664,171123757,-1,NHL repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:33751],NHLRC3,protein_coding,ENSGALG00010002742,1,171123390,171144542,1,proline and serine rich 1 [Source:HGNC Symbol;Acc:HGNC:20291],PROSER1,protein_coding,367,47,ENSPMJG00000014977,1,63749326,63758682,-1,NHL repeat containing 3 [Source:NCBI gene;Acc:107206501],NHLRC3,protein_coding,ENSPMJG00000014978,1,63758749,63777899,1,proline and serine rich 1 [Source:NCBI gene;Acc:107206494],PROSER1,protein_coding,67,82,ENSTGUG00000011989,1,61362679,61372127,-1,NHL repeat containing 3 [Source:NCBI gene;Acc:100225396],NHLRC3,protein_coding,ENSTGUG00000011985,1,61372230,61394731,1,proline and serine rich 1 [Source:NCBI gene;Acc:100228271],PROSER1,protein_coding,103,124,ENSAPLG00000016861,1,196092214,196100880,-1,NHL repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:33751],NHLRC3,protein_coding,ENSAPLG00000003606,1,196100901,196121422,1,proline and serine rich 1 [Source:HGNC Symbol;Acc:HGNC:20291],PROSER1,protein_coding,21,,,,,,,,,,,,,,,,,,,262,ENSSHBG00005003965,2,78451252,78460569,-1,NHL repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:33751],NHLRC3,protein_coding,ENSSHBG00005003991,2,78460869,78480686,1,proline and serine rich 1 [Source:NCBI gene;Acc:115603619],PROSER1,protein_coding,300,514,ENSACCG00020013128,19,77026,86762,-1,NHL repeat containing 3 [Source:NCBI gene;Acc:115353442],NHLRC3,protein_coding,ENSACCG00020013159,19,87284,107120,1,proline and serine rich 1 [Source:NCBI gene;Acc:115353407],PROSER1,protein_coding,522,144,ENSCJPG00005019875,1,153131717,153140194,-1,NHL repeat containing 3 [Source:NCBI gene;Acc:107308204],NHLRC3,protein_coding,ENSCJPG00005019876,1,153140215,153160078,1,proline and serine rich 1 [Source:NCBI gene;Acc:107308203],PROSER1,protein_coding,21,22,ENSFALG00000026440,1,68108664,68115578,-1,NHL repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:33751],NHLRC3,protein_coding,ENSFALG00000008138,1,68116461,68138338,1,proline and serine rich 1 [Source:HGNC Symbol;Acc:HGNC:20291],PROSER1,protein_coding,883
392,ENSGALG00010008492,1,185501674,185504427,-1,ankyrin repeat domain 49 [Source:HGNC Symbol;Acc:HGNC:25970],ANKRD49,protein_coding,ENSGALG00010008516,1,185504504,185524330,1,"MRE11 homolog, double strand break repair nuclease [Source:NCBI gene (formerly Entrezgene);Acc:395555]",MRE11,protein_coding,77,55,ENSPMJG00000017866,1,77597110,77598797,-1,ankyrin repeat domain 49 [Source:NCBI gene;Acc:107211560],ANKRD49,protein_coding,ENSPMJG00000017867,1,77599591,77619423,1,"MRE11 homolog, double strand break repair nuclease [Source:NCBI gene;Acc:107211554]",MRE11,protein_coding,794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,ENSSHBG00005003336,2,93406577,93409502,-1,ankyrin repeat domain 49 [Source:NCBI gene;Acc:115603778],ANKRD49,protein_coding,ENSSHBG00005003350,2,93409561,93430335,1,"MRE11 homolog, double strand break repair nuclease [Source:NCBI gene;Acc:115603780]",MRE11,protein_coding,59,520,ENSACCG00020009196,19,16262966,16265031,-1,ankyrin repeat domain 49 [Source:NCBI gene;Acc:115353306],ANKRD49,protein_coding,ENSACCG00020009228,19,16265542,16291810,1,"MRE11 homolog, double strand break repair nuclease [Source:NCBI gene;Acc:115353303]",MRE11,protein_coding,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,ENSGALG00010023307,10,1359294,1361861,1,telomere repeat binding bouquet formation protein 2 [Source:HGNC Symbol;Acc:HGNC:28520],TERB2,protein_coding,ENSGALG00010023334,10,1362214,1365023,-1,ribosomal protein S17 [Source:NCBI gene (formerly Entrezgene);Acc:374053],RPS17,protein_coding,353,89,ENSPMJG00000007314,10,669577,674608,1,telomere repeat binding bouquet formation protein 2 [Source:HGNC Symbol;Acc:HGNC:28520],TERB2,protein_coding,ENSPMJG00000007315,10,675300,677710,-1,ribosomal protein S17 [Source:NCBI gene;Acc:107209425],,protein_coding,692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,ENSCJPG00005001084,10,736801,739027,1,telomere repeat binding bouquet formation protein 2 [Source:HGNC Symbol;Acc:HGNC:28520],TERB2,protein_coding,ENSCJPG00005001091,10,739667,740625,-1,ribosomal protein S17 [Source:NCBI gene;Acc:107318631],,protein_coding,640,,,,,,,,,,,,,,,,,,
522,ENSGALG00010000059,10,20145572,20149360,1,microfibrillar associated protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:415586],MFAP1,protein_coding,ENSGALG00010000060,10,20149768,20151059,-1,huntingtin interacting protein K [Source:NCBI gene (formerly Entrezgene);Acc:770307],HYPK,protein_coding,408,128,ENSPMJG00000012029,10,19959150,19963793,1,microfibril associated protein 1 [Source:NCBI gene;Acc:107209437],MFAP1,protein_coding,ENSPMJG00000012030,10,19963741,19967678,-1,huntingtin interacting protein K [Source:NCBI gene;Acc:107209438],HYPK,protein_coding,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830,ENSACCG00020003062,5,61775581,61780346,1,microfibril associated protein 1 [Source:NCBI gene;Acc:115342148],MFAP1,protein_coding,ENSACCG00020003072,5,61780732,61781911,-1,huntingtin interacting protein K [Source:NCBI gene;Acc:115341391],HYPK,protein_coding,386,196,ENSCJPG00005000359,10,18264923,18269351,1,microfibril associated protein 1 [Source:NCBI gene;Acc:107318969],MFAP1,protein_coding,ENSCJPG00005000368,10,18269496,18271714,-1,huntingtin interacting protein K [Source:NCBI gene;Acc:107318973],HYPK,protein_coding,145,,,,,,,,,,,,,,,,,,
535,ENSGALG00010022252,11,554493,560708,-1,coenzyme Q9 [Source:NCBI gene (formerly Entrezgene);Acc:415636],COQ9,protein_coding,ENSGALG00010022296,11,559945,566678,1,cytokine induced apoptosis inhibitor 1 [Source:NCBI gene (formerly Entrezgene);Acc:415637],CIAPIN1,protein_coding,763,157,ENSPMJG00000014065,11,6367356,6374293,-1,coenzyme Q9 [Source:NCBI gene;Acc:107209701],COQ9,protein_coding,ENSPMJG00000014068,11,6374222,6381393,1,cytokine induced apoptosis inhibitor 1 [Source:NCBI gene;Acc:107209699],CIAPIN1,protein_coding,71,,,,,,,,,,,,,,,,,,,189,ENSAPLG00000005848,12,10277384,10284814,-1,coenzyme Q9 [Source:HGNC Symbol;Acc:HGNC:25302],COQ9,protein_coding,ENSAPLG00000006126,12,10284836,10291730,1,cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050],CIAPIN1,protein_coding,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,ENSGALG00010024393,11,2168633,2176769,-1,2-oxoglutarate and iron dependent oxygenase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25585],OGFOD1,protein_coding,ENSGALG00010024406,11,2176563,2183542,1,nudix hydrolase 21 [Source:NCBI gene (formerly Entrezgene);Acc:100858636],NUDT21,protein_coding,206,170,ENSPMJG00000000954,11,8102538,8109865,-1,2-oxoglutarate and iron dependent oxygenase domain containing 1 [Source:NCBI gene;Acc:107209868],OGFOD1,protein_coding,ENSPMJG00000000963,11,8110306,8117270,1,nudix hydrolase 21 [Source:HGNC Symbol;Acc:HGNC:13870],NUDT21,protein_coding,441,,,,,,,,,,,,,,,,,,,179,ENSAPLG00000012283,12,3634353,3642468,-1,2-oxoglutarate and iron dependent oxygenase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25585],OGFOD1,protein_coding,ENSAPLG00000012153,12,3642622,3649895,1,nudix hydrolase 21 [Source:HGNC Symbol;Acc:HGNC:13870],NUDT21,protein_coding,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,ENSFALG00000007540,11,8807022,8814519,-1,2-oxoglutarate and iron dependent oxygenase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25585],OGFOD1,protein_coding,ENSFALG00000007561,11,8815301,8823410,1,nudix hydrolase 21 [Source:HGNC Symbol;Acc:HGNC:13870],NUDT21,protein_coding,782
573,ENSGALG00010023733,11,7466577,7472775,-1,origin recognition complex subunit 6 [Source:NCBI gene (formerly Entrezgene);Acc:415749],ORC6,protein_coding,ENSGALG00010023783,11,7472893,7498725,1,VPS35 retromer complex component [Source:NCBI gene (formerly Entrezgene);Acc:415750],VPS35,protein_coding,118,176,ENSPMJG00000002970,11,13592305,13597850,-1,origin recognition complex subunit 6 [Source:NCBI gene;Acc:107209811],ORC6,protein_coding,ENSPMJG00000002974,11,13597938,13621411,1,VPS35 retromer complex component [Source:NCBI gene;Acc:107209898],VPS35,protein_coding,88,276,ENSTGUG00000008874,11,13740071,13747381,-1,origin recognition complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:17151],ORC6,protein_coding,ENSTGUG00000008891,11,13746866,13775726,1,VPS35 retromer complex component [Source:HGNC Symbol;Acc:HGNC:13487],VPS35,protein_coding,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,ENSCJPG00005014381,11,6628633,6632458,-1,origin recognition complex subunit 6 [Source:NCBI gene;Acc:107319281],ORC6,protein_coding,ENSCJPG00005014382,11,6632723,6652574,1,VPS35 retromer complex component [Source:NCBI gene;Acc:107319275],VPS35,protein_coding,265,,,,,,,,,,,,,,,,,,
