Gene stable ID,Blue whale gene stable ID,Blue whale gene name,Blue whale homology type,Sperm whale gene stable ID,Sperm whale gene name,Sperm whale homology type,Vaquita gene stable ID,Vaquita gene name,Vaquita homology type,Gene name
ENSBTAG00000000012,ENSBMSG00010001948,TTC33,ortholog_one2one,ENSPCTG00005018058,TTC33,ortholog_one2one,ENSPSNG00000003417,TTC33,ortholog_one2one,TTC33
ENSBTAG00000000046,ENSBMSG00010004758,SURF2,ortholog_one2one,ENSPCTG00005021040,SURF2,ortholog_one2one,ENSPSNG00000007081,SURF2,ortholog_one2one,SURF2
ENSBTAG00000000140,ENSBMSG00010002828,EPHX1,ortholog_one2one,ENSPCTG00005000792,EPHX1,ortholog_one2one,ENSPSNG00000000088,EPHX1,ortholog_one2one,EPHX1
ENSBTAG00000000277,ENSBMSG00010006928,IL18,ortholog_one2one,ENSPCTG00005021887,IL18,ortholog_one2one,ENSPSNG00000008022,IL18,ortholog_one2one,IL18
ENSBTAG00000000355,ENSBMSG00010016649,,ortholog_one2one,ENSPCTG00005021526,OXLD1,ortholog_one2one,ENSPSNG00000014909,OXLD1,ortholog_one2one,OXLD1
ENSBTAG00000000356,ENSBMSG00010016685,CCDC137,ortholog_one2one,ENSPCTG00005019533,,ortholog_one2one,ENSPSNG00000014847,CCDC137,ortholog_one2one,CCDC137
ENSBTAG00000000478,ENSBMSG00010011868,LSMEM2,ortholog_one2one,ENSPCTG00005008134,LSMEM2,ortholog_one2one,ENSPSNG00000009933,LSMEM2,ortholog_one2one,LSMEM2
ENSBTAG00000000511,ENSBMSG00010000841,CNST,ortholog_one2one,ENSPCTG00005021399,CNST,ortholog_one2one,ENSPSNG00000002886,CNST,ortholog_one2one,CNST
ENSBTAG00000000586,ENSBMSG00010001402,CPLANE1,ortholog_one2one,ENSPCTG00005015256,CPLANE1,ortholog_one2one,ENSPSNG00000004315,CPLANE1,ortholog_one2one,CPLANE1
ENSBTAG00000000590,ENSBMSG00010019508,POLE,ortholog_one2one,ENSPCTG00005020575,POLE,ortholog_one2one,ENSPSNG00000015590,POLE,ortholog_one2one,POLE
ENSBTAG00000000646,ENSBMSG00010001569,ANAPC4,ortholog_one2one,ENSPCTG00005010830,ANAPC4,ortholog_one2one,ENSPSNG00000021117,ANAPC4,ortholog_one2one,ANAPC4
ENSBTAG00000000670,ENSBMSG00010007510,RRP9,ortholog_one2one,ENSPCTG00005015474,RRP9,ortholog_one2one,ENSPSNG00000007448,RRP9,ortholog_one2one,RRP9
ENSBTAG00000000694,ENSBMSG00010021888,TAF10,ortholog_one2one,ENSPCTG00005004361,TAF10,ortholog_one2one,ENSPSNG00000010753,TAF10,ortholog_one2one,TAF10
ENSBTAG00000000697,ENSBMSG00010021876,RRP8,ortholog_one2one,ENSPCTG00005004237,RRP8,ortholog_one2one,ENSPSNG00000010553,RRP8,ortholog_one2one,RRP8
