Cow BIP number,Yarkand deer BIP number
161,220
187,230
256,144
335,170
344,173
551,549
567,552
683,36
715,273
740,285
895,631
946,659
1080,776
1081,777
1157,809
1192,826
1200,831
1233,846
1236,847
1237,848
1442,258
1456,264
1575,479
1623,502
1684,530
1713,354
1845,558
2004,954
2026,964
2047,977
2120,1018
2215,341
2221,342
2225,343
