Gene stable ID,Olive baboon gene stable ID,Olive baboon gene name,Olive baboon homology type,Bonobo gene stable ID,Bonobo gene name,Bonobo homology type,Gibbon gene stable ID,Gibbon gene name,Gibbon homology type,Mouse Lemur gene stable ID,Mouse Lemur gene name,Mouse Lemur homology type,Gene name
ENSG00000002330,,,,ENSPPAG00000000858,BAD,ortholog_one2one,,,,ENSMICG00000028209,BAD,ortholog_one2one,BAD
ENSG00000003056,,,,ENSPPAG00000036879,M6PR,ortholog_one2one,ENSNLEG00000031875,M6PR,ortholog_one2one,ENSMICG00000014416,M6PR,ortholog_one2one,M6PR
ENSG00000003056,,,,ENSPPAG00000036879,M6PR,ortholog_one2one,ENSNLEG00000031875,M6PR,ortholog_one2one,ENSMICG00000014416,M6PR,ortholog_one2one,M6PR
ENSG00000003056,,,,ENSPPAG00000036879,M6PR,ortholog_one2one,ENSNLEG00000031875,M6PR,ortholog_one2one,ENSMICG00000014416,M6PR,ortholog_one2one,M6PR
ENSG00000003056,,,,ENSPPAG00000036879,M6PR,ortholog_one2one,ENSNLEG00000031875,M6PR,ortholog_one2one,ENSMICG00000014416,M6PR,ortholog_one2one,M6PR
ENSG00000004961,ENSPANG00000004637,HCCS,ortholog_one2one,ENSPPAG00000040960,HCCS,ortholog_one2one,ENSNLEG00000008965,HCCS,ortholog_one2one,ENSMICG00000014372,HCCS,ortholog_one2one,HCCS
ENSG00000005194,ENSPANG00000000544,CIAPIN1,ortholog_one2one,ENSPPAG00000041694,CIAPIN1,ortholog_one2one,ENSNLEG00000002876,CIAPIN1,ortholog_one2one,ENSMICG00000004666,CIAPIN1,ortholog_one2one,CIAPIN1
ENSG00000006327,ENSPANG00000009600,TNFRSF12A,ortholog_one2one,,,,,,,ENSMICG00000001879,TNFRSF12A,ortholog_one2one,TNFRSF12A
ENSG00000006712,ENSPANG00000012954,PAF1,ortholog_one2one,ENSPPAG00000027491,PAF1,ortholog_one2one,ENSNLEG00000014430,PAF1,ortholog_one2one,ENSMICG00000006084,PAF1,ortholog_one2one,PAF1
ENSG00000007520,ENSPANG00000006419,TSR3,ortholog_one2one,ENSPPAG00000032379,TSR3,ortholog_one2one,ENSNLEG00000029520,,ortholog_one2one,ENSMICG00000045072,TSR3,ortholog_one2one,TSR3
ENSG00000010072,ENSPANG00000017798,SPRTN,ortholog_one2one,ENSPPAG00000036767,SPRTN,ortholog_one2one,ENSNLEG00000002094,SPRTN,ortholog_one2one,ENSMICG00000029926,SPRTN,ortholog_one2one,SPRTN
ENSG00000011295,ENSPANG00000023712,TTC19,ortholog_one2one,ENSPPAG00000021467,TTC19,ortholog_one2one,ENSNLEG00000014808,TTC19,ortholog_one2one,ENSMICG00000007108,TTC19,ortholog_one2one,TTC19
ENSG00000011600,ENSPANG00000020941,,ortholog_one2one,ENSPPAG00000039154,TYROBP,ortholog_one2one,ENSNLEG00000011600,,ortholog_one2one,ENSMICG00000032551,TYROBP,ortholog_one2one,TYROBP
ENSG00000012963,ENSPANG00000020773,UBR7,ortholog_one2one,ENSPPAG00000033789,UBR7,ortholog_one2one,ENSNLEG00000017199,UBR7,ortholog_one2one,ENSMICG00000000784,UBR7,ortholog_one2one,UBR7
ENSG00000014138,ENSPANG00000023360,POLA2,ortholog_one2one,ENSPPAG00000038067,POLA2,ortholog_one2one,ENSNLEG00000005558,POLA2,ortholog_one2one,ENSMICG00000008635,POLA2,ortholog_one2one,POLA2
ENSG00000016391,ENSPANG00000000438,CHDH,ortholog_one2one,ENSPPAG00000042868,CHDH,ortholog_one2one,ENSNLEG00000007229,CHDH,ortholog_one2one,ENSMICG00000017511,CHDH,ortholog_one2one,CHDH
ENSG00000025708,ENSPANG00000006414,,ortholog_one2one,ENSPPAG00000037131,,ortholog_one2one,ENSNLEG00000000940,,ortholog_one2one,ENSMICG00000013000,TYMP,ortholog_one2one,TYMP
ENSG00000025770,ENSPANG00000017014,NCAPH2,ortholog_one2one,ENSPPAG00000042287,NCAPH2,ortholog_one2one,ENSNLEG00000000768,NCAPH2,ortholog_one2one,ENSMICG00000012958,NCAPH2,ortholog_one2one,NCAPH2
ENSG00000029364,ENSPANG00000000849,SLC39A9,ortholog_one2one,ENSPPAG00000031046,SLC39A9,ortholog_one2one,ENSNLEG00000001521,SLC39A9,ortholog_one2one,ENSMICG00000009632,SLC39A9,ortholog_one2one,SLC39A9
ENSG00000031691,ENSPANG00000009023,CENPQ,ortholog_one2one,ENSPPAG00000038636,CENPQ,ortholog_one2one,ENSNLEG00000035124,CENPQ,ortholog_one2one,ENSMICG00000042405,CENPQ,ortholog_one2one,CENPQ
ENSG00000034533,ENSPANG00000000995,ASTE1,ortholog_one2one,ENSPPAG00000027980,ASTE1,ortholog_one2one,ENSNLEG00000002673,ASTE1,ortholog_one2one,,,,ASTE1
ENSG00000034533,ENSPANG00000000995,ASTE1,ortholog_one2one,ENSPPAG00000027980,ASTE1,ortholog_one2one,ENSNLEG00000002673,ASTE1,ortholog_one2one,,,,ASTE1
ENSG00000037897,ENSPANG00000010683,METTL1,ortholog_one2one,ENSPPAG00000042594,METTL1,ortholog_one2one,ENSNLEG00000017183,METTL1,ortholog_one2one,ENSMICG00000045368,METTL1,ortholog_one2one,METTL1
ENSG00000039560,ENSPANG00000012243,RAI14,ortholog_one2one,ENSPPAG00000039153,RAI14,ortholog_one2one,ENSNLEG00000014363,RAI14,ortholog_one2one,ENSMICG00000005641,RAI14,ortholog_one2one,RAI14
ENSG00000046651,ENSPANG00000016332,OFD1,ortholog_one2one,ENSPPAG00000043401,OFD1,ortholog_one2one,ENSNLEG00000009180,OFD1,ortholog_one2one,ENSMICG00000006744,OFD1,ortholog_one2one,OFD1
ENSG00000047578,ENSPANG00000018771,KATNIP,ortholog_one2one,ENSPPAG00000036183,KATNIP,ortholog_one2one,ENSNLEG00000011610,KATNIP,ortholog_one2one,ENSMICG00000042641,KATNIP,ortholog_one2one,KATNIP
ENSG00000047621,ENSPANG00000024048,C12orf4,ortholog_one2one,ENSPPAG00000040888,C12orf4,ortholog_one2one,ENSNLEG00000003111,C12orf4,ortholog_one2one,ENSMICG00000011341,C12orf4,ortholog_one2one,C12orf4
ENSG00000048162,ENSPANG00000013926,NOP16,ortholog_one2one,ENSPPAG00000035473,NOP16,ortholog_one2one,,,,,,,NOP16
ENSG00000049130,ENSPANG00000017126,KITLG,ortholog_one2one,ENSPPAG00000031443,KITLG,ortholog_one2one,ENSNLEG00000005483,KITLG,ortholog_one2one,ENSMICG00000027108,KITLG,ortholog_one2one,KITLG
ENSG00000050130,ENSPANG00000035482,JKAMP,ortholog_one2one,ENSPPAG00000038556,JKAMP,ortholog_one2one,ENSNLEG00000013451,JKAMP,ortholog_one2one,ENSMICG00000012491,JKAMP,ortholog_one2one,JKAMP
ENSG00000052344,ENSPANG00000009716,PRSS8,ortholog_one2one,ENSPPAG00000018349,PRSS8,ortholog_one2one,ENSNLEG00000016193,PRSS8,ortholog_one2one,ENSMICG00000001631,PRSS8,ortholog_one2one,PRSS8
ENSG00000053372,ENSPANG00000017838,MRTO4,ortholog_one2one,ENSPPAG00000043731,MRTO4,ortholog_one2one,,,,,,,MRTO4
ENSG00000053372,ENSPANG00000017838,MRTO4,ortholog_one2one,ENSPPAG00000043731,MRTO4,ortholog_one2one,,,,,,,MRTO4
ENSG00000053372,ENSPANG00000017838,MRTO4,ortholog_one2one,ENSPPAG00000043731,MRTO4,ortholog_one2one,,,,,,,MRTO4
ENSG00000053372,ENSPANG00000017838,MRTO4,ortholog_one2one,ENSPPAG00000043731,MRTO4,ortholog_one2one,,,,,,,MRTO4
ENSG00000053770,ENSPANG00000017145,AP5M1,ortholog_one2one,ENSPPAG00000040615,AP5M1,ortholog_one2one,ENSNLEG00000013007,AP5M1,ortholog_one2one,ENSMICG00000034728,AP5M1,ortholog_one2one,AP5M1
ENSG00000054148,,,,ENSPPAG00000042861,,ortholog_one2one,,,,,,,PHPT1
ENSG00000054148,,,,ENSPPAG00000042861,,ortholog_one2one,,,,,,,PHPT1
ENSG00000054148,,,,ENSPPAG00000042861,,ortholog_one2one,,,,,,,PHPT1
ENSG00000054148,,,,ENSPPAG00000042861,,ortholog_one2one,,,,,,,PHPT1
ENSG00000054983,ENSPANG00000004818,GALC,ortholog_one2one,ENSPPAG00000031299,GALC,ortholog_one2one,ENSNLEG00000016874,GALC,ortholog_one2one,ENSMICG00000003020,GALC,ortholog_one2one,GALC
ENSG00000055070,ENSPANG00000009230,SZRD1,ortholog_one2one,ENSPPAG00000031840,SZRD1,ortholog_one2one,ENSNLEG00000007829,SZRD1,ortholog_one2one,,,,SZRD1
ENSG00000055070,ENSPANG00000009230,SZRD1,ortholog_one2one,ENSPPAG00000031840,SZRD1,ortholog_one2one,ENSNLEG00000007829,SZRD1,ortholog_one2one,,,,SZRD1
ENSG00000059377,ENSPANG00000015017,,ortholog_one2one,ENSPPAG00000028281,TBXAS1,ortholog_one2one,ENSNLEG00000001637,TBXAS1,ortholog_one2one,ENSMICG00000003155,,ortholog_one2one,TBXAS1
ENSG00000060069,ENSPANG00000012831,CTDP1,ortholog_one2one,ENSPPAG00000042068,CTDP1,ortholog_one2one,ENSNLEG00000008353,CTDP1,ortholog_one2one,ENSMICG00000038031,CTDP1,ortholog_one2one,CTDP1
ENSG00000063322,ENSPANG00000003599,MED29,ortholog_one2one,ENSPPAG00000036805,MED29,ortholog_one2one,ENSNLEG00000014421,MED29,ortholog_one2one,ENSMICG00000006093,MED29,ortholog_one2one,MED29
ENSG00000064102,ENSPANG00000001087,INTS13,ortholog_one2one,ENSPPAG00000012301,INTS13,ortholog_one2one,ENSNLEG00000005368,INTS13,ortholog_one2one,ENSMICG00000037722,INTS13,ortholog_one2one,INTS13
ENSG00000064313,ENSPANG00000026219,TAF2,ortholog_one2one,ENSPPAG00000034878,TAF2,ortholog_one2one,ENSNLEG00000004934,TAF2,ortholog_one2one,ENSMICG00000017295,TAF2,ortholog_one2one,TAF2
ENSG00000064692,ENSPANG00000003083,SNCAIP,ortholog_one2one,ENSPPAG00000029373,SNCAIP,ortholog_one2one,ENSNLEG00000011998,SNCAIP,ortholog_one2one,ENSMICG00000016502,SNCAIP,ortholog_one2one,SNCAIP
ENSG00000065000,ENSPANG00000015379,AP3D1,ortholog_one2one,ENSPPAG00000037152,AP3D1,ortholog_one2one,ENSNLEG00000002065,AP3D1,ortholog_one2one,ENSMICG00000015375,AP3D1,ortholog_one2one,AP3D1
ENSG00000067369,ENSPANG00000018477,TP53BP1,ortholog_one2one,ENSPPAG00000040055,TP53BP1,ortholog_one2one,ENSNLEG00000005009,TP53BP1,ortholog_one2one,ENSMICG00000010077,TP53BP1,ortholog_one2one,TP53BP1
ENSG00000068137,ENSPANG00000021424,PLEKHH3,ortholog_one2one,ENSPPAG00000027950,PLEKHH3,ortholog_one2one,ENSNLEG00000011745,,ortholog_one2one,ENSMICG00000010298,PLEKHH3,ortholog_one2one,PLEKHH3
ENSG00000068383,ENSPANG00000020138,INPP5A,ortholog_one2one,ENSPPAG00000042036,INPP5A,ortholog_one2one,ENSNLEG00000001956,INPP5A,ortholog_one2one,ENSMICG00000047464,INPP5A,ortholog_one2one,INPP5A
ENSG00000070010,ENSPANG00000026172,UFD1,ortholog_one2one,ENSPPAG00000035639,UFD1,ortholog_one2one,ENSNLEG00000005378,UFD1,ortholog_one2one,ENSMICG00000013566,UFD1,ortholog_one2one,UFD1
