Gene stable ID,American bison gene stable ID,American bison gene name,American bison homology type,Gene name
ENSBTAG00000000012,ENSBBBG00000006615,TTC33,ortholog_one2one,TTC33
ENSBTAG00000000046,ENSBBBG00000023246,,ortholog_one2one,SURF2
ENSBTAG00000000140,ENSBBBG00000002344,EPHX1,ortholog_one2one,EPHX1
ENSBTAG00000000277,ENSBBBG00000011592,IL18,ortholog_one2one,IL18
ENSBTAG00000000355,ENSBBBG00000015885,OXLD1,ortholog_one2one,OXLD1
ENSBTAG00000000356,ENSBBBG00000015881,CCDC137,ortholog_one2one,CCDC137
ENSBTAG00000000478,ENSBBBG00000003387,LSMEM2,ortholog_one2one,LSMEM2
ENSBTAG00000000511,ENSBBBG00000011683,CNST,ortholog_one2one,CNST
ENSBTAG00000000586,ENSBBBG00000023780,CPLANE1,ortholog_one2one,CPLANE1
ENSBTAG00000000590,ENSBBBG00000017986,POLE,ortholog_one2one,POLE
ENSBTAG00000000646,ENSBBBG00000003767,ANAPC4,ortholog_one2one,ANAPC4
ENSBTAG00000000670,ENSBBBG00000014953,RRP9,ortholog_one2one,RRP9
ENSBTAG00000000694,ENSBBBG00000014932,TAF10,ortholog_one2one,TAF10
ENSBTAG00000000697,ENSBBBG00000000870,RRP8,ortholog_one2one,RRP8
ENSBTAG00000000712,ENSBBBG00000019180,FBXW2,ortholog_one2one,FBXW2
ENSBTAG00000000785,ENSBBBG00000000319,,ortholog_one2one,PASK
ENSBTAG00000000810,ENSBBBG00000015595,COPE,ortholog_one2one,COPE
ENSBTAG00000000831,ENSBBBG00000024529,CTNS,ortholog_one2one,CTNS
ENSBTAG00000000833,ENSBBBG00000006398,TAX1BP3,ortholog_one2one,TAX1BP3
ENSBTAG00000000918,ENSBBBG00000007378,ERMARD,ortholog_one2one,ERMARD
ENSBTAG00000000982,ENSBBBG00000013731,C3orf84,ortholog_one2one,C22H3orf84
ENSBTAG00000000991,ENSBBBG00000007141,MRPL32,ortholog_one2one,MRPL32
ENSBTAG00000001062,ENSBBBG00000010316,PTH2,ortholog_one2one,PTH2
ENSBTAG00000001071,ENSBBBG00000012081,WRAP53,ortholog_one2one,WRAP53
