Cow BIP number,American bison BIP number
27,70
161,358
219,289
230,671
251,677
389,87
431,471
567,638
683,61
934,380
946,383
962,394
1298,602
1374,484
1395,486
1456,95
1541,617
1575,158
1623,695
1684,625
2004,686
2047,518
2048,519
2137,426
2172,195
