Cow BIP number,Vaquita BIP number
187,969
194,972
219,990
230,461
256,431
298,445
431,895
551,716
683,1582
715,143
759,152
777,1383
902,843
1028,777
1162,1089
1192,1106
1200,1113
1233,1139
1236,1140
1374,1281
1395,1293
1406,1302
1442,958
1456,994
1713,1652
1860,236
1944,1368
2026,1225
2047,1211
