Mouse BIP number,Chinese hamster BIP number
302,135
474,763
493,769
494,770
522,779
523,780
530,781
640,240
682,252
712,263
716,265
731,272
954,941
1178,196
1237,38
1311,52
1380,73
1446,1017
1469,1023
1545,735
1632,903
1642,908
1765,341
1774,345
1873,1087
1874,1088
1881,1090
1885,1092
1891,1096
2035,631
2047,635
2052,637
2820,715
3005,295
3101,519
3102,520
3442,357
3481,1032
3489,1034
3510,1042
3514,1044
3521,1050
3547,1064
3555,1065
3567,1070
3578,1074
3579,1075
3740,437
3767,450
3812,877
