Gene stable ID,Donkey gene stable ID,Donkey gene name,Donkey homology type,Gene name
ENSECAG00000000029,ENSEASG00005011099,MARCHF5,ortholog_one2one,MARCHF5
ENSECAG00000000060,ENSEASG00005005394,CIAPIN1,ortholog_one2one,CIAPIN1
ENSECAG00000000159,ENSEASG00005014539,C16orf78,ortholog_one2one,C3H16orf78
ENSECAG00000000224,ENSEASG00005012277,BCS1L,ortholog_one2one,BCS1L
ENSECAG00000000243,ENSEASG00005000807,,ortholog_one2one,OCM
ENSECAG00000000246,ENSEASG00005023112,GTF2F1,ortholog_one2one,GTF2F1
ENSECAG00000000252,ENSEASG00005008293,THAP4,ortholog_one2one,THAP4
ENSECAG00000000274,ENSEASG00005013370,,ortholog_one2one,SPAG16
ENSECAG00000000364,ENSEASG00005007027,PIN4,ortholog_one2one,PIN4
ENSECAG00000000366,ENSEASG00005005910,HEXD,ortholog_one2one,HEXD
ENSECAG00000000392,ENSEASG00005012863,DCAF1,ortholog_one2one,DCAF1
ENSECAG00000000455,ENSEASG00005006726,CEP19,ortholog_one2one,CEP19
ENSECAG00000000497,ENSEASG00005001507,THOC7,ortholog_one2one,THOC7
ENSECAG00000000568,ENSEASG00005016372,TMEM68,ortholog_one2one,TMEM68
ENSECAG00000000682,ENSEASG00005016854,NDUFB5,ortholog_one2one,NDUFB5
ENSECAG00000000685,ENSEASG00005024955,,ortholog_one2one,B2M
ENSECAG00000000708,ENSEASG00005029664,SARNP,ortholog_one2one,SARNP
ENSECAG00000000711,ENSEASG00005003013,COIL,ortholog_one2one,COIL
ENSECAG00000000723,ENSEASG00005018426,MMAB,ortholog_one2one,MMAB
ENSECAG00000000728,ENSEASG00005002675,PIGN,ortholog_one2one,PIGN
ENSECAG00000000909,ENSEASG00005001209,CSPP1,ortholog_one2one,CSPP1
ENSECAG00000001043,ENSEASG00005004882,NUDT21,ortholog_one2one,NUDT21
ENSECAG00000001057,ENSEASG00005033250,,ortholog_one2one,MTRFR
ENSECAG00000001075,ENSEASG00005011364,TMEM179B,ortholog_one2one,TMEM179B
ENSECAG00000001155,ENSEASG00005017999,SPG11,ortholog_one2one,SPG11
ENSECAG00000001205,ENSEASG00005010582,MAPT,ortholog_one2one,MAPT
ENSECAG00000001230,ENSEASG00005003943,CCDC153,ortholog_one2one,CCDC153
ENSECAG00000001265,ENSEASG00005024604,TMEM223,ortholog_one2one,TMEM223
ENSECAG00000001312,ENSEASG00005025223,,ortholog_one2one,GPR146
ENSECAG00000001333,ENSEASG00005023627,RBBP9,ortholog_one2one,RBBP9
ENSECAG00000001359,ENSEASG00005006596,MAU2,ortholog_one2one,MAU2
ENSECAG00000001495,ENSEASG00005008042,CCDC86,ortholog_one2one,CCDC86
ENSECAG00000001653,ENSEASG00005016705,POLE,ortholog_one2one,POLE
ENSECAG00000001734,ENSEASG00005025523,SPATA25,ortholog_one2one,SPATA25
ENSECAG00000001756,ENSEASG00005010904,C17orf75,ortholog_one2one,C11H17orf75
ENSECAG00000001830,ENSEASG00005029951,TRAPPC5,ortholog_one2one,TRAPPC5
ENSECAG00000002018,ENSEASG00005004196,MACO1,ortholog_one2one,MACO1
ENSECAG00000002061,ENSEASG00005023371,NEURL2,ortholog_one2one,NEURL2
ENSECAG00000002063,ENSEASG00005003565,C2orf76,ortholog_one2one,C18H2orf76
ENSECAG00000002155,ENSEASG00005004938,NUP93,ortholog_one2one,NUP93
ENSECAG00000002377,ENSEASG00005028304,SPESP1,ortholog_one2one,SPESP1
ENSECAG00000002378,ENSEASG00005015446,CHCHD4,ortholog_one2one,CHCHD4
ENSECAG00000002521,ENSEASG00005008408,ODAD4,ortholog_one2one,CNP
ENSECAG00000002623,ENSEASG00005009535,NHLRC1,ortholog_one2one,NHLRC1
ENSECAG00000002658,ENSEASG00005000660,PRR15L,ortholog_one2one,PRR15L
ENSECAG00000002942,ENSEASG00005029555,ANAPC16,ortholog_one2one,ANAPC16
ENSECAG00000002987,ENSEASG00005014568,LRRC42,ortholog_one2one,LRRC42
ENSECAG00000003056,ENSEASG00005006983,TM6SF1,ortholog_one2one,TM6SF1
ENSECAG00000003068,ENSEASG00005016285,,ortholog_one2one,GULO
ENSECAG00000003103,ENSEASG00005015291,PSMD13,ortholog_one2one,PSMD13
ENSECAG00000003104,ENSEASG00005000888,TECPR1,ortholog_one2one,TECPR1
ENSECAG00000003151,ENSEASG00005025064,RNF222,ortholog_one2one,RNF222
ENSECAG00000003235,ENSEASG00005015261,FANCI,ortholog_one2one,FANCI
ENSECAG00000004226,ENSEASG00005034198,TMEM186,ortholog_one2one,TMEM186
ENSECAG00000004364,ENSEASG00005002079,CFAP61,ortholog_one2one,CFAP61
ENSECAG00000004492,ENSEASG00005001691,RRS1,ortholog_one2one,RRS1
ENSECAG00000004911,ENSEASG00005022803,,ortholog_one2one,VPS35
ENSECAG00000005354,ENSEASG00005017428,,ortholog_one2one,THUMPD1
ENSECAG00000005528,ENSEASG00005018414,NSA2,ortholog_one2one,NSA2
ENSECAG00000005661,ENSEASG00005015445,TMEM43,ortholog_one2one,TMEM43
ENSECAG00000005916,ENSEASG00005020934,CEP44,ortholog_one2one,CEP44
ENSECAG00000006022,ENSEASG00005019040,TMEM104,ortholog_one2one,TMEM104
ENSECAG00000006066,ENSEASG00005009076,SUPT7L,ortholog_one2one,SUPT7L
ENSECAG00000006229,ENSEASG00005015329,PIMREG,ortholog_one2one,PIMREG
ENSECAG00000006301,ENSEASG00005002722,,ortholog_one2one,METTL4
ENSECAG00000006357,ENSEASG00005027939,,ortholog_one2one,APIP
ENSECAG00000006414,ENSEASG00005033718,,ortholog_one2one,
ENSECAG00000006428,ENSEASG00005006568,ARMC6,ortholog_one2one,ARMC6
ENSECAG00000006569,ENSEASG00005006873,,ortholog_one2one,
ENSECAG00000006592,ENSEASG00005005341,BID,ortholog_one2one,BID
ENSECAG00000006646,ENSEASG00005038069,,ortholog_one2one,MUC1
ENSECAG00000006755,ENSEASG00005009075,RAB3IL1,ortholog_one2one,RAB3IL1
ENSECAG00000006763,ENSEASG00005012478,GPBAR1,ortholog_one2one,GPBAR1
ENSECAG00000006773,ENSEASG00005022598,CIR1,ortholog_one2one,CIR1
ENSECAG00000006836,ENSEASG00005014335,PCP2,ortholog_one2one,PCP2
ENSECAG00000006891,ENSEASG00005010008,CUTC,ortholog_one2one,CUTC
ENSECAG00000006901,ENSEASG00005026802,TCEANC2,ortholog_one2one,TCEANC2
ENSECAG00000007022,ENSEASG00005018038,,ortholog_one2one,PTCD2
ENSECAG00000007097,ENSEASG00005008642,CRTAC1,ortholog_one2one,CRTAC1
ENSECAG00000007142,ENSEASG00005002668,RELCH,ortholog_one2one,RELCH
ENSECAG00000007182,ENSEASG00005022797,ORC6,ortholog_one2one,ORC6
ENSECAG00000007197,ENSEASG00005011698,HAUS4,ortholog_one2one,HAUS4
ENSECAG00000007248,ENSEASG00005020973,,ortholog_one2one,SMPD4
ENSECAG00000007267,ENSEASG00005017798,C2orf49,ortholog_one2one,C15H2orf49
ENSECAG00000007334,ENSEASG00005013574,SMG9,ortholog_one2one,SMG9
ENSECAG00000007346,ENSEASG00005019722,FBXO9,ortholog_one2one,FBXO9
ENSECAG00000007363,ENSEASG00005014410,ZFYVE9,ortholog_one2one,ZFYVE9
ENSECAG00000007411,ENSEASG00005015507,RPAP2,ortholog_one2one,RPAP2
ENSECAG00000007465,ENSEASG00005002297,TBRG1,ortholog_one2one,TBRG1
ENSECAG00000007486,ENSEASG00005004886,OGFOD1,ortholog_one2one,OGFOD1
ENSECAG00000007498,ENSEASG00005032830,AP1AR,ortholog_one2one,AP1AR
ENSECAG00000007520,ENSEASG00005022847,BBS5,ortholog_one2one,BBS5
ENSECAG00000007554,ENSEASG00005007617,GEMIN2,ortholog_one2one,GEMIN2
ENSECAG00000007592,ENSEASG00005006580,BORCS8,ortholog_one2one,BORCS8
ENSECAG00000007746,ENSEASG00005012809,MAP10,ortholog_one2one,MAP10
ENSECAG00000007776,ENSEASG00005010163,SMUG1,ortholog_one2one,SMUG1
ENSECAG00000007778,ENSEASG00005010065,RUNDC1,ortholog_one2one,RUNDC1
ENSECAG00000007781,ENSEASG00005015232,POLG,ortholog_one2one,POLG
ENSECAG00000007803,ENSEASG00005034598,LSM3,ortholog_one2one,LSM3
ENSECAG00000007824,ENSEASG00005014210,,ortholog_one2one,SNRPD2
ENSECAG00000007838,ENSEASG00005013990,EEF1AKMT2,ortholog_one2one,
ENSECAG00000007872,ENSEASG00005020665,TCF19,ortholog_one2one,TCF19
ENSECAG00000007885,ENSEASG00005017348,ORC5,ortholog_one2one,ORC5
ENSECAG00000007887,ENSEASG00005032681,CT83,ortholog_one2one,CT83
ENSECAG00000007913,ENSEASG00005016916,ZNHIT1,ortholog_one2one,ZNHIT1
ENSECAG00000008003,ENSEASG00005005400,COQ9,ortholog_one2one,COQ9
ENSECAG00000008073,ENSEASG00005021830,HPS3,ortholog_one2one,HPS3
ENSECAG00000008079,ENSEASG00005003455,BEND6,ortholog_one2one,BEND6
ENSECAG00000008099,ENSEASG00005018033,MRPS27,ortholog_one2one,MRPS27
ENSECAG00000008226,ENSEASG00005037930,,ortholog_one2one,NPAT
ENSECAG00000008240,ENSEASG00005016360,HMBOX1,ortholog_one2one,HMBOX1
ENSECAG00000008252,ENSEASG00005015876,NOL11,ortholog_one2one,NOL11
ENSECAG00000008289,ENSEASG00005005469,ODR4,ortholog_one2one,ODR4
ENSECAG00000008391,ENSEASG00005017634,PALB2,ortholog_one2one,PALB2
ENSECAG00000008412,ENSEASG00005006725,ICE2,ortholog_one2one,ICE2
ENSECAG00000008534,ENSEASG00005022567,LNPK,ortholog_one2one,LNPK
ENSECAG00000008757,ENSEASG00005025311,FAAP24,ortholog_one2one,FAAP24
ENSECAG00000008827,ENSEASG00005002730,,ortholog_one2one,NDC80
ENSECAG00000008897,ENSEASG00005009787,TP53I13,ortholog_one2one,TP53I13
ENSECAG00000008913,ENSEASG00005003289,CPQ,ortholog_one2one,CPQ
ENSECAG00000008987,ENSEASG00005014577,MRPL37,ortholog_one2one,MRPL37
ENSECAG00000009022,ENSEASG00005021285,DERPC,ortholog_one2one,DERPC
ENSECAG00000009063,ENSEASG00005012269,RNF25,ortholog_one2one,RNF25
ENSECAG00000009087,ENSEASG00005006681,INTS13,ortholog_one2one,INTS13
ENSECAG00000009131,ENSEASG00005014972,OMA1,ortholog_one2one,OMA1
ENSECAG00000009177,ENSEASG00005004189,DHPS,ortholog_one2one,DHPS
ENSECAG00000009183,ENSEASG00005002431,NCSTN,ortholog_one2one,NCSTN
ENSECAG00000009185,ENSEASG00005020713,SLC7A6OS,ortholog_one2one,SLC7A6OS
ENSECAG00000009193,ENSEASG00005031172,LAMTOR2,ortholog_one2one,LAMTOR2
ENSECAG00000009254,ENSEASG00005012557,N4BP3,ortholog_one2one,N4BP3
ENSECAG00000009324,ENSEASG00005005358,PSME3IP1,ortholog_one2one,PSME3IP1
ENSECAG00000009355,ENSEASG00005002819,NSL1,ortholog_one2one,NSL1
ENSECAG00000009415,ENSEASG00005034207,SEC61G,ortholog_one2one,SEC61G
ENSECAG00000009436,ENSEASG00005020760,,ortholog_one2one,HCCS
ENSECAG00000009448,ENSEASG00005000419,C19orf44,ortholog_one2one,C21H19orf44
ENSECAG00000009463,ENSEASG00005002206,CCDC15,ortholog_one2one,CCDC15
ENSECAG00000009543,ENSEASG00005017003,EPSTI1,ortholog_one2one,EPSTI1
ENSECAG00000009654,ENSEASG00005001266,DCAF13,ortholog_one2one,DCAF13
ENSECAG00000009685,ENSEASG00005021905,TMCO3,ortholog_one2one,TMCO3
ENSECAG00000009702,ENSEASG00005006843,ACLY,ortholog_one2one,ACLY
ENSECAG00000009733,ENSEASG00005003958,,ortholog_one2one,CD52
ENSECAG00000009846,ENSEASG00005014974,RAD1,ortholog_one2one,RAD1
ENSECAG00000009920,ENSEASG00005002022,POLR3F,ortholog_one2one,POLR3F
ENSECAG00000009932,ENSEASG00005008003,SEPSECS,ortholog_one2one,SEPSECS
ENSECAG00000009953,ENSEASG00005014056,TBCCD1,ortholog_one2one,TBCCD1
ENSECAG00000010015,ENSEASG00005011762,YARS1,ortholog_one2one,YARS1
ENSECAG00000010050,ENSEASG00005011830,CNPPD1,ortholog_one2one,CNPPD1
ENSECAG00000010193,ENSEASG00005010602,INO80B,ortholog_one2one,INO80B
ENSECAG00000010226,ENSEASG00005016579,ELP2,ortholog_one2one,ELP2
ENSECAG00000010234,ENSEASG00005001501,C3orf49,ortholog_one2one,C16H3orf49
ENSECAG00000010335,ENSEASG00005035292,BCL2L13,ortholog_one2one,BCL2L13
ENSECAG00000010374,ENSEASG00005005570,RNF214,ortholog_one2one,RNF214
ENSECAG00000010387,ENSEASG00005017777,,ortholog_one2one,FAN1
ENSECAG00000010406,ENSEASG00005036828,,ortholog_one2one,AHSP
ENSECAG00000010446,ENSEASG00005014567,IFT25,ortholog_one2one,IFT25
ENSECAG00000010458,ENSEASG00005001468,GGCX,ortholog_one2one,GGCX
ENSECAG00000010482,ENSEASG00005014808,CCDC186,ortholog_one2one,CCDC186
