Gene stable ID,Zebra finch gene stable ID,Zebra finch gene name,Zebra finch homology type,Great Tit gene stable ID,Great Tit gene name,Great Tit homology type,Kakapo gene stable ID,Kakapo gene name,Kakapo homology type,Gene name
ENSGALG00010000017,,,,ENSPMJG00000000017,COX1,ortholog_one2one,,,,COX1
ENSGALG00010000051,ENSTGUG00000023394,GDPGP1,ortholog_one2one,ENSPMJG00000011999,GDPGP1,ortholog_one2one,,,,GDPGP1
ENSGALG00010000055,ENSTGUG00000021109,PRC1,ortholog_one2one,ENSPMJG00000012022,PRC1,ortholog_one2one,ENSSHBG00005007544,PRC1,ortholog_one2one,PRC1
ENSGALG00010000059,ENSTGUG00000010162,MFAP1,ortholog_one2one,ENSPMJG00000012029,MFAP1,ortholog_one2one,ENSSHBG00005007378,MFAP1,ortholog_one2one,MFAP1
ENSGALG00010000060,ENSTGUG00000010184,HYPK,ortholog_one2one,ENSPMJG00000012030,HYPK,ortholog_one2one,ENSSHBG00005007369,HYPK,ortholog_one2one,HYPK
ENSGALG00010000063,ENSTGUG00000029530,SERF2,ortholog_one2one,,,,ENSSHBG00005007293,SERF2,ortholog_one2one,SERF2
ENSGALG00010000186,ENSTGUG00000010446,THOC5,ortholog_one2one,ENSPMJG00000018900,THOC5,ortholog_one2one,ENSSHBG00005017105,THOC5,ortholog_one2one,THOC5
ENSGALG00010000191,ENSTGUG00000021730,NEFH,ortholog_one2one,,,,ENSSHBG00005017087,NEFH,ortholog_one2one,NEFH
ENSGALG00010000287,ENSTGUG00000010561,IQCD,ortholog_one2one,ENSPMJG00000019094,,ortholog_one2one,ENSSHBG00005005418,IQCD,ortholog_one2one,IQCD
ENSGALG00010000301,ENSTGUG00000010494,UQCR10,ortholog_one2one,ENSPMJG00000018906,UQCR10,ortholog_one2one,ENSSHBG00005017139,UQCR10,ortholog_one2one,UQCR10
ENSGALG00010000307,ENSTGUG00000010490,ZMAT5,ortholog_one2one,ENSPMJG00000018905,ZMAT5,ortholog_one2one,ENSSHBG00005017136,ZMAT5,ortholog_one2one,ZMAT5
ENSGALG00010000376,ENSTGUG00000010495,ASCC2,ortholog_one2one,ENSPMJG00000018907,ASCC2,ortholog_one2one,ENSSHBG00005017144,ASCC2,ortholog_one2one,ASCC2
ENSGALG00010000452,ENSTGUG00000009070,SLC8B1,ortholog_one2one,ENSPMJG00000017309,SLC8B1,ortholog_one2one,ENSSHBG00005016138,SLC8B1,ortholog_one2one,SLC8B1
ENSGALG00010000479,ENSTGUG00000010337,SPRING1,ortholog_one2one,ENSPMJG00000018796,SPRING1,ortholog_one2one,ENSSHBG00005016259,SPRING1,ortholog_one2one,C12orf49
ENSGALG00010000783,,,,ENSPMJG00000006187,DAP,ortholog_one2one,ENSSHBG00005003890,DAP,ortholog_one2one,DAP
ENSGALG00010000785,ENSTGUG00000023833,CLN5,ortholog_one2one,ENSPMJG00000013595,CLN5,ortholog_one2one,ENSSHBG00005000601,CLN5,ortholog_one2one,CLN5
ENSGALG00010000823,ENSTGUG00000012511,PIBF1,ortholog_one2one,ENSPMJG00000013657,PIBF1,ortholog_one2one,ENSSHBG00005003585,PIBF1,ortholog_one2one,PIBF1
ENSGALG00010000859,ENSTGUG00000012496,BORA,ortholog_one2one,ENSPMJG00000013662,BORA,ortholog_one2one,ENSSHBG00005003728,BORA,ortholog_one2one,BORA
ENSGALG00010000864,,,,ENSPMJG00000013663,MZT1,ortholog_one2one,ENSSHBG00005003743,MZT1,ortholog_one2one,MZT1
ENSGALG00010001066,ENSTGUG00000011271,SLC33A1,ortholog_one2one,ENSPMJG00000006748,SLC33A1,ortholog_one2one,ENSSHBG00005012393,SLC33A1,ortholog_one2one,SLC33A1
ENSGALG00010001119,ENSTGUG00000011415,COMMD2,ortholog_one2one,ENSPMJG00000007133,COMMD2,ortholog_one2one,ENSSHBG00005020771,COMMD2,ortholog_one2one,COMMD2
ENSGALG00010001128,ENSTGUG00000011374,,ortholog_one2one,ENSPMJG00000007072,ERICH6,ortholog_one2one,ENSSHBG00005020838,ERICH6,ortholog_one2one,ERICH6
ENSGALG00010001133,ENSTGUG00000011386,EIF2A,ortholog_one2one,ENSPMJG00000007084,EIF2A,ortholog_one2one,ENSSHBG00005020818,EIF2A,ortholog_one2one,EIF2A
ENSGALG00010001136,ENSTGUG00000028309,,ortholog_one2one,,,,ENSSHBG00005020809,SERP1,ortholog_one2one,SERP1
ENSGALG00010001157,ENSTGUG00000023415,TIMM21,ortholog_one2one,ENSPMJG00000014325,TIMM21,ortholog_one2one,ENSSHBG00005000597,TIMM21,ortholog_one2one,TIMM21
ENSGALG00010001165,,,,,,,ENSSHBG00005002505,,ortholog_one2one,
