Human BIP number,Crab-eating macaque BIP number
235,2052
324,2096
380,577
689,376
868,962
974,1925
1015,1952
1102,1844
1321,1336
1525,819
1571,835
1626,891
1700,913
1734,936
1992,1101
2016,1111
2225,506
2305,482
2629,1248
2669,1222
2931,1724
2950,1728
2962,1734
3788,788
